Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Guadeloupe,St. Eustatia,WI,,Boston,Philadelphia,Rhode Island,Salem,NA,,Madeira,SEU,,TOTAL,
,,1766,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,162.96,0,,,,0,0,,,600,561,1161,0,,0,0,1161,0
Chocolate,pounds,,,,162.96,0,,,,0,0,,,,40,40,0,,0,0,40,0
Chocolate,boxes,,,,162.96,0,,,,0,0,,1,1,1,3,0,,0,0,3,0
Coffee,pounds,,,,162.96,0,,,,0,0,,450,1200,,1650,0,,0,0,1650,0
Indigo,kegs,,,,162.96,0,,,,0,0,,1,1,,2,0,,0,0,2,0
Molasses,tierces,1.92,,3.05,162.96,3.593519882,,25,,25,90,,,,12,12,43,,0,0,37,133
Molasses,barrels,1.92,,1.45,162.96,1.708394698,,10,,10,17,,,5,2,7,12,,0,0,17,29
Molasses,hhds,1.92,,5.05,162.96,5.949926362,2,15,6,23,137,6,4,32,3,45,268,,0,0,68,405
Refined sugar,pounds,1.22,,0.05,162.96,0.037432499,,,,0,0,,,,200,200,7,,0,0,200,7
Refined sugar,tierces,1.22,,17,162.96,12.72704958,,,,0,0,,2,,,2,25,,0,0,2,25
Refined sugar,barrels,1.22,,6.25,162.96,4.679062347,,,,0,0,,18,2,,20,94,,0,0,20,94
Refined sugar,hhds,1.22,,25,162.96,18.71624939,,,,0,0,,,3,,3,56,,0,0,3,56
Rice,casks,16.69,,,162.96,0,,,,0,0,,,1,,1,0,,0,0,1,0
Rum,barrels,3.02,,1.45,162.96,2.687162494,93,,,93,250,,13,2,10,25,67,,0,0,118,317
Rum,tierces,3.02,,3,162.96,5.559646539,8,,,8,44,,3,6,,9,50,,0,0,17,94
Rum,hhds,3.02,,5.25,162.96,9.729381443,327,,6,333,3240,,9,40,12,61,593,,0,0,394,3833
Rum and spirits,barrels,3.02,,1.45,162.96,2.687162494,,,,0,0,32,,,,32,86,,0,0,32,86
Rum and spirits,hhds,3.02,,5.25,162.96,9.729381443,,,,0,0,16,,,,16,156,,0,0,16,156
Rum and spirits,kegs,3.02,,0.725,162.96,1.343581247,,,,0,0,13,,,,13,17,,0,0,13,17
Salt,bushels,1.7,,0.05,162.96,0.052160039,,,,0,0,,,,440,440,23,,0,0,440,23
Sugar,tierces,55.74,,0.495089286,162.96,16.93438683,20,,,20,339,,2,,,2,34,,0,0,22,373
Sugar,hhds,55.74,,0.646875,162.96,22.1261736,12,,,12,266,,,,,0,0,,0,0,12,266
Sugar,barrels,55.74,,0.15,162.96,5.130706922,69,,5,74,380,,,6,6,12,62,,0,0,86,442
Wine,quarter casks,48.92,,0.25,162.96,7.50490918,,,,0,0,,,,,0,0,10,10,75,10,75
Wine,pipes,48.92,,1,162.96,30.01963672,,,,0,0,,,,,0,0,7,7,210,7,210
Wine,hhds,48.92,,0.5,162.96,15.00981836,,,,0,0,,,,,0,0,8,8,120,8,120
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,4763,,,,,,1593,,,405,,6761
