Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Turks Island,Bermuda,Boston,Salem,NA,,Gambia,AFR,,Unknown,UNK,,TOTAL,
,,1739,,,,Sterling,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Molasses,tierces,1.59,,3.05,169.69,2.857858448,,0,0,,,,1,1,3,,0,0,,0,0,1,3
Molasses,hhds,1.59,,5.05,169.69,4.731863987,,0,0,,9,,3,12,57,,0,0,,0,0,12,57
Negroes,,26.64,,1,100,26.64,,0,0,,,,,0,0,156,156,4156,,0,0,156,4156
Rum,hhds,2.33,,5.25,169.69,7.208733573,203,203,1463,,,,,0,0,,0,0,,0,0,203,1463
Rum,tierces,2.33,,3,169.69,4.119276327,22,22,91,,,,,0,0,,0,0,4,4,16,26,107
Rum,barrels,2.33,,1.45,169.69,1.990983558,1,1,2,,,,,0,0,,0,0,1,1,2,2,4
Rum,gallons,2.33,,0.05,169.69,0.068654605,4500,4500,309,,1018,2556,350,3924,269,,0,0,,0,0,8424,578
Salt,bushels,1.7,,0.05,169.69,0.050091343,,0,0,2700,1100,,160,3960,198,,0,0,,0,0,3960,198
Sugar,tierces,38.08,,0.444196429,169.69,9.968177264,2,2,20,,,,,0,0,,0,0,,0,0,2,20
Sugar,hhds,38.08,,0.596428571,169.69,13.38440686,48,48,642,,1,,,1,13,,0,0,,0,0,49,655
Sugar,barrels,38.08,,0.15,169.69,3.366138252,72,72,242,,4,,1,5,17,,0,0,,0,0,77,259
Wine,quarter casks,21.58,,0.25,169.69,3.179327008,,0,0,,11,,,11,35,,0,0,5,5,16,16,51
Wine,pipes,21.58,,1,169.69,12.71730803,,0,0,,1,,,1,13,,0,0,,0,0,1,13
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,2769,,,,,,605,,,4156,,,34,,7564
