Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,New York,North Carolina,Philadelphia,Piscataway,Salem,NA,,TOTAL,
,,1749,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bread,tons,17.6,,1,171.39,10.26897719,,,0,0,,19,,,,,19,195,19,195
Cash,pence,1,,0.004166667,123.75,0.003367003,,,0,0,,,,9,,,9,0,9,0
Cash,pounds,1,,1,123.75,0.808080808,,,0,0,,,,147,,,147,119,147,119
Cash,shillings,1,,0.05,123.75,0.04040404,,,0,0,,,,3,,,3,0,3,0
Cheese,pounds,,,,171.39,0,,,0,0,,,,,,500,500,0,500,0
Chocolate,boxes,,,,171.39,0,,,0,0,,2,,1,,,3,0,3,0
Indigo,casks,5.9,,,171.39,0,,,0,0,,,1,,,,1,0,1,0
Molasses,casks,2.08,,,171.39,0,,14,14,0,,49,,,1,,50,0,64,0
Molasses,hhds,2.08,,5.05,171.39,6.128712294,,,0,0,,,,,,1,1,6,1,6
Pitch,barrels,15.41,,0.05,171.39,0.449559484,,,0,0,,,14,,,,14,6,14,6
Rum,hhds,3.77,,5.25,171.39,11.54822335,,,0,0,,,,47,,6,53,612,53,612
Rum,gallons,3.77,,0.05,171.39,0.10998308,1386,29555,30941,3403,,984,90,,,,1074,118,32015,3521
Salt,hhds,2.345,,0.35,171.39,0.478878581,,,0,0,3,,,,,4,7,3,7,3
Sugar,tierces,46.83,,0.466964286,171.39,12.75916769,,,0,0,,,,,3,,3,38,3,38
Sugar,pounds,46.83,,0.000446429,171.39,0.012198057,,,0,0,,35,,,,,35,0,35,0
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,192,192,787,,,,,12,4,16,66,208,853
Tar,barrels,10.49,,0.05,171.39,0.306027189,,,0,0,,,168,,,,168,51,168,51
Turpentine,barrels,17.12,,0.05,171.39,0.499445709,,,0,0,,,108,,,,108,54,108,54
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,4190,,,,,,,,1268,,5458
