Good,Unit,Price,Price,Conv,Exch,Price,Antigua,St. Christophers,WI,,New  York,Philadelphia,Salem,NA,,London,GB,,Africa,AFR,,Teneriff,SEU,,TOTAL,
,,1761,,,,Sterling,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,25.18,,0.044642857,172.71,0.650863959,,,0,0,,25,,25,16,,0,0,,0,0,,0,0,25,16
Bread,barrels,25.18,,0.089285714,172.71,1.301727917,,,0,0,,48,,48,62,,0,0,,0,0,,0,0,48,62
Chocolate,boxes,,,,172.71,0,,,0,0,4,1,,5,0,,0,0,,0,0,,0,0,5,0
Coffee,casks,,,,172.71,0,,,0,0,4,,,4,0,,0,0,,0,0,,0,0,4,0
Coffee,barrels,,,,172.71,0,,,0,0,,3,,3,0,,0,0,,0,0,,0,0,3,0
Convicts,,12.94909091,,1,100,12.94909091,,,0,0,,,,0,0,51,51,660,,0,0,,0,0,51,660
Ginger,bags,,,,172.71,0,,,0,0,4,1,,5,0,,0,0,,0,0,,0,0,5,0
Molasses,hhds,2.42,,5.05,172.71,7.076023392,,,0,0,,6,8,14,99,,0,0,,0,0,,0,0,14,99
Molasses,barrels,2.42,,1.45,172.71,2.031729489,,,0,0,,,4,4,8,,0,0,,0,0,,0,0,4,8
Negroes,,35.61,,1,100,35.61,,106,106,3775,,,,0,0,,0,0,954,954,33972,,0,0,1060,37747
Pimento,barrels,,,,172.71,0,,,0,0,,1,,1,0,,0,0,,0,0,,0,0,1,0
Plank,feet,13.648,,0.0005,172.71,0.003951132,,,0,0,3000,,,3000,12,,0,0,,0,0,,0,0,3000,12
Refined sugar,casks,1.08,,6.25,172.71,3.908285565,,,0,0,18,,,18,70,,0,0,,0,0,,0,0,18,70
Refined sugar,pounds,1.08,,0.05,172.71,0.031266285,,,0,0,,,50,50,2,,0,0,,0,0,,0,0,50,2
Rum,gallons,3.93,,0.05,172.71,0.113774535,,,0,0,,,923,923,105,,0,0,,0,0,,0,0,923,105
Rum,hhds,3.93,,5.25,172.71,11.94632621,95,,95,1135,3,10,7,20,239,,0,0,,0,0,,0,0,115,1374
Rum,tierces,3.93,,3,172.71,6.826472121,9,,9,61,,,,0,0,,0,0,,0,0,,0,0,9,61
Salt,hhds,2.42,,0.35,172.71,0.490417463,,,0,0,,,13,13,6,,0,0,,0,0,,0,0,13,6
Salt,bushels,2.42,,0.05,172.71,0.070059638,,,0,0,,149,,149,10,,0,0,,0,0,,0,0,149,10
Sugar,barrels,49.14,,0.15,172.71,4.267847837,25,,25,107,,20,12,32,137,,0,0,,0,0,,0,0,57,244
Sugar,hhds,49.14,,0.632142857,172.71,17.98593017,8,,8,144,,1,,1,18,,0,0,,0,0,,0,0,9,162
Sugar,tierces,49.14,,0.489285714,172.71,13.92131318,2,,2,28,,,,0,0,,0,0,,0,0,,0,0,2,28
Virginia currency,pounds,1,,1,143.72,0.695797384,,,0,0,,,35,35,24,,0,0,,0,0,,0,0,35,24
Wine,quarter casks,48.83,,0.25,172.71,7.068206821,,,0,0,,20,,20,141,,0,0,,0,0,,0,0,20,141
Wine,pipes,48.83,,1,172.71,28.27282728,,,0,0,,6,,6,170,,0,0,,0,0,,0,0,6,170
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,5250,,,,,1119,,,660,,,33972,,,0,,41001
