Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,St. Christophers,WI,,Boston,North Carolina,Philadelphia,Salem,NA,,Africa,AFR,,TOTAL,
,,1731,,,,Sterling,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,153.28,0,,,,0,0,700,,,,700,0,,0,0,700,0
Cotton,pounds,1.13,,0.05,153.28,0.036860647,400,,,400,15,,,,,0,0,,0,0,400,15
Molasses,tierces,1.36,,3.05,153.28,2.706158664,10,16,,26,70,4,,,,4,11,,0,0,30,81
Molasses,hhds,1.36,,5.05,153.28,4.480688935,15,13,30,58,260,6,,,,6,27,,0,0,64,287
Negroes,,24.91,,1,100,24.91,,1,,1,25,,,,,0,0,130,130,3238,131,3263
Pig iron,tons,,,,153.28,0,,,,0,0,,,16.5,,16.5,0,,0,0,16.5,0
Rum,tierces,2.64,,3,153.28,5.167014614,38,37,2,77,398,2,,,,2,10,,0,0,79,408
Rum,barrels,2.64,,1.45,153.28,2.497390397,10,19,,29,72,8,,,2,10,25,,0,0,39,97
Rum,hhds,2.64,,5.25,153.28,9.042275574,4,19,24,47,425,9,,,,9,81,,0,0,56,506
Salt,bushels,2.51,,0.05,153.28,0.081876305,,300,1000,1300,106,370,,100,60,530,43,,0,0,1830,149
Staves (barrel),,22.5,,0.00005,153.28,0.000733951,,,,0,0,,,4000,,4000,3,,0,0,4000,3
Sugar,tierces,33.21,,0.480803571,153.28,10.4172016,,20,,20,208,,,,,0,0,,0,0,20,208
Sugar,barrels,33.21,,0.175,153.28,3.791590553,,46,20,66,250,6,,,,6,23,,0,0,72,273
Sugar,hhds,33.21,,0.583035714,153.28,12.63218689,,24,,24,303,,,,,0,0,,0,0,24,303
Tar,barrels,11.1,,0.05,153.28,0.362082463,,,,0,0,,53,,,53,19,,0,0,53,19
Wine,quarter casks,20.5,,0.25,153.28,3.34355428,,,,0,0,,,16,4,20,67,,0,0,20,67
Wine,hhds,20.5,,0.5,153.28,6.687108559,,,,0,0,,,1,,1,7,,0,0,1,7
Wine,pipes,20.5,,1,153.28,13.37421712,,33,,33,441,,,6,,6,80,,0,0,39,521
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,2573,,,,,,396,,,3238,,6207
