Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Kingston,St. Martins,WI,,Bermuda,Boston,New York,Perth Amboy,Philadelphia,Lewes DE,Providence,Salem,Southold,NA,,Angola,AFR,,Isle of May,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,26.38,,0.044642857,166.62,0.706805048,,,,,0,0,,,10,,,,,,,10,7,,0,0,,,0,0,10,7
Cheese,barrels,,,,166.62,0,,,,,0,0,,1,,,1,,,,,2,0,,0,0,,,0,0,2,0
Cheese,boxes,,,,166.62,0,,,,,0,0,,,,,1,,,,,1,0,,0,0,,,0,0,1,0
Cheese,pounds,,,,166.62,0,,,,,0,0,,600,,,,,,1185,100,1885,0,,0,0,,,0,0,1885,0
Chocolate,boxes,,,,166.62,0,,,,,0,0,,2,2,,,,,,,4,0,,0,0,,,0,0,4,0
Chocolate,pounds,,,,166.62,0,,,,,0,0,,40,24,,,,,455,,519,0,,0,0,,,0,0,519,0
Coffee,bags,,,,166.62,0,,,,,0,0,,5,,,,,,,,5,0,,0,0,,,0,0,5,0
Cotton,bags,1.71,,6,166.62,6.157724163,,2,,,2,12,,,,,,,,,,0,0,,0,0,,,0,0,2,12
Flax,pounds,,,,166.62,0,,,,,0,0,,,,,,,,,100,100,0,,0,0,,,0,0,100,0
Ginger,bags,,,,166.62,0,,2,,,2,0,,,,,,,,,,0,0,,0,0,,,0,0,2,0
Iron,tons,8.2,,1,166.62,4.921377986,,,,,0,0,,,1.6,,41,,,,,42.6,210,,0,0,,,0,0,42.6,210
Loaf sugar,pounds,0.93,,0.05,166.62,0.027907814,,,,,0,0,,242,,,,,,1094,,1336,37,,0,0,,,0,0,1336,37
Loaf sugar,hhds,0.93,,25,166.62,13.95390709,4,,,,4,56,,4,23,,2,,,3,,32,447,,0,0,,,0,0,36,503
Loaf sugar,barrels,0.93,,6.25,166.62,3.488476773,,,,,0,0,,,3,,1,,,1,,5,17,,0,0,,,0,0,5,17
Loaf sugar,tierces,0.93,,12,166.62,6.697875405,,,,,0,0,,,10,,,,,,,10,67,,0,0,,,0,0,10,67
Molasses,hhds,1.81,,5.05,166.62,5.485836034,8,,7,17,32,176,,20,9,,3,,,64,,96,527,,0,0,,,0,0,128,703
Molasses,tierces,1.81,,3.05,166.62,3.313227704,,,,,0,0,,2,,,,,,,,2,7,,0,0,,,0,0,2,7
Negroes,,38.39,,1,100,38.39,,,,,0,0,,,,,,,,,,0,0,207,207,7947,,,0,0,207,7947
Plank,feet,8.624,,0.0005,166.62,0.002587925,,,,,0,0,,10000,,,,,400,,,10400,27,,0,0,,,0,0,10400,27
Planks,,8.624,,0.005,166.62,0.025879246,,,,,0,0,,,80,,,,,,,80,2,,0,0,,,0,0,80,2
Potatoes,bushels,,,,166.62,0,,,,,0,0,,,,,,,,20,,20,0,,0,0,,,0,0,20,0
Rum,kegs,3.34,,0.725,166.62,1.453306926,,7,,,7,10,,,,,,,,,,0,0,,0,0,,,0,0,7,10
Rum,tierces,3.34,,3,166.62,6.013683831,,,,,0,0,,,,,,,,6,,6,36,,0,0,,,0,0,6,36
Rum,hhds,3.34,,5.25,166.62,10.52394671,92,470,2,,564,5936,,11,,,7,,,57,6,81,852,,0,0,,,0,0,645,6788
Rum,barrels,3.34,,1.45,166.62,2.906613852,1,4,,,5,15,,90,,,,,,18,,108,314,,0,0,,,0,0,113,329
Salt,bushels,1.57,,0.05,166.62,0.047113192,,,,250,250,12,1074,,,,,20000,,150,,21224,1000,,0,0,5200,,5200,245,26674,1257
Salt,tons,1.57,,,166.62,0,,,,,0,0,,,,,,,,,,0,0,,0,0,200,,200,0,200,0
Salt,hhds,1.57,,0.35,166.62,0.329792342,,,,,0,0,,36,,,,,,66,,102,34,,0,0,,,0,0,102,34
Sugar,loaves,0.93,,,166.62,0,,,,,0,0,,,24,,,,,,,24,0,,0,0,,,0,0,24,0
Sugar,barrels,46.42,,0.15,166.62,4.178970112,102,322,,1,425,1776,,1,,,1,,,5,,7,29,,0,0,,,0,0,432,1805
Sugar,hhds,46.42,,0.646875,166.62,18.02180861,6,31,1,,38,685,,2,,,,,,,,2,36,,0,0,,,0,0,40,721
Sugar,tierces,46.42,,0.495089286,166.62,13.79308885,4,,,,4,55,,,,,,,,,,0,0,,0,0,,,0,0,4,55
Tea,canisters,4.21,,,166.62,0,,,,,0,0,,3,,,2,,,,,5,0,,0,0,,,0,0,5,0
Tea,boxes,4.21,,,166.62,0,,,,,0,0,,,,,2,,,,,2,0,,0,0,,,0,0,2,0
Tea,bags,4.21,,,166.62,0,,,,,0,0,,,1,,,,,,,1,0,,0,0,,,0,0,1,0
Tea,tubs,4.21,,,166.62,0,,,,,0,0,,2,,,,,,,,2,0,,0,0,,,0,0,2,0
Tea,casks,4.21,,,166.62,0,,,,,0,0,,1,,,,,,,,1,0,,0,0,,,0,0,1,0
Tea,kegs,4.21,,,166.62,0,,,,,0,0,,,,,1,,,,,1,0,,0,0,,,0,0,1,0
Tea,pounds,4.21,,0.05,166.62,0.126335374,,,,,0,0,,,,,,,,10,,10,1,,0,0,,,0,0,10,1
Virginia currency,pence,1,,0.004166667,124.99,0.0033336,,5,,,5,0,,,,,,,6,,,6,0,,0,0,,,0,0,11,0
Virginia currency,shillings,1,,0.05,124.99,0.0400032,,10,,,10,0,,,,,,,17,,,17,1,,0,0,,,0,0,27,1
Virginia currency,pounds,1,,1,124.99,0.800064005,,47,,,47,38,,,,,,,30,,,30,24,,0,0,,,0,0,77,62
Wine,hhds,47.73,,0.5,166.62,14.32301044,6,7,,,13,186,,,,,,,,9,,9,129,,0,0,,,0,0,22,315
