Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Turks Islalnd,Bermuda,Boston,NA,,Guinea,AFR,,Isle of May,SEU,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,131.87,0.75832259,,0,0,37,,,37,28,,0,0,,0,0,37,28
Cheese,,,,,179.86,0,,0,0,,,119,119,0,,0,0,,0,0,119,0
Negroes,,31.04,,1,100,31.04,,0,0,,,,0,0,569,569,17662,,0,0,569,17662
Pistoles,,0.83,,1,100,0.83,,0,0,,12,,12,10,,0,0,,0,0,12,10
Rum,tierces,3.03,,3,179.86,5.053930835,41,41,207,,,,0,0,,0,0,,0,0,41,207
Rum,hhds,3.03,,5.25,179.86,8.844378961,2,2,18,,,,0,0,,0,0,,0,0,2,18
Rum,barrels,3.03,,1.45,179.86,2.442733237,13,13,32,,,,0,0,,0,0,,0,0,13,32
Rum,gallons,3.03,,0.05,179.86,0.084232181,,0,0,220,685,213,1118,94,,0,0,,0,0,1118,94
Salt,bushels,3.755,,0.05,179.86,0.104386745,,0,0,1000,1800,,2800,292,,0,0,4000,4000,418,6800,710
Staves,,4.08,,0.001,179.86,0.002268431,,0,0,,,,0,0,,0,0,5000,5000,11,5000,11
,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,257,,,,,424,,,17662,,,429,,18772
