Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Tortuga,Bermuda,Boston,New England,New York,NA,,TOTAL,
,,1725,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cotton,bags,,,6,139.34,0,,0,0,,1,,,,1,0,1,0
Molasses,hhds,1.46,,5.05,139.34,5.291373618,4,4,21,,18,3,,12,33,175,37,196
Molasses,tierces,1.46,,3.05,139.34,3.195780106,,0,0,,,45,,,45,144,45,144
Rum,barrels,2.85,,1.45,139.34,2.965767188,,0,0,,6,,1,,7,21,7,21
Rum,hhds,2.85,,5.25,139.34,10.73812258,9,9,97,,8,1,8,,17,183,26,280
Rum,tierces,2.85,,3,139.34,6.136070044,,0,0,,,,,22,22,135,22,135
Salt,bushels,2.67,,0.05,139.34,0.095808813,,0,0,1500,11300,100,,,12900,1236,12900,1236
Sugar,barrels,33.44,,0.175,139.34,4.199799053,9,9,38,,6,,,,6,25,15,63
Sugar,hhds,33.44,,0.583035714,139.34,13.99218766,3,3,42,,,,,,0,0,3,42
Sugar,tierces,33.44,,0.480803571,139.34,11.53873362,,0,0,,,,,20,20,231,20,231
Wine,pipes,20.5,,1,139.34,14.71221473,,0,0,,,,,4,4,59,4,59
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,198,,,,,,,2209,,2407
