Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Turks Island,Bermuda,Boston,NA,,TOTAL,
,,1745,,,,Sterling,,,Quantity,Price,,,,Quantity,Price,Quantity,Price
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cash,pounds,1,,1,127.6,0.78369906,,,0,0,250,100,,350,274,350,274
Cheese,casks,,,,166.67,0,,,0,0,,,2,2,0,2,0
Cheese,pounds,,,,166.67,0,,,0,0,,,1000,1000,0,1000,0
Loaf sugar,tierces,1.25,,17,166.67,12.74974501,,,0,0,,,1,1,13,1,13
Loaf sugar,barrels,1.25,,6.25,166.67,4.687406252,,2,2,9,,,,0,0,2,9
Loaf sugar,pounds,1.25,,0.05,166.67,0.03749925,,,0,0,,,100,100,4,100,4
Molasses,tierces,2.34,,3.05,166.67,4.282114358,,,0,0,,,4,4,17,4,17
Molasses,hhds,2.34,,5.05,166.67,7.090058199,,,0,0,,,5,5,35,5,35
Rum,tierces,3.25,,3,166.67,5.849883002,,3,3,18,,3,8,11,64,14,82
Rum,hhds,3.25,,5.25,166.67,10.23729525,13,50,63,645,,,13,13,133,76,778
Salt,hhds,2.595,,0.35,166.67,0.544939101,,,0,0,,,20,20,11,20,11
Salt,bushels,2.595,,0.05,166.67,0.077848443,,,0,0,1800,,,1800,140,1800,140
Sugar,pounds,43.02,,0.000446429,166.67,0.011522984,,,0,0,,1000,,1000,12,1000,12
Sugar,barrels,43.02,,0.15,166.67,3.871722566,,81,81,314,,,,0,0,81,314
Sugar,hhds,43.02,,0.596428571,166.67,15.39470639,,,0,0,,,5,5,77,5,77
,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,986,,,,,780,,1766
