Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,Nantucket,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,TOTAL,
,,1749,,,,Sterling,,,,Quantity,Value,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.63,,0.05,171.39,0.076725597,,40,,40,3,,,,,,,,,20,20,2,60,5
Corn,bushels,2.63,,0.05,171.39,0.076725597,,8000,2000,10000,767,1500,5800,1300,,,1050,7000,7020,3860,27530,2112,37530,2879
Flaxseed,bushels,8.97,,0.05,171.39,0.261683879,,,,0,0,,,,,,50,,,,50,13,50,13
Hoops,,,,,171.39,0,,1000,,1000,0,,,,,,,,1000,,1000,0,2000,0
Molasses,casks,2.08,,,171.39,0,,,,0,0,,,,,4,,,,,4,0,4,0
Oats,bushels,2.63,,0.05,171.39,0.076725597,400,80,,480,37,,200,,1430,,2500,,1000,,5130,394,5610,431
Peas,bushels,2.63,,0.05,171.39,0.076725597,,70,,70,5,400,90,100,,,,60,,175,825,63,895,68
Plank,feet,8.4,,0.0005,171.39,0.002450551,,,,0,0,3000,,,,,2000,,100,,5100,12,5100,12
Pork,pounds,60.16,,0.0005,171.39,0.017550616,,,,0,0,,1000,,,,,5000,,7000,13000,228,13000,228
Pork,barrels,60.16,,0.05,171.39,1.755061556,,,,0,0,54,18,,,,,,10,,82,144,82,144
Salt,bushels,2.345,,0.05,171.39,0.068411226,,,,0,0,,,,,,,,932,,932,64,932,64
Staves,,5.25,,0.001,171.39,0.003063189,,,,0,0,,,,,,,,4000,,4000,12,4000,12
Staves and heading,,5.25,,0.001,171.39,0.003063189,,3000,,3000,9,,,,,,,,,,0,0,3000,9
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,,,0,0,,,,,2,,,,,2,8,2,8
Tobacco,hhds,17.1,,0.4985,171.39,4.973656573,,4,,4,20,,,,,,,,,,0,0,4,20
Turpentine,barrels,17.12,,0.05,171.39,0.499445709,,,,0,0,,,,,,,8,,,8,4,8,4
Wax,pounds,,,,171.39,0,,100,,100,0,,,,35,,,,200,,235,0,335,0
Wheat,bushels,5.66,,0.05,171.39,0.165120485,,,,0,0,,,,,,,,100,100,200,33,200,33
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,841,,,,,,,,,,,3089,,3930
