Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Philadelphia,NA,,London,GB,,Dublin,IRE,,Isle May,SEU,,TOTAL,
,,1743,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Linen,yards,,,,159.79,0,,0,0,,,0,0,,0,0,1723,1723,0,,0,0,1723,0
Molasses,hhds,1.87,,5.05,159.79,5.909944302,2,2,12,,,0,0,,0,0,,0,0,,0,0,2,12
Rum,hhds,3.16,,5.25,159.79,10.38237687,40,40,415,37,27,64,664,,0,0,,0,0,,0,0,104,1079
Rum,tierces,3.16,,3,159.79,5.932786783,6,6,36,,9,9,53,,0,0,,0,0,,0,0,15,89
Rum,barrels,3.16,,1.45,159.79,2.867513612,,0,0,1,,1,3,,0,0,,0,0,,0,0,1,3
Salt,bushels,2.07,,0.05,159.79,0.064772514,,0,0,,,0,0,,0,0,,0,0,5800,5800,376,5800,376
Servants,,11.28727273,,1,100,11.28727273,,0,0,,,0,0,105,105,1185,,0,0,,0,0,105,1185
Sugar,barrels,38.94,,0.15,159.79,3.655422742,29,29,106,,9,9,33,,0,0,,0,0,,0,0,38,139
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,569,,,,753,,,1185,,,0,,,376,,2883
