Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Basseterre,Montserrat,Spanish Town,Virgin Islands,WI,,Bermuda,Philadelphia,Salem,NA,,Bristol,GB,,Isle of May,Teneriff,SEU,,TOTAL,
,,1755,,,,Sterling,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,21.42,,0.044642857,168.79,0.566532378,,,,,,0,0,,20,,20,11,,0,0,,,0,0,20,11
Cash,pounds,1,,1,129.38,0.772916989,,,,,,0,0,,,23,23,18,,0,0,,,0,0,23,18
Coffee,bags,,,,168.79,0,,,,,,0,0,,3,,3,0,,0,0,,,0,0,3,0
Coffee,barrels,,,,168.79,0,,,,,,0,0,,2,,2,0,,0,0,,,0,0,2,0
Cotton,pockets,1.4,,6,168.79,4.97659814,,,1,,,1,5,,,,0,0,,0,0,,,0,0,1,5
Flaxseed,barrels,,,,168.79,0,,,,,,0,0,,1,,1,0,,0,0,,,0,0,1,0
Loaf sugar,hhds,1.06,,25,168.79,15.69998223,,,,,,0,0,,1,,1,16,,0,0,,,0,0,1,16
Molasses,barrels,1.89,,1.45,168.79,1.623615143,,,,,,0,0,,6,,6,10,,0,0,,,0,0,6,10
Molasses,hhds,1.89,,5.05,168.79,5.654659636,,,,8,70,78,441,1,2,6,9,51,,0,0,,,0,0,87,492
Rum,kegs,2.84,,0.725,168.79,1.219858996,,,,,,0,0,,8,,8,10,,0,0,,,0,0,8,10
Rum,barrels,2.84,,1.45,168.79,2.439717993,4,,,,,4,10,,7,,7,17,,0,0,,,0,0,11,27
Rum,hhds,2.84,,5.25,168.79,8.833461698,47,2,23,8,24,104,919,4,8,7,19,168,,0,0,,,0,0,123,1087
Rum,tierces,2.84,,3,168.79,5.047692399,,1,,,,1,5,,,,0,0,,0,0,,,0,0,1,5
Salt,bushels,1.515,,0.05,168.79,0.044878251,,700,,,,700,31,1400,,,1400,63,400,400,18,4000,,4000,180,6500,292
Salt,hhds,1.515,,0.35,168.79,0.314147758,,,,,,0,0,,,10,10,3,,0,0,,,0,0,10,3
Sugar,pounds,48.39,,0.000446429,168.79,0.012798554,,,,,,0,0,2000,,,2000,26,,0,0,,,0,0,2000,26
Sugar,hhds,48.39,,0.632142857,168.79,18.12275186,5,,16,,,21,381,,,,0,0,,0,0,,,0,0,21,381
Sugar,barrels,48.39,,0.15,168.79,4.300314,,,,15,42,57,245,,4,2,6,26,,0,0,,,0,0,63,271
Sugar,tierces,48.39,,0.489285714,168.79,14.02721471,,,1,,3,4,56,,,,0,0,,0,0,,,0,0,4,56
Wine,quarter casks,29.56,,0.25,168.79,4.378221459,,,,,,0,0,,6,,6,26,,0,0,,23,23,101,29,127
Wine,pipes,29.56,,1,168.79,17.51288583,,,,,,0,0,,4,,4,70,,0,0,,37,37,648,41,718
Wine,hhds,29.56,,0.5,168.79,8.756442917,,,,,,0,0,,,,0,0,,0,0,,12,12,105,12,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,2093,,,,,515,,,18,,,,1034,,3660
