Good,Unit,Price,Price,Conv,Exch,Price,Boston,NA,,TOTAL,
,,1725,,,,Sterling,,Quantity,Value,Quantity,Value
,,,,,,,,,,,
,,,,,,,,,,,
Molasses,hhds,1.46,,5.05,139.34,5.291373618,3,3,16,3,16
Molasses,tierces,1.46,,3.05,139.34,3.195780106,5,5,16,5,16
Rum,barrels,2.85,,1.45,139.34,2.965767188,7,7,21,7,21
Rum,hhds,2.85,,5.25,139.34,10.73812258,8,8,86,8,86
Rum,tierces,2.85,,3.05,139.34,6.238337879,17,17,106,17,106
Salt,hhds,2.67,,0.35,139.34,0.670661691,64,64,43,64,43
Sugar,tierces,33.44,,0.480803571,139.34,11.53873362,5,5,58,5,58
,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,346,,346
