Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Christophers,WI,,Bermuda,Boston,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Liverpool,Whitehaven,Glasgow,GB,,Ireland,IRE,,Madeira,SEU,,TOTAL,
,,1741,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,40.63,,0.05,146.14,8,478,86,,100,222,894,1243,,50,,,,,50,70,,,,,0,0,,0,0,,0,0,944,1313
Beeswax,pounds,,,,146.14,,,,,,,0,0,,,,636,,,636,0,,,,,0,0,,0,0,1941,1941,0,2577,0
Bread,barrels,19.58,,0.089285714,146.14,25,,,,,24,49,59,,,,,,,0,0,,,,,0,0,,0,0,,0,0,49,59
Bread,pounds,19.58,,0.000446429,146.14,,1750,,,5000,,6750,40,,,,,,,0,0,,,,,0,0,,0,0,,0,0,6750,40
Cheese,pounds,,,,146.14,,,,,,,0,0,,,,700,,,700,0,,,,,0,0,,0,0,,0,0,700,0
Corn,bushels,2.74,,0.05,146.14,4350,17843,5400,1000,3100,5340,37033,3472,23500,2820,,,2906,500,29726,2787,,,,,0,0,,0,0,4076,4076,382,70835,6641
Deer Skins,,,,,146.14,,,,,,,0,0,,,,,,,0,0,69,,,,69,0,,0,0,,0,0,69,0
Deer Skins,hhds,,,,146.14,,,,,,,0,0,,,,,,,0,0,6,,,,6,0,,0,0,,0,0,6,0
Flour,barrels,13.66,,0.089285714,146.14,,,,,,,0,0,,,,,,,0,0,,,,,0,0,,0,0,35,35,29,35,29
Heading,,4.5,,0.001,146.14,,28670,,,,2700,31370,97,,,,,,,0,0,,,,,0,0,,0,0,,0,0,31370,97
Negroes,,26.64,,1,100,,,,,,,0,0,,,3,,,,3,80,,,,,0,0,,0,0,,0,0,3,80
Oats,bushels,2.74,,0.05,146.14,584,,,,,399,983,92,,,,,,,0,0,,,,,0,0,,0,0,,0,0,983,92
Peas,bushels,2.74,,0.05,146.14,,404,240,,,23,667,63,74,,,,,,74,7,,,,,0,0,,0,0,,0,0,741,70
Pitch,barrels,15.54,,0.05,146.14,,10,25,,,,35,19,2,100,,,10,8,120,64,,,,258,258,137,,0,0,,0,0,413,220
Plank,M feet,5.4,,0.5,146.14,,,,2,,,2,4,,,,,,,0,0,,,,,0,0,,0,0,,0,0,2,4
Plank,pieces,5.4,,0.005,146.14,,,,,,,0,0,8,,,,,,8,0,,,,,0,0,,0,0,,0,0,8,0
Plank,feet,5.4,,0.0005,146.14,12000,,,,4063,,16063,30,2500,,,,60,,2560,5,,,1650,,1650,3,,0,0,,0,0,20273,38
Planks,,5.4,,0.005,146.14,,108,,,,,108,2,,,,,,,0,0,,,,,0,0,,0,0,,0,0,108,2
Pork,tierces,49.83,,0.0665,146.14,,8,,,,,8,18,,,,,,,0,0,,,,,0,0,,0,0,,0,0,8,18
Pork,hhds,49.83,,0.1,146.14,,8,3,,,,11,38,,,,,,,0,0,,,,,0,0,,0,0,,0,0,11,38
Pork,barrels,49.83,,0.05,146.14,804,5423,627,600,370,709,8533,14548,735,435,,710,160,10,2050,3495,,,,,0,0,,0,0,59,59,101,10642,18144
Pork,pounds,49.83,,0.00025,146.14,,,,,,,0,0,,,,112,,,112,1,,,,,0,0,,0,0,,0,0,112,1
Potatoes,bushels,,,,146.14,,,,,,,0,0,,200,,,,,200,0,,,,,0,0,,0,0,,0,0,200,0
Rice,barrels,16.58,,,146.14,,3,,,,,3,0,,8,,1,,,9,0,,,,,0,0,,0,0,,0,0,12,0
Salt,bushels,2.33,,0.05,146.14,,,,,,,0,0,,,150,,,,150,12,,,,,0,0,,0,0,,0,0,150,12
Shingles,,,,,146.14,78000,910940,59000,40000,54000,143000,1284940,0,1000,,,,,,1000,0,,,,,0,0,,0,0,,0,0,1285940,0
Skins,bundles,,,,146.14,,,,,,,0,0,,,,,,,0,0,4,,,,4,0,,0,0,,0,0,4,0
Skins,hhds,,,,146.14,,,,,,,0,0,,,,,,,0,0,35,,,,35,0,,0,0,,0,0,35,0
Staves,,4.5,,0.001,146.14,2000,61770,,10000,16000,32950,122720,378,800,2600,,,,,3400,10,21682,,8100,7200,36982,114,,0,0,1200,1200,4,164302,506
Tar,barrels,14.08,,0.05,146.14,,70,282,,,,352,170,12,2947,,724,160,,3843,1851,,250,943,1630,2823,1360,,0,0,,0,0,7018,3381
Tobacco,hhds,14.83,,0.4705,146.14,,13,,,,,13,62,,,,,,,0,0,1090,,,86,1176,5615,,0,0,,0,0,1189,5677
Turpentine,barrels,21.3,,0.05,146.14,,,8,,,,8,6,2,37,,,,,39,28,,,,67,67,49,,0,0,,0,0,114,83
Wheat,bushels,4.47,,0.05,146.14,,,,,,,0,0,,436,,,,50,486,74,,,,,0,0,5400,5400,826,735,735,112,6621,1012
Wine,pipes,21.83,,1,146.14,,10,,,,,10,149,,,,,,,0,0,1,,,,1,15,,0,0,,0,0,11,164
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,20490,,,,,,,,8484,,,,,,7293,,,826,,,628,,37721
