Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Jamaica,Spanish Town,St. Christophers,WI,,Bermuda,Boston,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Liverpool,Whitehaven,GB,,Ireland,IRE,,Lisbon,Madeira,Teneriff,SEU,,TOTAL,
,,1737,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.08,,0.05,170.25,,,48,15,,38,101,6,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,101,6
Beef,barrels,36.06,,0.05,170.25,,,,10,,,10,11,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,10,11
Beeswax,casks,,,,170.25,,,,,,,0,0,,,,1,,,1,0,,,,0,0,,0,0,,,,0,0,1,0
Beeswax,pounds,,,,170.25,,,,,,,0,0,,,,,,,0,0,,,,0,0,,0,0,,4250,3000,7250,0,7250,0
Corn,bushels,2.08,,0.05,170.25,2206,11364,1600,8560.5,1000,1000,25730.5,1572,18600,2063,,,2830,705,24198,1478,,,,0,0,,0,0,,5455,,5455,333,55383.5,3383
Deer Skins,,,,,170.25,,,,,,,0,0,,,,,,,0,0,53,,,53,0,,0,0,,,,0,0,53,0
Deer Skins,hhds,,,,170.25,,,,,,,0,0,,,,,,,0,0,3,,,3,0,,0,0,,,,0,0,3,0
Flour,barrels,11.71,,0.089285714,170.25,,,,,,,0,0,,,,26,,,26,16,,,,0,0,,0,0,,,,0,0,26,16
Heading,,3.19,,0.001,170.25,,4000,,,,,4000,7,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,4000,7
Molasses,gallons,1.58,,1,170.25,,,,,,,0,0,,,191,,,,191,177,,,,0,0,,0,0,,,,0,0,191,177
Oats,bushels,2.08,,0.05,170.25,,,,,,130,130,8,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,130,8
Peas,bushels,2.08,,0.05,170.25,4,169,,1106,,200,1479,90,302,27,,,3,,332,20,,,,0,0,,0,0,800,786,,1586,97,3397,207
Pitch,barrels,10.85,,0.05,170.25,,,,60,,,60,19,,4,,,,12,16,5,,34,,34,11,,0,0,,,,0,0,110,35
Plank,feet,3.828,,0.0005,170.25,,,,,,,0,0,,,,,,,0,0,,2000,,2000,2,,0,0,,,,0,0,2000,2
Planks,,3.828,,0.005,170.25,,,,,,,0,0,,123,,,,,123,1,,,23,23,0,,0,0,,,,0,0,146,1
Pork,pounds,54.55,,0.00025,170.25,,,,,100,,100,1,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,100,1
Pork,barrels,54.44,,0.05,170.25,10,2217,190,1061,22,203,3703,5920,193,20,,,66,,279,446,,,,0,0,,0,0,,,63,63,101,4045,6467
Rum,gallons,2.65,,1,170.25,,,,,,,0,0,,,104,,,,104,162,,,,0,0,,0,0,,,,0,0,104,162
Rum,tierces,2.65,,3.05,170.25,,,,,,,0,0,1,,,,,,1,5,,,,0,0,,0,0,,,,0,0,1,5
Rum,hhds,2.65,,5,170.25,,,,,,,0,0,4,,,,,,4,31,1,,3,4,31,,0,0,,,,0,0,8,62
Rye,bushels,2.08,,0.05,170.25,,,,,,,0,0,,40,,,,,40,2,,,,0,0,,0,0,,,,0,0,40,2
Salt,bushels,1.73,,0.05,170.25,,,,,,,0,0,,,1758,,,,1758,89,,,,0,0,,0,0,,,,0,0,1758,89
Shingles,,,,,170.25,9000,358600,,94000,,,461600,0,30000,,,,,,30000,0,,,,0,0,,0,0,,2600,,2600,0,494200,0
Skins,bundles,,,,170.25,,,,,,,0,0,,,,,,,0,0,,,1,1,0,,0,0,,,,0,0,1,0
Staves,,3.19,,0.001,170.25,,81250,,16150,,,97400,182,,1800,,,,1000,2800,5,,20000,3900,23900,45,24000,24000,45,1200,28000,,29200,55,177300,332
Sugar,pounds,35.64,,0.000446429,170.25,,,,,,,0,0,,,764,,,,764,7,,,,0,0,,0,0,,,,0,0,764,7
Tar,barrels,8.56,,0.05,170.25,,6,,130,7,,143,36,,1390,,,,397,1787,449,1003,3010,401,4414,1110,,0,0,,,,0,0,6344,1595
Tobacco,barrels,17.41,,0.21825,170.25,,,,,,,0,0,,,,,,,0,0,,,3,3,7,,0,0,,,,0,0,3,7
Tobacco,hhds,17.41,,0.4365,170.25,,1,,,,,1,4,,,,,,,0,0,369,,270,639,2852,,0,0,,,,0,0,640,2856
Turpentine,barrels,12.9,,0.05,170.25,,,,20,10,,30,11,,120,,,,129,249,94,,86,,86,33,,0,0,,,,0,0,365,138
Walnut logs,,,,,170.25,,2,,,,,2,0,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,2,0
Wheat,bushels,3.88,,0.05,170.25,,,,,,,0,0,18,10,,,,,28,3,,,,0,0,,0,0,5309,3887,,9196,1048,9224,1051
Wine,pipes,20.88,,1,170.25,,,,4,,,4,49,,,,,,,0,0,,,,0,0,,0,0,,,,0,0,4,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PRE REGION,,,,,,,,,,,,,7916,,,,,,,,2990,,,,,4091,,,45,,,,,1634,,16676
