Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Christophers,WI,,New Providence,Bermuda,Boston,New England,New York,Newfoundland,North Carolina,Pennsylvania,Perth Amboy,Rhode Island,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Glasgow,Leith,GB,,Cork,Dublin,IRE,,TOTAL,
,,1761,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,34,,1,172.71,,2,,,,7.25,9.25,182,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,9.25,182
Beef,barrels,54.91,,0.05,172.71,135,178.5,,,2,,315.5,502,,11,19,,12,,,,,,,42,67,,,,,,,,0,0,,,0,0,357.5,569
Beeswax,tierces,,,,172.71,,,,,,,0,0,,,,,1,,,,,,,1,0,,,,,,,,0,0,,,0,0,1,0
Beeswax,barrels,,,,172.71,,1,,,,,1,0,,,,,24,,,,,,,24,0,,,,,,,,0,0,,,0,0,25,0
Beeswax,casks,,,,172.71,,,,,,,0,0,,,,,3,,,,,,,3,0,,,,,,,,0,0,,,0,0,3,0
Beeswax,hhds,,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,1,,,,,,,1,0,,,0,0,1,0
Beeswax,pounds,,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,,,0,0,1100,1000,2100,0,2100,0
Biscuits,kegs,12.67,,,172.71,,,21,,,,21,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,21,0
Bread,pounds,25.18,,0.000235849,172.71,1200,,,,,,1200,4,4000,,,,,,,,,,,4000,14,,,,,,,,0,0,,,0,0,5200,18
Bread,barrels,25.18,,,172.71,527,365,,11,,250,1153,0,,,,,,,,50,,,60,110,0,,,,,,,,0,0,,,0,0,1263,0
Bread and flour,barrels,20,,0.089285714,172.71,293,171,1344,60,166,240,2274,2351,42,86,,,,,,,,135,,263,272,,,,,,,,0,0,,,0,0,2537,2623
Cheese,pounds,,,,172.71,500,,,,,,500,0,,,,,,,,,,,,0,0,,,,,,,,0,0,,,0,0,500,0
Corn,bushels,2.42,,0.05,172.71,76211,47801,16990,5700,17557,9478,173737,12172,1844,24012,3000,1300,5796,,,,,2720,,38672,2709,,,,,,2000,,2000,140,4000,4000,8000,560,222409,15581
Deer Skin,casks,,,,172.71,,,,,,,0,0,,,,,,,,,,,,0,0,1,,,,1,,,2,0,,,0,0,2,0
