Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,NA,,TOTAL,
,,1756,,,,Sterling,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Molasses,hhds,2.04,,5.05,172.57,5.969751405,2,,2,12,,0,0,2,12
Rum,tierces,2.73,,3,172.57,4.745900214,2,,2,9,,0,0,2,9
Rum,hhds,2.73,,5.25,172.57,8.305325375,33,20,53,440,2,2,17,55,457
Sugar,barrels,48.83,,0.15,172.57,4.244364606,18,18,36,153,,0,0,36,153
Wine,quarter casks,32.78,,0.25,172.57,4.748797589,,9,9,43,,0,0,9,43
Wine,pipes,32.78,,1,172.57,18.99519036,,16,16,304,,0,0,16,304
Wine,hhds,32.78,,0.5,172.57,9.497595179,,4,4,38,,0,0,4,38
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,999,,,17,,1016
