Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,North Carolina,Salem,NA,,London,Bideford,Whitehaven,GB,,Dublin,IRE,,Africa,AFR,,TOTAL,
,,1734,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,170,0,,,0,0,,,,214,214,0,,,,0,0,,0,0,,0,0,214,0
Coffee,bags,,,,170,0,,2,2,0,,,,,0,0,,,,0,0,,0,0,,0,0,2,0
Ginger,bags,,,,170,0,,1,1,0,,,,,0,0,,,,0,0,,0,0,,0,0,1,0
Linen,yards,,,,170,0,,,0,0,,,,,0,0,,,1710,1710,0,2800,2800,0,,0,0,4510,0
Molasses,tierces,1.5,,3.05,170,2.691176471,,,0,0,,,,,0,0,,,3,3,8,,0,0,,0,0,3,8
Molasses,hhds,1.5,,5.05,170,4.455882353,,2,2,9,4,,,3,7,31,,,,0,0,,0,0,,0,0,9,40
Negroes,,18.5,,1,100,18.5,,,0,0,,,,,0,0,,,,0,0,,0,0,156,156,2886,156,2886
Pepper,pounds,,,,170,0,,,0,0,,,,11,11,0,,,,0,0,,0,0,,0,0,11,0
Pitch,barrels,12.92,,0.05,170,0.38,,,0,0,,,100,,100,38,246,,,246,93,,0,0,,0,0,346,131
Rum,tierces,2.63,,3,170,4.641176471,10,3,13,60,2,,,,2,9,,,5,5,23,,0,0,,0,0,20,92
Rum,hhds,2.63,,5.25,170,8.122058824,10,3,13,106,,2,,3,5,41,,,17,17,138,,0,0,,0,0,35,285
Rum,barrels,2.63,,1.45,170,2.243235294,4,1,5,11,1,,,2,3,7,,,1,1,2,,0,0,,0,0,9,20
Salt,bushels,2.04,,0.05,170,0.06,,,0,0,200,,,,200,12,,,,0,0,,0,0,,0,0,200,12
Salt,hhds,2.04,,,170,0,,,0,0,,20,,15,35,0,,,,0,0,,0,0,,0,0,35,0
Sugar,barrels,29.2,,0.175,170,3.005882353,,54,54,162,,,,2,2,6,,,12,12,36,,0,0,,0,0,68,204
Sugar,tierces,29.2,,0.480803571,170,8.258508403,2,,2,17,,,,,0,0,,,,0,0,,0,0,,0,0,2,17
Tar,barrels,10.14,,0.05,170,0.298235294,,,0,0,,,211,,211,63,,,,0,0,,0,0,,0,0,211,63
Tobacco,hhds,19.5,,0.411,170,4.714411765,,,0,0,,,,,0,0,,62,,62,292,,0,0,,0,0,62,292
Turpentine,barrels,23.94,,0.05,170,0.704117647,,,0,0,,,2,,2,1,,,,0,0,,0,0,,0,0,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,365,,,,,,208,,,,,592,,,0,,,2886,,4051
