Good,Unit,Price,Price,Conv,Exch,Price,Antigua,WI,,Boston,Marblehead,New England,New Hampshire,Piscataqua,NA,,TOTAL,
,,1732,,,,Sterling,,Quantity,Value,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beans,bushels,1.81,,0.05,160.9,0.056246116,,0,0,74,,,,,74,4,74,4
Corn,bushels,1.81,,0.05,160.9,0.056246116,,0,0,12563,2300,2400,600,2000,19863,1117,19863,1117
Deer skins (raw),,,,,160.9,0,,0,0,25,,,,,25,0,25,0
Oats,bushels,1.81,,0.05,160.9,0.056246116,,0,0,700,,,,,700,39,700,39
Peas,bushels,1.81,,0.05,160.9,0.056246116,,0,0,,,,20,,20,1,20,1
Plank,feet,3.6,,0.0005,160.9,0.001118707,,0,0,3298,800,600,600,,5298,6,5298,6
Pork,pounds,49.41,,0.00025,160.9,0.007677129,,0,0,715,200,100,11000,2500,14515,111,14515,111
Pork,barrels,49.41,,0.05,160.9,1.53542573,,0,0,104,14,300,,,418,642,418,642
Rum,hhds,2.5,,5.25,160.9,8.157240522,,0,0,6,,,,1,7,57,7,57
Rye,hhds,1.81,,720,160.9,809.9440646,,0,0,1,,,,,1,810,1,810
Salt,bushels,2.175,,0.05,160.9,0.067588564,,0,0,200,,,,,200,14,200,14
Staves (barrels),,22.5,,0.00005,160.9,0.000699192,,0,0,1000,,,,,1000,1,1000,1
Staves (hhds),,2.25,,0.001,160.9,0.001398384,24000,24000,34,,,7000,,,7000,10,31000,44
Wax,pounds,,,,160.9,0,,0,0,35,,,,,35,0,35,0
Wheat,bushels,3.06,,0.05,160.9,0.095090118,250,250,24,,,,,,0,0,250,24
"Wheat, beans, peas",bushels,3.06,,0.05,160.9,0.095090118,,0,0,3891,1300,450,150,50,5841,555,5841,555
,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,58,,,,,,,3367,,3425
