Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,New York,Philadelphia,Plymouth NE,Rhode Island,NA,,TOTAL,
,,1771,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Beans,bushels,3.5,,0.05,165.69,0.105618927,,,0,0,,,,,4,,4,0,4,0
Beef,barrels,51.48,,0.05,165.69,1.553503531,2,,2,3,,,,,,,0,0,2,3
Bread,barrels,28.93,,0.089285714,165.69,1.558956916,2,,2,3,,,,,,,0,0,2,3
Corn,bushels,3.5,,0.05,165.69,0.105618927,14100,17370,31470,3324,1200,3230,8500,5270,1000,1366,20566,2172,52036,5496
Flaxseed,bushels,6.49,,0.05,165.69,0.195847667,,,0,0,,,200,1730,,,1930,378,1930,378
Heading,M,6.77,,1,165.69,4.08594363,,,0,0,,,,3,,,3,12,3,12
Heading (hhd),,6.77,,0.001,165.69,0.004085944,1000,,1000,4,,,,,,,0,0,1000,4
Hoops,,,,,165.69,0,4500,,4500,0,,,,,,,0,0,4500,0
Oats,bushels,3.5,,0.05,165.69,0.105618927,2500,1700,4200,444,,1125,1350,1400,,56,3931,415,8131,859
Peas,bushels,3.5,,0.05,165.69,0.105618927,290,325,615,65,,20,265,120,,,405,43,1020,108
Peas/beans,bushels,3.5,,0.05,165.69,0.105618927,,,0,0,,,,,,18,18,2,18,2
Plank,feet,10.832,,0.0005,165.69,0.003268755,11500,,11500,38,,,,130,,840,970,3,12470,41
Plank,M feet,10.832,,0.5,165.69,3.268754904,,,0,0,,,,1,,,1,3,1,3
Pork,barrels,80.31,,0.05,165.69,2.42350172,12,,12,29,,,,,,,0,0,12,29
Rye,bushels,3.5,,0.05,165.69,0.105618927,,,0,0,,,,60,4,,64,7,64,7
Shingles,M,,,,165.69,0,13,16,29,0,,,,,,,0,0,29,0
Staves,M,6.77,,1,165.69,4.08594363,,,0,0,,,2,,,,2,8,2,8
Staves,,6.77,,0.001,165.69,0.004085944,,,0,0,,,,1500,,,1500,6,1500,6
Staves (barrels),,75.15,,0.00005,165.69,0.002267789,,,0,0,,2000,,1000,1800,500,5300,12,5300,12
Staves (hhd),M,6.77,,1,165.69,4.08594363,2,5,7,29,,,,14,,,14,57,21,86
Staves (hhds),,6.77,,0.001,165.69,0.004085944,7200,,7200,29,,,,7000,,,7000,29,14200,58
Staves and heading,M,6.77,,1,165.69,4.08594363,10,,10,41,,,,,,,0,0,10,41
Staves and heading,,6.77,,0.001,165.69,0.004085944,1000,,1000,4,,,,,,,0,0,1000,4
Tar and turpentine,barrels,13.36,,0.05,165.69,0.403162532,12,,12,5,,,,,,,0,0,12,5
Tobacco,pounds,32.5,,0.0005,165.69,0.009807472,,4040,4040,40,,,1750,,,,1750,17,5790,57
Wheat,bushels,6.78,,0.05,165.69,0.20459895,,,0,0,,300,1211.5,8070,4,1642,11227.5,2297,11227.5,2297
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,4058,,,,,,,,5461,,9519
