Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,Glasgow,GB,,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1727,,,,Sterling,,Quantity,Value,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,32,,0.05,149.58,1.069661719,6,6,6,,,0,0,,0,0,,0,0,,0,0,6,6
Corn,bushels,2.02,,0.05,149.58,0.067522396,2600,2600,176,7660,4000,11660,787,,0,0,1000,1000,68,1100,1100,74,16360,1105
Deer Skins,,,,,149.58,0,,0,0,,110,110,0,,0,0,,0,0,2,2,0,112,0
Deer skins (raw),,,,,149.58,0,,0,0,,,0,0,,0,0,,0,0,4,4,0,4,0
Plank,feet,3.6,,0.0005,149.58,0.001203369,,0,0,,,0,0,,0,0,,0,0,1000,1000,1,1000,1
Pork,barrels,47.79,,0.05,149.58,1.597472924,5,5,8,14,70,84,134,,0,0,,0,0,22,22,35,111,177
Rye,bushels,2.02,,0.05,149.58,0.067522396,,0,0,,,0,0,,0,0,,0,0,30,30,2,30,2
Staves (barrels),,22.5,,0.00005,149.58,0.000752106,,0,0,,,0,0,4000,4000,3,,0,0,,0,0,4000,3
Staves (hhds),,2.25,,0.001,149.58,0.001504212,24800,24800,37,,,0,0,,0,0,,0,0,,0,0,24800,37
Staves (pipes),,3,,0.001,149.58,0.002005616,,0,0,,600,600,1,2500,2500,5,,0,0,,0,0,3100,6
Tobacco,pounds,17.87,,0.0005,149.58,0.005973392,,0,0,100,,100,1,,0,0,,0,0,,0,0,100,1
Tobacco,hhds,17.87,,0.394,149.58,4.707033026,5,5,24,,3,3,14,207,207,974,,0,0,,0,0,215,1012
Tobacco,barrels,17.87,,0.197,149.58,2.353516513,,0,0,,1,1,2,,0,0,,0,0,,0,0,1,2
Tobacco,casks,17.87,,0.197,149.58,2.353516513,,0,0,,,0,0,7,7,16,,0,0,,0,0,7,16
Wheat,bushels,3.27,,0.05,149.58,0.109306057,,0,0,,1300,1300,142,,0,0,700,700,77,350,350,38,2350,257
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,251,,,,1081,,,998,,,145,,,150,,2625
