Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,Spanish Town,St. Kitts,St. Martins,Virgin Islands,WI,,Turks Island,Bermuda,Boston,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Dumfries,GB,,Africa,AFR,,Madeira,SEU,,TOTAL,
,,1752,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,51.01,,0.05,166.85,1.52861852,,,,,,,,,,,0,0,,,,,,19,,,,,19,29,,0,0,,0,0,,0,0,19,29
Beeswax,tons,,,,166.85,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,0,0,7,7,0,,0,0,7,0
Biscuit,tons,13.17,,1,166.85,7.893317351,,,,,,,,,,,0,0,,,,,18,,,,,,18,142,,0,0,,0,0,,0,0,18,142
Bread,kegs,21.94,,0.044642857,166.85,0.587032835,,,,,,,,,,,0,0,,,,,,,60,,,,60,35,,0,0,,0,0,,0,0,60,35
Bread,barrels,21.94,,0.089285714,166.85,1.174065671,,,,,,,,,,,0,0,,,,,62.25,,145,,,,207.25,243,,0,0,,0,0,,0,0,207.25,243
Cheese,pounds,,,,166.85,0,,,,,,,,,,,0,0,,,,400,500,,2000,,,,2900,0,,0,0,,0,0,,0,0,2900,0
Cheese,cwt,,,,166.85,0,,,,,,,,,,,0,0,,,,,,,,,8,,8,0,,0,0,,0,0,,0,0,8,0
Chocolate,boxes,,,,166.85,0,,,,,,,,,,,0,0,,,,,2,,22,,6,,30,0,,0,0,,0,0,,0,0,30,0
Coffee,barrels,,,,166.85,0,,,,2,,,,,,,2,0,,4,,,4,,5,,,,13,0,,0,0,,0,0,,0,0,15,0
