Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Montserrat,St. Christophers,St. Eustatia,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,New York,North Carolina,Philadelphia,Rhode Island,South Carolina,NA,,Isle of May,Madeira,SEU,,TOTAL,
,,1745,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,barrels,13.06,,0.089285714,174.77,0.667203427,,,,,,,0,0,,,,,,,,111.25,,,111.25,74,,,0,0,111.25,74
Cheese,pounds,,,,174.77,0,,,,,,,0,0,,,,,,,,200,9600,,9800,0,,,0,0,9800,0
Chocolate,boxes,,,,174.77,0,,,,,,,0,0,,,,,,10,,13,,,23,0,,,0,0,23,0
Clayed sugar,pounds,1.25,,0.05,174.77,0.035761286,,,502,,,,502,18,,,,,,,,,,,0,0,,,0,0,502,18
Clayed sugar,casks,1.25,,6.25,174.77,4.470160783,,,4,,,,4,18,,,,,,,,,,,0,0,,,0,0,4,18
Coffee,pounds,,,,174.77,0,,,,,,,0,0,,,,,,,,400,,,400,0,,,0,0,400,0
Coffee,bags,,,,174.77,0,,,,,,,0,0,,,1,,,,,,,,1,0,,,0,0,1,0
Coffee,barrels,,,,174.77,0,,37,,,,,37,0,,,,,,,,2,,,2,0,,,0,0,39,0
Cotton,bags,1.33,,6,174.77,4.56600103,,,2,,,,2,9,,,,,,,,,,,0,0,,,0,0,2,9
Flour,barrels,8.01,,0.089285714,174.77,0.40921129,,,,,,,0,0,,,,,,,,140,,,140,57,,,0,0,140,57
Flour and biscuit,tons,8.41,,1,174.77,4.812038679,,,,,,,0,0,,,,,,2,,,,,2,10,,,0,0,2,10
Ginger,bags,,,,174.77,0,,,4,,,,4,0,,,,,,,,,,,0,0,,,0,0,4,0
Ginger,pounds,,,,174.77,0,,,327,,,,327,0,,,,,,,,,,,0,0,,,0,0,327,0
Indigo,pounds,6.34,,0.05,174.77,0.181381244,,,,,,,0,0,337,,10,,,,,,,,347,63,,,0,0,347,63
Iron,tons,8,,1,174.77,4.577444642,,,,,,,0,0,,,,,,,,4,,,4,18,,,0,0,4,18
Loaf sugar,barrels,1.25,,6.25,174.77,4.470160783,,,,,,,0,0,,,,,,,,4,,,4,18,,,0,0,4,18
Loaf sugar,tierces,1.25,,17,174.77,12.15883733,,,,,,,0,0,,,,,,,,11,,,11,134,,,0,0,11,134
Loaf sugar,hhds,1.25,,25,174.77,17.88064313,,,,,,,0,0,,,,,,,,14,,,14,250,,,0,0,14,250
Molasses,gallons,2.34,,0.05,174.77,0.066945128,4200,,2415,,18663,,25278,1692,200,,1589,1000,,420,,5400,700,,9309,623,,,0,0,34587,2315
Negroes,,31.04,,1,100,31.04,,7,71,,52,1,131,4066,,,7,,,,,2,,,9,279,,,0,0,140,4345
Plank,feet,4.688,,0.0005,174.77,0.001341191,,,,,,,0,0,1000,,,,,,,300,,,1300,2,,,0,0,1300,2
Refined sugar,hhds,1.25,,25,174.77,17.88064313,,,,,,,0,0,,,,,,,,6,,,6,107,,,0,0,6,107
Rice,pounds,10,,0.000446429,174.77,0.002554378,,,,,,,0,0,,,,,,,,,,29557,29557,75,,,0,0,29557,75
Rum,gallons,3.25,,0.05,174.77,0.092979344,1180,44940,93455,10400,35000,,184975,17199,,375,4736,478,,,,8150,800,,14539,1352,,,0,0,199514,18551
Salt,bushels,2.595,,0.05,174.77,0.07424043,,,1000,,,,1000,74,,8600,8900,,,,,282,,,17782,1320,9500,,9500,705,28282,2099
Spirits,gallons,3.25,,0.05,174.77,0.092979344,,49,,,,,49,5,,,,46,,,,,,,46,4,,,0,0,95,9
Sugar,pounds,43.02,,0.000446429,174.77,0.010988932,65000,18911,156596,5760,56250,,302517,3324,,,15686,400,,33600,,29400,,4802,83888,922,,,0,0,386405,4246
Sugar,barrels,43.02,,0.15,174.77,3.692281284,,,,,,,0,0,,,33,,,,,,,,33,122,,,0,0,33,122
Sugar,tierces,43.02,,0.444196429,174.77,10.93398773,,,10,,,,10,109,,,,,,,,,,,0,0,,,0,0,10,109
Tar,barrels,10.38,,0.05,174.77,0.296961721,,,,,,,0,0,,,,,,,83,,,,83,25,,,0,0,83,25
Turpentine,barrels,12.51,,0.05,174.77,0.357898953,,,,,,,0,0,,,,,,,167,,,,167,60,,,0,0,167,60
White sugar,barrels,1.25,,6.25,174.77,4.470160783,,,,,,,0,0,,,,,,,,27,,,27,121,,,0,0,27,121
Wine,small casks,27.5,,,174.77,0,,,31,,,,31,0,,,,,,,,,,,0,0,,,0,0,31,0
Wine,kegs,27.5,,,174.77,0,,,,,,,0,0,,,1,,,,,,,,1,0,,,0,0,1,0
Wine,butts,27.5,,,174.77,0,,,3,,,,3,0,,,,,,,,,,,0,0,,,0,0,3,0
Wine,casks,27.5,,,174.77,0,,,50,,,,50,0,,,,,5,,,,,,5,0,,,0,0,55,0
Wine,barrels,27.5,,0.5,174.77,7.867482978,,7,,,,,7,55,,,,,,,,,,,0,0,,,0,0,7,55
Wine,gallons,27.5,,0.007936508,174.77,0.124880682,,44940,,,,,44940,5612,,,,,,7.5,,,,,7.5,1,,,0,0,44947.5,5613
Wine,quarter casks,27.5,,0.25,174.77,3.933741489,,4,,,,,4,16,,,1,,,,,16,,,17,67,,,0,0,21,83
Wine,hhds,27.5,,0.5,174.77,7.867482978,,82,15,,20,,117,920,,,,,,1,,2,,,3,24,,3,3,24,123,968
Wine,pipes,27.5,,1,174.77,15.73496596,,1,,,,,1,16,2,,4,,,,,2,,,8,126,,217,217,3414,226,3556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,33133,,,,,,,,,,,,5854,,,,4143,,43130
