Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Grandterre,Guadeloupe,Jamaica,Montserrat,Nevis,St. Kitts,St. Martins,Tortola,WI,,New Providence,Bermuda,Boston,New Haven,New York,North Carolina,Philadelphia,Rhode Island,Salem,St. Augustine,NA,,Fyall,Lisbon,Madeira,Teneriff,SEU,,Africa,Senegal,AFR,,TOTAL,
,,1760,,,,Sterling,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,53.72,,0.05,158.61,1.693461951,,,,,,,,,,,,0,0,,,,,,9,,,,,9,15,,,,,0,0,,,0,0,9,15
Chocolate,boxes,,,,158.61,0,,,,,,,,,,,,0,0,,,,,26,,14,,,,40,0,,,,,0,0,,,0,0,40,0
Coffee,pounds,,,,158.61,0,,,,,,,,,,,,0,0,9000,600,,,,,,,,,9600,0,,,,,0,0,,,0,0,9600,0
Coffee,barrels,,,,158.61,0,,,24,1,24,3,,,,,,52,0,17,20,,,6,,12,,,,55,0,,,,,0,0,,,0,0,107,0
Corn,bushels,2.96,,0.05,158.61,0.093310636,,,,,,,,,,,,0,0,,,,,,978,,,,,978,91,,,,,0,0,,,0,0,978,91
Flour,barrels,14.96,,0.089285714,158.61,0.842137498,,,,,,,,,,,,0,0,,,,,,8,,,,,8,7,,,,,0,0,,,0,0,8,7
Furs,bundles,,,,158.61,0,,,,,,,,,,,,0,0,,,,,,1,,,,,1,0,,,,,0,0,,,0,0,1,0
Ginger,bags,,,,158.61,0,,,,,,33,,,,,,33,0,,,,,4,,,,,,4,0,,,,,0,0,,,0,0,37,0
Loaf sugar,pounds,1.01,,0.05,158.61,0.031839102,,,,,,,,,,,,0,0,,,,,,,1200,4000,,,5200,166,,,,,0,0,,,0,0,5200,166
Molasses,hhds,2.7,,5.05,158.61,8.596557594,,16,16,91,27,108,,94,17,,65,434,3731,49,18,5,,88,,10,18,2,,190,1633,,,,,0,0,,,0,0,624,5364
Negroes,,35.61,,1,100,35.61,,,6,,,,,,,,,6,214,,,,,,,,,,,0,0,,,,,0,0,76,60,136,4843,142,5057
Pimento,bags,,,,158.61,0,,,,,,16,,,,,,16,0,,,,,,,6,,,,6,0,,,,,0,0,,,0,0,22,0
Pitch,barrels,14.47,,0.05,158.61,0.456150306,,,,,,,,,,,,0,0,,,,,,85,,,,,85,39,,,,,0,0,,,0,0,85,39
Plank,feet,,,,158.61,0,,,,,,,,,,,,0,0,4235,,,,,,,,,,4235,0,,,,,0,0,,,0,0,4235,0
Rice,barrels,19,,,158.61,0,,,,,,,,,,,,0,0,10,,,,,,,,,,10,0,,,,,0,0,,,0,0,10,0
Rum,hhds,4.73,,5.25,158.61,15.65632684,5,128,1300,84,9,88,112,208,303,,,2237,35023,,19,,1,3,,,2,1,1,27,423,,,,,0,0,,,0,0,2264,35446
Salt,bushels,2.555,,0.05,158.61,0.080543471,500,38,4000,,,,,1600,1200,11960,1000,20298,1635,400,9600,,,200,,1300,,260,,11760,947,,2000,,,2000,161,,,0,0,34058,2743
Spirits,cases,4.73,,,158.61,0,,,,,,,,,,,,0,0,,,,,6,,,,,,6,0,,,,,0,0,,,0,0,6,0
Sugar,barrels,47.85,,0.15,158.61,4.525250615,3,14,695,25,7,20,,73,44,,25,906,4100,149,77,25,,405,,83,96,3,,838,3792,,,,,0,0,,,0,0,1744,7892
Sugar,pounds,47.86,,0.000446429,158.61,0.013470822,,,,,,,,,,,,0,0,,22500,,2000,,,,,,,24500,330,,,,,0,0,,,0,0,24500,330
Sugar,boxes,47.95,,,158.61,0,,,,,,,,,,,,0,0,,,,,,,,,,6,6,0,,,,,0,0,,,0,0,6,0
Tar,barrels,10.82,,0.05,158.61,0.341088204,,,,,,,,,,,,0,0,,,,,,88,,,,,88,30,,,,,0,0,,,0,0,88,30
Tea,chests,,,,158.61,0,,,,,,,,,,,,0,0,,,,,,,8,,,,8,0,,,,,0,0,,,0,0,8,0
Wine,hhds,50.31,,0.5,158.61,15.85965576,,,,,,,,,,,,0,0,38,,,,,,,,,,38,603,,,,,0,0,,,0,0,38,603
Wine,pipes,50.31,,1,158.61,31.71931152,,,,,,7,,,,,,7,222,,4,,,1.5,,0.5,10,,,16,508,126.25,19,266.75,10,422,13386,,,0,0,445,14116
Wine,quarter casks,50.31,,0.25,158.61,7.92982788,,,,,,,,,,,,0,0,,,,,,,5,,,,5,40,,,,,0,0,,,0,0,5,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,,,44925,,,,,,,,,,,,8624,,,,,,13547,,,,4843,,71939
