Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,New Providence,Turks Island,Bermuda,Boston,New Hampshire,New  York,Perth Amboy,Philadelphia,Rhode Island,South Carolina,NA,,Montrose,GB,,Isle of May,Madeira,Vamire,SEU,,TOTAL,
,,1742,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,27.5,,0.000446429,159.38,0.00770284,,,,,0,0,,,,,,,,200,,,200,2,,0,0,,,,0,0,200,2
Bread,casks,15.96,,,159.38,0,,,,,0,0,,,,,,,,9,,,9,0,,0,0,,,,0,0,9,0
Cheese,pounds,,,,159.38,0,,,,,0,0,,,,800,100,,,,200,,1100,0,,0,0,,,,0,0,1100,0
Cheese,hhds,,,,159.38,0,,,,,0,0,,,,,,,2,,,,2,0,,0,0,,,,0,0,2,0
Cheese,barrels,,,,159.38,0,,,,,0,0,,,,,,,,2,,1,3,0,,0,0,,,,0,0,3,0
Chocolate,pounds,,,,159.38,0,,,,,0,0,,,,204,,,,,,,204,0,,0,0,,,,0,0,204,0
Coffee,casks,,,,159.38,0,,,2,,2,0,,,,,,,,,,,0,0,,0,0,,,,0,0,2,0
Cotton,pounds,1.01,,0.05,159.38,0.03168528,600,865,,,1465,46,,,3907,,,,,,,,3907,124,,0,0,,,,0,0,5372,170
Cotton,bags,1.01,,6,159.38,3.802233655,1,,,,1,4,,,,,,,,,,,0,0,,0,0,,,,0,0,1,4
Cotton wool,bags,1.01,,6,159.38,3.802233655,,2,,,2,8,,,3,,,,,,,,3,11,,0,0,,,,0,0,5,19
Flour,casks,10.98,,0.089285714,159.38,0.615106753,,,,,0,0,,,,,,,,16,,,16,10,,0,0,,,,0,0,16,10
Ginger,bags,,,,159.38,0,,8,,,8,0,,,,,,,,,,,0,0,,0,0,,,,0,0,8,0
Ginger,pounds,,,,159.38,0,,,2984,,2984,0,,,,,,,,,,,0,0,,0,0,,,,0,0,2984,0
Linen,hhds,,,,159.38,0,,,,,0,0,,,,,,1,,,,,1,0,,0,0,,,,0,0,1,0
Linen,boxes,,,,159.38,0,3,,,,3,0,,,,,,,,,,,0,0,,0,0,,,,0,0,3,0
Loaf sugar,pounds,1.49,,0.05,159.38,0.046743632,,,,,0,0,,,,222,,,,,,,222,10,,0,0,,,,0,0,222,10
Molasses,gallons,2.28,,0.05,159.38,0.071527168,,240,5784,1200,7224,517,200,,4900,1400,600,3200,,100,1000,150,11550,826,,0,0,,,,0,0,18774,1343
Negroes,,26.64,,1,100,26.64,7,138,,11,156,4156,,,15,,,,,2,,,17,453,,0,0,,,,0,0,173,4609
Pimento,pounds,,,,159.38,0,,,1194,,1194,0,,,,,,,,,,,0,0,,0,0,,,,0,0,1194,0
Rice,barrels,16.17,,,159.38,0,,,,,0,0,,,,,,,,,,5,5,0,,0,0,,,,0,0,5,0
Rum,gallons,3.64,,0.05,159.38,0.114192496,6746,69897,,18087,94730,10817,200,,9354,9334,719,3352,850,700,1185,,25694,2934,,0,0,,,,0,0,120424,13751
Salt,bushels,2.785,,0.05,159.38,0.087369808,700,200,,,900,79,1400,1000,10450,430,130,280,,4609,60,400,18759,1639,,0,0,39300,,1500,40800,3565,60459,5283
Servants,,9.687272727,,1,100,9.687272727,,,,,0,0,,,,,,,,,,,0,0,26,26,252,,,,0,0,26,252
Spirits,gallons,3.64,,0.05,159.38,0.114192496,,,,,0,0,,,,63,,,,,,,63,7,,0,0,,,,0,0,63,7
Sugar,tierces,40.94,,0.444196429,159.38,11.41009022,2,,,,2,23,,,,,,,,,,,0,0,,0,0,,,,0,0,2,23
Sugar,pounds,40.94,,0.000446429,159.38,0.011467427,11250,100572,,3000,114822,1317,700,,135008,1000,1200,600,,1200,500,250,140458,1611,,0,0,,,,0,0,255280,2928
Wine,hhds,24.35,,0.5,159.38,7.638976032,29,,,,29,222,,,,,,,,,,,0,0,,0,0,,7,,7,53,36,275
Wine,barrels,24.35,,0.25,159.38,3.819488016,,,,,0,0,,,,,,2,,,,,2,8,,0,0,,,,0,0,2,8
Wine,quarter casks,24.35,,0.25,159.38,3.819488016,,,,,0,0,,,,,,,,4,,,4,15,,0,0,,,,0,0,4,15
Wine,pipes,24.35,,1,159.38,15.27795206,,2,,,2,31,,,,,,,,,,,0,0,,0,0,,122,,122,1864,124,1895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,17220,,,,,,,,,,,,7650,,,252,,,,,5482,,30604
