Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New Hampshire,New  York,North Carolina,Philadelphia,Rhode Island,Salem,South Carolina,NA,,Madeira,SEU,,TOTAL,
,,1739,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,35.75,,0.05,169.69,1.053391479,,,,,0,0,,,,,43,,,,,43,45,,0,0,43,45
Beeswax,barrels,,,,169.69,0,,,,,0,0,,,,,1,,,,,1,0,,0,0,1,0
Bread,casks,13.01,,,169.69,0,,,,,0,0,,,,,,60,,,,60,0,,0,0,60,0
Cheese,hhds,,,,169.69,0,,,,,0,0,,,,,,2,,,,2,0,,0,0,2,0
Chocolate,boxes,,,,169.69,0,,,,,0,0,,,,4,,2,,,,6,0,,0,0,6,0
Cotton,pounds,1.33,,0.05,169.69,0.03918911,,600,,100,700,27,,,,,,,,,,0,0,,0,0,700,27
Flax,hhds,,,,169.69,0,,,,,0,0,,1,,,,,,,,1,0,,0,0,1,0
Flour,casks,8.03,,,169.69,0,,,,,0,0,,,,,,8,,,,8,0,,0,0,8,0
Flour and biscuit,tons,8.815,,1,169.69,5.194766928,,,,,0,0,,,,2,,,,,,2,10,,0,0,2,10
Ginger,bags,,,,169.69,0,,1,,,1,0,,,,,,1,,,,1,0,,0,0,2,0
Ginger,casks,,,,169.69,0,,1,,,1,0,,,,,,,,,,0,0,,0,0,1,0
Indigo,barrels,7.44,,,169.69,0,,,,,0,0,1,,,,,,,,,1,0,,0,0,1,0
Molasses,gallons,1.59,,0.05,169.69,0.046850138,1500,390,4619,16410,22919,1074,3150,700,,14000,,400,1800,800,1100,21950,1028,,0,0,44869,2102
Negroes,,26.64,,1,100,26.64,25,26,7,1,59,1572,8,1,,,,,,,,9,240,,0,0,68,1812
Plank,feet,5.152,,0.0005,169.69,0.001518062,,,,,0,0,,,,,60,,,,,60,0,,0,0,60,0
Pork,barrels,54.88,,0.05,169.69,1.617066415,,,,,0,0,,,,,86,,,,,86,139,,0,0,86,139
Rum,gallons,2.33,,0.05,169.69,0.068654605,25656,72577,767,19680,118680,8148,1793,2650,64,700,,2381,,326,800,8714,598,,0,0,127394,8746
Salt,bushels,1.7,,0.05,169.69,0.050091343,1400,,,,1400,70,2588,835,160,,,60,,45,,3688,185,,0,0,5088,255
Sugar,pounds,38.08,,0.000446429,169.69,0.010018269,20700,115400,20800,20400,177300,1776,7600,,,13800,,1400,,200,800,23800,238,,0,0,201100,2014
Tar,barrels,9.42,,0.05,169.69,0.277564971,,,,,0,0,,,,,397,,,,,397,110,,0,0,397,110
Wine,kegs,21.58,,,169.69,0,,,,,0,0,,,,,,3,,,,3,0,,0,0,3,0
Wine,quarter casks,21.58,,0.25,169.69,3.179327008,,12,,,12,38,,,,,,5,,,,5,16,2,2,6,19,60
Wine,hhds,21.58,,0.5,169.69,6.358654016,,9,,,9,57,,,,,,,,,,0,0,6,6,38,15,95
Wine,pipes,21.58,,1,169.69,12.71730803,2,48,,9,59,750,,,,,,,,,,0,0,128,128,1628,187,2378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,13512,,,,,,,,,,,2609,,,1672,,17793
