Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Granada,Grenadoes,Nevis,St. Christophers,St. Croix,St. Eustatia,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,New England,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,GB,,Cork,Dublin,Londonderry,IRE,,Gambia,AFR,,Isle of May,SEU,,TOTAL,
,,1767,,,,Sterling,,,,,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,pounds,,,,166.02,0,,,,,500,,,,,,500,0,,,,,,,,520,,28,548,0,,,,0,0,,,,0,0,,0,0,,0,0,1048,0
Convicts,,12.63272727,,1,100,12.63272727,,,,,,,,,,,0,0,,,,,,,,,,,0,0,209,214,5,428,5407,,,,0,0,,0,0,,0,0,428,5407
Cotton,pounds,1.93,,0.05,166.02,0.058125527,,,400,,,,,,,,400,23,150,,,,,100,,,,,250,15,,,,0,0,,,,0,0,800,800,47,,0,0,1450,85
Cotton wool,pounds,1.93,,0.05,166.02,0.058125527,,,,,,,177,1400,,,1577,92,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,0,0,,0,0,1577,92
Gold (bar),ounces,,,1,163.99,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,0,0,32,32,0,,0,0,32,0
Hides,pounds,,,,166.02,0,,,,,,,,,,,0,0,,,,,,,882,,,,882,0,,,,0,0,,,,0,0,,0,0,,0,0,882,0
Linen,boxes,,,,166.02,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,2,,2,0,,0,0,,0,0,2,0
Linen,yards,,,,166.02,0,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,2200,2200,0,,0,0,,0,0,2200,0
Loaf sugar,quarters,1.01,,1.4,166.02,0.851704614,,,,,,,,,,,0,0,,,,11,,,,,,,11,9,,,,0,0,,,,0,0,,0,0,,0,0,11,9
Loaf sugar,pounds,1.01,,0.05,166.02,0.030418022,,,,,,,,,,,0,0,,,,4945,,,,,2039,105,7089,216,,,,0,0,,,,0,0,,0,0,,0,0,7089,216
Loaf sugar,cwt,1.01,,5.6,166.02,3.406818456,,,,,,,,,,,0,0,,,,42,,,,,,,42,143,,,,0,0,,,,0,0,,0,0,,0,0,42,143
Mahogany plank,feet,,,,166.02,0,,,,,,,,,,,0,0,2700,,,,,,,,,,2700,0,,,,0,0,,,,0,0,,0,0,,0,0,2700,0
Molasses,hhds,1.74,,5.05,166.02,5.292735815,,,,,,,,,,,0,0,,,,,,18,,,,,18,95,,,,0,0,,,,0,0,,0,0,,0,0,18,95
Molasses,gallons,1.74,,0.05,166.02,0.052403325,,,,4590,900,,,,4500,,9990,524,,,,26096,,,200,200,360,409,27265,1429,,,,0,0,,,,0,0,,0,0,,0,0,37255,1953
Molasses,casks,1.74,,3.05,166.02,3.196602819,,,,,,,,,,,0,0,,,,,,,,,,4,4,13,,,,0,0,,,,0,0,,0,0,,0,0,4,13
Muscovado sugar,hhds,49.43,,0.646875,166.02,19.25974657,,,,,,,,,,,0,0,,,,,,,,1,,,1,19,,,,0,0,,,,0,0,,0,0,,0,0,1,19
Muscovado sugar,pounds,49.43,,0.000446429,166.02,0.013291751,,,5000,,,,,10350,,,15350,204,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,0,0,,0,0,15350,204
Negroes,,34.74,,1,100,34.74,,22,,,,,2,,,,24,834,,,2,,,,,,,,2,69,,,,0,0,,,,0,0,98,98,3405,,0,0,124,4308
Pine boards,feet,11.296,,0.0005,166.02,0.003402,,,,,,,,,,,0,0,,,,,,7000,,,,,7000,24,,,,0,0,,,,0,0,,0,0,,0,0,7000,24
Pitch,barrels,16.16,,0.05,166.02,0.486688351,,,,,,,,,,,0,0,,,,,,,85,,,,85,41,,,,0,0,,,,0,0,,0,0,,0,0,85,41
Plank,feet,11.296,,0.0005,166.02,0.003402,,,,,,,,,,,0,0,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,0,0,,0,0,0,0
Pork,barrels,71.76,,0.05,166.02,2.161185399,,100,,,,,,,,,100,216,,,,,,,408,10,,,418,903,,,,0,0,,,,0,0,,0,0,,0,0,518,1119
