Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Nevis,WI,,Boston,New England,North Carolina,Philadelphia,Rhode Island,Salem,NA,,London,Barnstaple,Bideford,Bristol,GB,,Dublin,Newry,Waterford,IRE,,Unknown,UNK,,TOTAL,
,,1753,,,,Sterling,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel staves,M,56.87,,0.05,167.49,1.697713296,,,,,0,0,,,,4,,,4,7,,,,,0,0,,,,0,0,,0,0,4,7
Beef,barrels,45.7,,0.05,167.49,1.364260553,,,,,0,0,,,20,,,,20,27,,,,,0,0,,,,0,0,,0,0,20,27
Bread,barrels,21.52,,0.089285714,167.49,1.147190024,,,,,0,0,,,,94,,,94,108,,,,,0,0,,,,0,0,,0,0,94,108
Brown sugar,quarters,51.7,,0.0125,167.49,0.385843931,,,,,0,0,1,,,,,,1,0,,,,,0,0,,,,0,0,,0,0,1,0
Brown sugar,cwt,51.7,,0.05,167.49,1.543375724,,,,,0,0,2,,,,,,2,3,,,,,0,0,,,,0,0,,0,0,2,3
Cheese,weight,,,,167.49,0,,,,,0,0,,,,,500,,500,0,,,,,0,0,,,,0,0,,0,0,500,0
Chocolate,boxes,,,,167.49,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,0,0
Chocolate,pounds,,,,167.49,0,,,,,0,0,,,,,50,,50,0,,,,,0,0,,,,0,0,,0,0,50,0
Coffee,pounds,,,,167.49,0,,,400,,400,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,400,0
Coffee,barrels,,,,167.49,0,,,,,0,0,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,0,0
Convicts,,12.03636364,,1,100,12.03636364,,,,,0,0,,,,,,,0,0,,,,75,75,903,35,,,35,421,,0,0,110,1324
Flour,barrels,12.8,,0.089285714,167.49,0.682343509,,,,,0,0,,,,837,,,837,571,,,,,0,0,,,,0,0,,0,0,837,571
Fyall wine,pipes,30.7,,1,167.49,18.3294525,,,,,0,0,6,,,,,,6,110,,,,,0,0,,,,0,0,,0,0,6,110
Ginger,bags,,,,167.49,0,,,4,,4,0,9,,,,,,9,0,,,,,0,0,,,,0,0,,0,0,13,0
Ham,hhds,63.2,,0.1,167.49,3.773359604,,,,,0,0,,,,1,,,1,4,,,,,0,0,,,,0,0,,0,0,1,4
Loaf sugar,hhds,1.05,,25,167.49,15.67257747,,,,,0,0,24,,,,,,24,376,,,,,0,0,,,,0,0,,0,0,24,376
Loaf sugar,barrels,1.05,,6.25,167.49,3.918144367,,,,,0,0,1,,,,,,1,4,,,,,0,0,,,,0,0,,0,0,1,4
Madeira,pipes,30.7,,1,167.49,18.3294525,28,,,,28,513,,,,2,,,2,37,,,,,0,0,,,,0,0,,0,0,30,550
Madeira,quarter casks,30.7,,0.25,167.49,4.582363126,1,,,,1,5,,,,6,,,6,27,,,,,0,0,,,,0,0,,0,0,7,32
Madeira,gallons,30.7,,0.007936508,167.49,0.145471845,,,,,0,0,,,,100,,,100,15,,,,,0,0,,,,0,0,177,177,26,277,41
Madeira,hhds,30.7,,0.5,167.49,9.164726252,1,,,,1,9,,,,1,,,1,9,,,,,0,0,,,,0,0,,0,0,2,18
Molasses,gallons,2.03,,0.05,167.49,0.060600633,,,5332,900,6232,378,100,,,,100,112,312,19,,,,,0,0,,,,0,0,,0,0,6544,397
Muscovado sugar,pounds,51.7,,0.000446429,167.49,0.01378014,,56,,,56,1,,,,,,,0,0,,,,,0,0,,,,0,0,,0,0,56,1
