Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,Bideford,Bristol,Liverpool,Lyme Regis,Whitehaven,Glasgow,GB,,TOTAL,
,,1725,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.13,,0.05,139.34,0.07643175,,0,0,,30,30,2,,,,,,,0,0,30,2
Corn,bushels,2.13,,0.05,139.34,0.07643175,690,690,53,4430,40,4470,342,,,,,,,0,0,5160,395
Deer Skins,,,,,139.34,0,,0,0,,523,523,0,,,,,,,0,0,523,0
Iron,pounds,,,0.000446429,139.34,0,,0,0,,200,200,0,,,,,,,0,0,200,0
Peas,bushels,2.13,,0.05,139.34,0.07643175,,0,0,130,,130,10,,,,,,,0,0,130,10
Plank,pieces,3.825,,0.0005,139.34,0.001372542,,0,0,5,,5,0,,,,,,,0,0,5,0
Plank,feet,3.825,,0.0005,139.34,0.001372542,,0,0,,,0,0,3699,,4000,2020,1300,4000,15019,21,15019,21
Pork,hhds,39.29,,0.1,139.34,2.819721544,,0,0,,5,5,14,,,,,,,0,0,5,14
Pork,barrels,39.29,,0.05,139.34,1.409860772,,0,0,,23,23,32,,,,,,,0,0,23,32
Staves,,2.25,,0.001,139.34,0.001614755,,0,0,2000,,2000,3,15000,5500,3000,5500,10200,29500,68700,111,70700,114
Tobacco,hhds,33.46,,0.39,139.34,9.365149993,,0,0,,,0,0,286,278,99,97,374,1247,2381,22298,2381,22298
Tobacco,barrels,33.46,,0.195,139.34,4.682574996,,0,0,,,0,0,1,,,,2,11,14,66,14,66
Wheat,bushels,3.87,,0.05,139.34,0.138868954,,0,0,,410,410,57,,,,,,,0,0,410,57
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,53,,,,460,,,,,,,,22496,,23009
