Good,Unit,Price,Price,Conv,Exch,Price,Bermuda,Boston,New Hampshire,Salem,NA,,TOTAL,
,,1725,,,,Sterling,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Molasses,hhds,1.43,,5.05,149.58,4.827851317,2,10,3,,15,72,15,72
Rum,barrels,2.87,,1.45,149.58,2.782123279,3,,,,3,8,3,8
Rum,hhds,2.87,,5.25,149.58,10.07320497,,9,1,2,12,121,12,121
Rum,tierces,2.87,,3.05,149.58,5.852052413,2,,,,2,12,2,12
Salt,bushels,2.07,,0.05,149.58,0.069193742,3400,,,,3400,235,3400,235
Salt,hhds,2.07,,0.35,149.58,0.484356197,,40,,,40,19,40,19
Sugar,barrels,32.63,,0.175,149.58,3.817522396,,3,,,3,11,3,11
Sugar,casks,32.63,,0.15,149.58,3.272162054,,1,,,1,3,1,3
Wine,barrels,20.5,,0.25,149.58,3.426260195,,1,,,1,3,1,3
,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,484,,484
