Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,WI,,Boston,Halifax,Nantucket,New London,New York,Philadelphia,Rhode Island,NA,,TOTAL,
,,1760,,,,Sterling,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,158.61,0,,0,0,,,400,,,500,100,1000,0,1000,0
Chocolate,boxes,,,,158.61,0,,0,0,,2,,,,,,2,0,2,0
Coffee,barrels,,,,158.61,0,,0,0,,,,,,1,,1,0,1,0
Coffee,bags,,,,158.61,0,4,4,0,,,,,,,2,2,0,6,0
Cotton,baskets,1.32,,,158.61,0,2,2,0,,,,,,,,0,0,2,0
Cotton,bales,1.32,,,158.61,0,1,1,0,,,,,,,,0,0,1,0
Molasses,tierces,2.7,,3.05,158.61,5.191980329,,0,0,,,,,3,,,3,16,3,16
Molasses,gallons,2.7,,0.05,158.61,0.085114432,100,100,9,,,,,,,,0,0,100,9
Molasses,casks,2.7,,3.05,158.61,5.191980329,,0,0,,,,,2,,5,7,36,7,36
Molasses,hhds,2.7,,5.25,158.61,8.937015321,,0,0,,,6,20,4,,4,34,304,34,304
Plank,feet,8.56,,0.0005,158.61,0.002698443,,0,0,6000,,,,,,,6000,16,6000,16
Rum,tierces,4.73,,3,158.61,8.94647248,,0,0,,,,,4,,,4,36,4,36
Rum,casks,4.73,,3.05,158.61,9.095580354,,0,0,,,,,3,,3,6,55,6,55
Rum,hhds,4.73,,5.25,158.61,15.65632684,,0,0,,,1,,2,4,,7,110,7,110
Rum,barrels,4.73,,1.45,158.61,4.324128365,,0,0,,,2,,,,4,6,26,6,26
Salt,bushels,2.555,,0.05,158.61,0.080543471,1273,1273,103,,,,,90,500,60,650,52,1923,155
Salt,hhds,2.555,,0.35,158.61,0.5638043,,0,0,5,,12,,,,,17,10,17,10
Sugar,tierces,47.85,,0.489285714,158.61,14.76093653,2,2,30,,,,2,,,,2,30,4,60
Sugar,casks,47.85,,0.15,158.61,4.525250615,,0,0,,,,,4,,1,5,23,5,23
Sugar,hhds,47.85,,0.632142857,158.61,19.07069902,,0,0,,,,1,1,,,2,38,2,38
Sugar,barrels,47.85,,0.15,158.61,4.525250615,7,7,32,,,10,,15,9,6,40,181,47,213
Tar,barrels,10.82,,0.05,158.61,0.341088204,,0,0,,,,,,2,,2,1,2,1
Wine,pipes,50.31,,1,158.61,31.71931152,,0,0,,,,,1,,,1,32,1,32
Wine,quarter casks,50.31,,0.25,158.61,7.92982788,,0,0,,,,2,,1,,3,24,3,24
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,174,,,,,,,,,990,,1164
