Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Martinico,St. Christophers,WI,,New Providence,Bermuda,Boston,Falmouth NE,Lewes DE,New York,Perth Amboy,Philadelphia,Rhode Island,Salem NE,NA,,TOTAL,
,,1765,,,,Sterling,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,cwt,26.35,,0.05,169.9,0.775456151,,,,,0,0,,,,,,,,5,,,5,4,5,4
Bar iron,tons,26.35,,1,169.9,15.50912301,,,,,0,0,,,,,0.5,,,0.5,,,1,16,1,16
Cash,pounds,1,,1,160.36,0.623596907,,750,,,750,468,,,221,,,450,,,,160,831,518,1581,986
Cheese,barrels,,,,169.9,0,,,,,0,0,,,,,,,,,3,,3,0,3,0
Cheese,pounds,,,,169.9,0,,,,,0,0,,,,,,,,,140,110,250,0,250,0
Cheese,cwt,,,,169.9,0,,,,,0,0,,,17,,,,,4,8,,29,0,29,0
Cheese,casks,,,,169.9,0,,,,,0,0,,,4,,,2,,,,,6,0,6,0
Chocolate,boxes,,,,169.9,0,,,,,0,0,,,3,,,2,,,,,5,0,5,0
Chocolate,pounds,,,,169.9,0,,,,,0,0,,,110,,,118,,25,16,140,409,0,409,0
Coffee,bags,,,,169.9,0,,,,,0,0,,,,,,,,6,2,,8,0,8,0
Coffee,barrels,,,,169.9,0,,,,,0,0,,,,,,1,,,1,1,3,0,3,0
Coffee,pounds,,,,169.9,0,,,,395,395,0,,,50,,,20,,70,362,,502,0,897,0
Coffee,tierces,,,,169.9,0,,,,,0,0,,,2,,,,,,,,2,0,2,0
Coffee,cwt,,,,169.9,0,,,,,0,0,,,8,,,,,,,,8,0,8,0
Corn,bushels,3.01,,0.05,169.9,0.088581519,,,,,0,0,,,,,,,,,160,,160,14,160,14
Cotton,cwt,1.87,,5.6,169.9,6.163625662,,,1,,1,6,,,,,,,,,,,0,0,1,6
Dollars,,0.23,,1,100,0.23,,,,548,548,126,,400,300,,,1278,240,757,,,2975,684,3523,810
Flour,barrels,13.5,,0.089285714,169.9,0.709450938,,,,,0,0,,,,,,,,3,,,3,2,3,2
Ginger,cwt,,,,169.9,0,,,,,0,0,,,1,,,,,,,,1,0,1,0
Guineas,,1.05,,1,100,1.05,,,,3,3,3,,,,,,,,,,,0,0,3,3
Iron,tons,8.79,,1,169.9,5.173631548,,,,,0,0,3,,,,,,,,,,3,16,3,16
Johannes,,1.8,,1,100,1.8,,,,1,1,2,,,,,,,,,,,0,0,1,2
Loaf sugar,hhds,1.06,,25,169.9,15.59741024,,,,,0,0,,,2,,,1,,1,,,4,62,4,62
