Good,Unit,Price,Price,Conv,Exch,Price,Antigua,St. Christophers,WI,,Bermuda,Boston,New Hampshire,Rhode Island,NA,,Unknown,UNK,,TOTAL,
,,1731,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cheese,hhds,,,,153.28,0,,,0,0,,,,2,2,0,,0,0,2,0
Cheese,pounds,,,,153.28,0,,,0,0,,800,,,800,0,,0,0,800,0
Cotton,pounds,,,,153.28,0,100,,100,0,,,,,0,0,,0,0,100,0
Cotton,bags,1.13,,6,153.28,4.423277662,,4,4,18,,,,,0,0,,0,0,4,18
Ginger,pounds,,,,153.28,0,,,0,0,,100,,,100,0,,0,0,100,0
Ginger,bags,,,,153.28,0,,,0,0,,,,,0,0,1,1,0,1,0
Molasses,hhds,1.36,,5.05,153.28,4.480688935,5,,5,22,,11,2,9,22,99,2,2,9,29,130
Molasses,barrels,1.36,,1.45,153.28,1.286534447,,5,5,6,,15,,,15,19,1,1,1,21,26
Pepper,pounds,,,,153.28,0,,,0,0,,30,,,30,0,,0,0,30,0
Rum,quarter casks,2.64,,0.7625,153.28,1.313282881,,,0,0,,2,,,2,3,,0,0,2,3
Rum,kegs,2.64,,0.725,153.28,1.248695198,,,0,0,,,,1,1,1,,0,0,1,1
Rum,hhds,2.64,,5.25,153.28,9.042275574,,1,1,9,,14,3,3,20,181,3,3,27,24,217
Rum,gallons,2.64,,0.05,153.28,0.08611691,300,,300,26,,,,,0,0,,0,0,300,26
Rum,barrels,2.64,,1.45,153.28,2.497390397,,,0,0,,1,,,1,2,,0,0,1,2
Rum,tierces,2.64,,3,153.28,5.167014614,,,0,0,,5,,,5,26,,0,0,5,26
Salt,bushels,2.51,,0.05,153.28,0.081876305,1400,850,2250,184,1100,,,,1100,90,,0,0,3350,274
Salt,hhds,2.51,,0.35,153.28,0.573134134,,,0,0,,22,10,,32,18,25,25,14,57,32
Sugar,barrels,33.21,,0.175,153.28,3.791590553,2,6,8,30,,12,1,6,19,72,1,1,4,28,106
,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,295,,,,,,511,,,55,,861
