Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Nevis,St. Croix,St. Eustatia,WI,,Bermuda,Boston,Halifax,New York,Perth Amboy,Philadelphia,Piscataqua,Plymouth NE,Rhode Island,Salem NE,South Carolina,NA,,Teneriff,SEU,,TOTAL,
,,1769,,,,Sterling,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beeswax,bundles,,,,157.56,0,,1,,,,1,0,,,,,,,,,,,,0,0,,0,0,1,0
Beeswax,barrels,,,,157.56,0,,1,,,,1,0,,,,,,,,,,,,0,0,,0,0,1,0
Bread,barrels,25.45,,0.089285714,157.56,1.442194357,,,,,,0,0,,,,,,91,,,,,,91,131,,0,0,91,131
Cash,pence,1,,0.004166667,121.97,0.003416141,,,,,6,6,0,,,,,,6,,,,,,6,0,,0,0,12,0
Cash,pounds,1,,1,121.97,0.819873739,50,,,,100,150,123,180,560,,952,,223,,,30,,,1945,1595,,0,0,2095,1718
Cash,shillings,1,,0.05,121.97,0.040993687,,,,,12,12,0,,10,,15,,17,,,,,,42,2,,0,0,54,2
Cheese,barrels,,,,157.56,0,,,,,,0,0,,,,,,1,,,,,,1,0,,0,0,1,0
Cheese,cwt,,,,157.56,0,,,,,,0,0,,19,,2,,,,,4,,,25,0,,0,0,25,0
Cheese,pounds,,,,157.56,0,,,,,,0,0,,,,,,,388,,,,,388,0,,0,0,388,0
Chocolate,cwt,,,,157.56,0,,,,,,0,0,,,,,,,1,,,,,1,0,,0,0,1,0
Chocolate,boxes,,,,157.56,0,,,,,,0,0,,8,,,,,,,,,,8,0,,0,0,8,0
Coffee,cwt,,,,157.56,0,,,,,,0,0,,1,,,,1,,,,,,2,0,,0,0,2,0
Cotton,bales,1.37,,,157.56,0,,,1,,,1,0,,,,,,,,,,,,0,0,,0,0,1,0
Dollars,,0.23,,1,100,0.23,,,,,,0,0,,1847,,29,505,,150,,,,,2531,582,,0,0,2531,582
Doubloons,,0.83,,1,100,0.83,,,,,,0,0,,,,1,,,,,,,,1,1,,0,0,1,1
Flour,barrels,15.04,,0.089285714,157.56,0.852283031,,,,,,0,0,,,,,,10,,,,,,10,9,,0,0,10,9
French crowns,,0.13,,1,100,0.13,,,,,,0,0,,8,,,,,,,,,,8,1,,0,0,8,1
French guineas,,1.02,,1,100,1.02,,,,,,0,0,,1,,,,,,,,,,1,1,,0,0,1,1
Ginger,pounds,,,,157.56,0,,,,,,0,0,,112,,,,,,,,,,112,0,,0,0,112,0
Half joes,,0.9,,1,100,0.9,,,,,,0,0,,,,13,17,90,,,,,,120,108,,0,0,120,108
Loaf sugar,cwt,0.96,,5.6,157.56,3.412033511,,,,,,0,0,,2,,15,,,,,,,,17,58,,0,0,17,58
Loaf sugar,hhds,0.96,,25,157.56,15.23229246,,,,,,0,0,,,,3,,,,,,,,3,46,,0,0,3,46
Loaf sugar,tierces,0.96,,17,157.56,10.35795887,,,,,,0,0,,,,3,,,,,,,,3,31,,0,0,3,31
Loaf sugar,pounds,0.96,,0.05,157.56,0.030464585,,,,,,0,0,,1549,,,,200,500,,,,,2249,69,,0,0,2249,69
Molasses,hhds,1.78,,5.05,157.56,5.705128205,,,,,,0,0,,,,1,,2,,,5,,,8,46,,0,0,8,46
Molasses,tierces,1.78,,3.05,157.56,3.44567149,,,,,,0,0,,,,,,3,,,,,,3,10,,0,0,3,10
Molasses,gallons,1.78,,0.05,157.56,0.056486418,,,,228,168,396,22,,1487,,248,420,602,1100,500,200,134,264,4955,280,,0,0,5351,302
Negroes,,38.39,,1,100,38.39,10,,,,,10,384,,,,,,,,,,,,0,0,,0,0,10,384
Pistereens,,0.05,,1,121.97,0.040993687,,,,,,0,0,,500,,,31,,,,,,,531,22,,0,0,531,22
Plank,M feet,8.032,,0.5,157.56,2.548870272,,,,,,0,0,,,,,,,,,2,,,2,5,,0,0,2,5
Potatoes,bushels,,,,157.56,0,,,,,,0,0,,20,,,,,,,,,,20,0,,0,0,20,0
Rice,pounds,17.71,,0.000446429,157.56,0.00501793,,,,,,0,0,,,,,,,,,,,760,760,4,,0,0,760,4
Rum,hhds,3.29,,5.25,157.56,10.96249048,156,23,31,,,210,2302,,6,,5,4,10,6,,5,,,36,395,,0,0,246,2697
Rum,gallons,3.29,,0.05,157.56,0.104404671,,250,180,,,430,45,,,,,,,,,230,,,230,24,,0,0,660,69
Rum,tierces,3.29,,3,157.56,6.264280274,,1,,,,1,6,,,,,,8,,,,,,8,50,,0,0,9,56
Rum,barrels,3.29,,1.45,157.56,3.027735466,,,,,,0,0,,38,,,,,12,,3,9,,62,188,,0,0,62,188
Rum,casks,3.29,,3.05,157.56,6.368684945,,,,,,0,0,,,,,,,,3,,,,3,19,,0,0,3,19
Salt,hhds,1.305,,0.35,157.56,0.289889566,,,,,,0,0,,9,,,,,51,17,,13,,90,26,,0,0,90,26
Salt,bushels,1.305,,0.05,157.56,0.041412795,,,,,,0,0,251,30,,150,1300,310,,,446,,,2487,103,,0,0,2487,103
Salt,barrels,1.305,,0.175,157.56,0.144944783,,,,,,0,0,,40,,,,,,,,,,40,6,,0,0,40,6
Shingles,M,,,,157.56,0,,,,,,0,0,,,,,,,,,1,,,1,0,,0,0,1,0
Ship bread,barrels,13.65,,0.089285714,157.56,0.773514851,,,,,,0,0,,,,,,,,,,,4,4,3,,0,0,4,3
Spirits,kegs,3.29,,0.725,157.56,1.513867733,,,,,,0,0,,3,,,,,,,,,,3,5,,0,0,3,5
Sterling,pence,1,,0.004166667,100,0.004166667,,,,,,0,0,,,,,4,,,,,,,4,0,,0,0,4,0
Sterling,shillings,1,,0.05,100,0.05,,,,,,0,0,,,,,13,,,,,,,13,1,,0,0,13,1
Sterling cash,pounds,1,,1,100,1,,,,,,0,0,,,166,,76,,,,,,,242,242,,0,0,242,242
Sugar,pounds,52.74,,0.000446429,157.56,0.014943287,8816,2600,252,1900,450,14018,209,,,,,,2,,,,7,,9,0,,0,0,14027,209
Sugar,quarters,52.74,,0.0125,157.56,0.418412034,2,,,,,2,1,,2,,1,,2,,,,1,,6,3,,0,0,8,4
Sugar,tierces,52.74,,0.495089286,157.56,16.57210518,,,1,,,1,17,,,,,,,,,,,,0,0,,0,0,1,17
Sugar,barrels,52.74,,0.15,157.56,5.020944402,,2,,,,2,10,,1,,,,2,,1,,,,4,20,,0,0,6,30
Sugar,cwt,52.74,,0.05,157.56,1.673648134,44,,,,,44,74,,10,,4,,2,,,8,6,,30,50,,0,0,74,124
Sugar,hhds,52.74,,0.646875,157.56,21.65282273,,3,,,,3,65,,,,,,,,,,,,0,0,,0,0,3,65
Tea,pounds,3.66,,0.05,157.56,0.11614623,,,,,,0,0,,234,,,,619,25,,,,,878,102,,0,0,878,102
Virginia currency,shillings,1,,0.05,121.97,0.040993687,,13,,,,13,1,,,,,,,,,,,,0,0,,0,0,13,1
Virginia currency,pounds,1,,1,121.97,0.819873739,,937,,,,937,768,,,,,,,,,,,,0,0,,0,0,937,768
Wine,gallons,48.02,,0.007936508,157.56,0.241883163,,,,,,0,0,,,,,,,,,,,,0,0,1170,1170,283,1170,283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,4027,,,,,,,,,,,,,4238,,,283,,8548
