Good,Unit,Price,Price,Conv,Exch,Price,Leeward Islands,WI,,Turks Island,Boston,Nantucket,Philadelphia,Piscataqua,Rhode Island,Salem,NA,,TOTAL,
,,1749,,,,Sterling,,Quantity,Value,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,25.67,,0.000446429,171.39,0.0066864,,0,0,,,,1100,,,,1100,7,1100,7
Cheese,pounds,,,,171.39,0,,0,0,,300,,,,800,400,1500,0,1500,0
Loaf sugar,casks,1.49,,6.25,171.39,5.433514207,,0,0,,,,,,1,,1,5,1,5
Molasses,tierces,2.08,,3.05,171.39,3.701499504,,0,0,,,2,,,1,1,4,15,4,15
Molasses,barrels,2.08,,1.45,171.39,1.759729272,,0,0,,,,,,5,,5,9,5,9
Molasses,casks,2.08,,3.05,171.39,3.701499504,,0,0,,,,,,35,,35,130,35,130
Molasses,hhds,2.08,,5.05,171.39,6.128712294,,0,0,,1,1,29,5,22,7,65,398,65,398
Rum,tierces,3.77,,3.05,171.39,6.708967851,,0,0,,,1,,,,,1,7,1,7
Rum,barrels,3.77,,1.45,171.39,3.189509306,,0,0,,1,2,,,,9,12,38,12,38
Rum,hhds,3.77,,5.25,171.39,11.54822335,,0,0,,4,1,1,3,,9,18,208,18,208
Salt,bushels,2.345,,0.05,171.39,0.068411226,1000,1000,68,1100,50,,,,,,1150,79,2150,147
Salt,hhds,2.345,,0.35,171.39,0.478878581,,0,0,,,,,4,,20,24,11,24,11
Sugar,barrels,46.83,,0.15,171.39,4.098547173,,0,0,,1,1,,78,3,3,86,352,86,352
Wine,quarter casks,28.77,,0.25,171.39,4.196569228,,0,0,,,,,,,1,1,4,1,4
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,68,,,,,,,,,1263,,1331
