Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Bermuda,WI,,Boston,Halifax,New London,New York,Philadelphia,Salem,NA,,TOTAL,
,,1757,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,casks,,,,166.07,0,,,0,0,3,,,,,,3,0,3,0
Cheese,pounds,,,,166.07,0,,,0,0,,300,,,,,300,0,300,0
Loaf sugar,pounds,1.05,,0.05,166.07,0.031613175,,,0,0,,,,,200,,200,6,200,6
Loaf sugar,barrels,1.05,,6.25,166.07,3.951646896,,,0,0,3,,,,,,3,12,3,12
Loaf sugar,hhds,1.05,,25,166.07,15.80658758,,,0,0,1,,,,,,1,16,1,16
Molasses,gallons,2.45,,0.05,166.07,0.073764075,,,0,0,400,,,200,400,,1000,74,1000,74
Molasses,hhds,2.45,,5.05,166.07,7.450171614,,,0,0,,,,,1,,1,7,1,7
Refined sugar,pounds,1.05,,0.05,166.07,0.031613175,,,0,0,,,,200,,,200,6,200,6
Rum,gallons,3.17,,0.05,166.07,0.095441681,200,,200,19,940,60,180,100,,,1280,122,1480,141
Rum,hhds,3.17,,5.25,166.07,10.02137653,,,0,0,,,,,1,,1,10,1,10
Salt,bushels,2.695,,0.05,166.07,0.081140483,400,1600,2000,162,17,,,450,960,,1427,116,3427,278
Salt,hhds,2.695,,0.35,166.07,0.567983381,,,0,0,30,2,,,,6,38,22,38,22
Sugar,barrels,47.99,,0.15,166.07,4.334617932,,,0,0,2,,,,1,,3,13,3,13
Sugar,casks,47.99,,0.15,166.07,4.334617932,,,0,0,,,,2,,,2,9,2,9
Sugar,pounds,47.99,,0.000446429,166.07,0.012900649,1200,,1200,15,,,,,200,,200,3,1400,18
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,196,,,,,,,,416,,612
