Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Bermuda,Boston,New England,New Hampshire,Rhode Island,Salem,NA,,TOTAL,
,,1730,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,152.03,0,,,0,0,,800,,,800,,1600,0,1600,0
Cotton,pounds,,,,152.03,0,,,0,0,200,,,,,,200,0,200,0
Molasses,tierces,1.54,,3.05,152.03,3.089521805,2,,2,6,1,2,,,,,3,9,5,15
Molasses,hhds,1.54,,5.05,152.03,5.115437743,,,0,0,,22,2,6,28,12,70,358,70,358
Molasses,casks,1.54,,3.05,152.03,3.089521805,,,0,0,,5,,,2,,7,22,7,22
Plank,feet,3.6,,0.0005,152.03,0.001183977,,,0,0,,3000,,,,,3000,4,3000,4
Rum,tierces,2.51,,3.05,152.03,5.035519305,,,0,0,1,13,,,1,,15,76,15,76
Rum,barrels,2.51,,1.45,152.03,2.393935407,,,0,0,,7,,,,,7,17,7,17
Rum,hhds,2.51,,5.25,152.03,8.667697165,,10,10,87,,10,2,3,10,16,41,355,51,442
Salt,tierces,3.09,,,152.03,0,,,0,0,,2,,,,,2,0,2,0
Salt,hhds,3.09,,0.35,152.03,0.711372755,,,0,0,,26,10,4,,21,61,43,61,43
Spirits,kegs,2.51,,0.725,152.03,1.196967704,,,0,0,,,,,6,,6,7,6,7
Sugar,barrels,32.13,,0.175,152.03,3.698447675,8,,8,30,1,4,1,,7,7,20,74,28,104
Sugar,casks,32.13,,0.15,152.03,3.170098007,,,0,0,,,,,2,,2,6,2,6
Sugar,tierces,32.13,,0.480803571,152.03,10.16129629,,,0,0,,,,,1,,1,10,1,10
,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,123,,,,,,,,981,,1104
