Good,Unit,Price,Price,Conv,Exch,Price,Nevis,St. Martins,WI,,Turks Island,Bermuda,Boston,New York,Philadelphia,Salem,NA,,London,Liverpool,GB,,Isle of May,SEU,,TOTAL,
,,1758,,,,Sterling,,,Quantity,Value,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molasses,hhds,2.51,,5.05,159,7.972012579,,,0,0,,,4,,,8,12,96,,,0,0,,0,0,12,96
Negroes,,35.61,,1,100,35.61,,,0,0,,,,,,,0,0,,8,8,285,,0,0,8,285
Pig iron,tons,7.67,,1,159,4.823899371,,,0,0,,,,,100,,100,482,,,0,0,,0,0,100,482
Rum,hhds,3.72,,5.25,159,12.28301887,,,0,0,,,4,,,4,8,98,,,0,0,,0,0,8,98
Rum,barrels,3.72,,1.45,159,3.39245283,,,0,0,,,3,,,16,19,64,,,0,0,,0,0,19,64
Rum,gallons,3.72,,0.05,159,0.116981132,1380,,1380,161,,,,,,,0,0,,,0,0,,0,0,1380,161
Salt,bushels,2.385,,0.05,159,0.075,,1830,1830,137,1000,800,120,,,184,2104,158,8000,,8000,600,6000,6000,450,17934,1345
Sugar,pounds,47.7,,0.000446429,159,0.013392857,,,0,0,1000,,,,,,1000,13,,,0,0,,0,0,1000,13
Sugar,barrels,47.7,,0.15,159,4.5,,,0,0,,,3,40,,7,50,225,,,0,0,,0,0,50,225
Sugar,hhds,47.7,,0.632142857,159,18.96428571,,,0,0,,,,38,,,38,721,,,0,0,,0,0,38,721
Wine,hhds,41.77,,0.5,159,13.13522013,,,0,0,,,,7,,,7,92,,,0,0,,0,0,7,92
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,298,,,,,,,,1949,,,,885,,,450,,3582
