Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,NA,,Kirkaldy,GB,,Dublin,IRE,,Gambia,AFR,,Gibraltar,SEU,,TOTAL,
,,1745,,,,Sterling,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheese,pounds,,,,174.77,0,,0,0,100,100,0,,0,0,,0,0,,0,0,,0,0,100,0
Convicts,,11.29090909,,1,100,11.29090909,,0,0,,0,0,,0,0,,0,0,,0,0,11,11,124,11,124
Negroes,,31.05,,1,100,31.05,,0,0,,0,0,,0,0,,0,0,140,140,4347,,0,0,140,4347
Rum,gallons,3.25,,0.05,174.77,0.092979344,7830,7830,728,415,415,39,,0,0,,0,0,,0,0,,0,0,8245,767
Servants,,11.29090909,,1,100,11.29090909,,0,0,,0,0,16,16,181,114,114,1287,,0,0,,0,0,130,1468
Sugar,quarters,43.02,,0.0125,174.77,0.307690107,3,3,1,,0,0,,0,0,,0,0,,0,0,,0,0,3,1
Sugar,pounds,43.02,,0.000446429,174.77,0.010988932,22,22,0,,0,0,,0,0,,0,0,,0,0,,0,0,22,0
Sugar,cwt,43.02,,0.05,174.77,1.230760428,112,112,138,,0,0,,0,0,,0,0,,0,0,,0,0,112,138
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,867,,,39,,,181,,,1287,,,4347,,,124,,6845
