Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Guadeloupe,Jamaica,St. Christophers,Tortola,WI,,New Providence,Bermuda,Boston,New York,Newport RI,North Carolina,Nova Scotia,Rhode Island,Salem,South Carolina,NA,,London,Bideford,Bristol,Whitehaven,Glasgow,GB,,Cork,IRE,,TOTAL,
,,1762,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,barrels,3.48,,0.175,176.26,0.345512311,,6,,,,,6,2,,,,,,,,,,,0,0,,,,,,0,0,,0,0,6,2
Beans,bushels,3.48,,0.05,176.26,0.098717803,,21,,,,,21,2,,,120,,,,,,20,,140,14,,,,,,0,0,,0,0,161,16
Beef,barrels,58.04,,0.05,176.26,1.646431408,,3,,,,,3,5,,,,,,,,,,,0,0,,,,,,0,0,,0,0,3,5
Bread,hhds,28.88,,0.178571429,176.26,2.925872494,,1,,,,,1,3,,,,,,,,,,,0,0,,,,,,0,0,,0,0,1,3
Bread,barrels,28.88,,0.089285714,176.26,1.462936247,84,970,5,81,420,20,1580,2311,,,,,,,,5,,70,75,110,,,,,,0,0,,0,0,1655,2421
Bread,kegs,28.88,,0.044642857,176.26,0.731468123,,13,,,,,13,10,,,,,,,,,,,0,0,,,,,,0,0,,0,0,13,10
Cherry tree plank,feet,14.224,,0.0005,176.26,0.004034948,,,,,,,0,0,,,,,,,,,,,0,0,,,,844,,844,3,,0,0,844,3
Chocolate,boxes,,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Corn,bushels,3.48,,0.05,176.26,0.098717803,790,3855,,,1690.5,,6335.5,625,,,590,,,,,940,,,1530,151,,,,,,0,0,,0,0,7865.5,776
Deer Skin,chests,,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,1,,,,,1,0,,0,0,1,0
Flaxseed,hhds,9.34,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,,,,,316,316,0,111,111,0,427,0
Flour,barrels,16.82,,0.089285714,176.26,0.852028659,187,4574,54,571,2424,15,7825,6667,275,,709,110,,,,313,,150,1557,1327,,,,,,0,0,,0,0,9382,7994
Furs and skins,chests,,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,9,,,,,9,0,,0,0,9,0
Ham,tierces,85.63,,0.0665,176.26,3.23067911,,1,,,,,1,3,,,,,,,,,,,0,0,,,,,,0,0,,0,0,1,3
Ham,hhds,85.63,,0.1,176.26,4.858164076,,2,,,,,2,10,,,,,,,,,,,0,0,,,,,,0,0,,0,0,2,10
Hams,,85.63,,,176.26,0,,111,,,,,111,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,111,0
Hoops,,,,,176.26,0,,1200,,,1200,,2400,0,,500,,,,,,,,,500,0,,,,,,0,0,,0,0,2900,0
Indian corn,bushels,3.48,,0.05,176.26,0.098717803,,750,360,,,,1110,110,,2000,4000,,2000,,1100,,1020,,10120,999,,,,,,0,0,,0,0,11230,1109
Indigo,casks,7.84,,,176.26,0,,,,,,,0,0,,,,,,,,,,,0,0,2,,,,,2,0,,0,0,2,0
Iron,bars,11.46,,,176.26,0,,,,,,,0,0,,,,,,12,,,,,12,0,,,,,,0,0,,0,0,12,0
Iron,tons,11.46,,1,176.26,6.501758765,,6,,,,,6,39,,,119,,10,,2,90,,,221,1437,324.5,22,22,9,20,397.5,2584,,0,0,624.5,4060
Loaf sugar,tierces,1.07,,17,176.26,10.31998185,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Loaf sugar,hhds,1.07,,25,176.26,15.17644389,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Loaf sugar,barrels,1.07,,6.25,176.26,3.794110972,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Molasses,tierces,2.29,,3.05,176.26,3.96261205,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Molasses,hhds,2.29,,5.05,176.26,6.561046182,,,,,,,0,0,,,,,,,,,,,0,0,,,,,,0,0,,0,0,0,0
Peas,bushels,3.48,,0.05,176.26,0.098717803,,,,,,,0,0,,,,,10,,30,,,,40,4,,,,,,0,0,,0,0,40,4
Pine board,feet,13.648,,0.0005,176.26,0.003871553,4000,,,,,,4000,15,,,,,,,,,,,0,0,,,,,,0,0,,0,0,4000,15
Pine plank,feet,13.648,,0.0005,176.26,0.003871553,,,,,,,0,0,1500,,,,,,,,,,1500,6,,,,,,0,0,,0,0,1500,6
