Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,St. Eustatia,WI,,Tortuga,Turks Island,Bermuda,Boston,New Hampshire,North Carolina,Philadelphia,Providence,Rhode Island,NA,,Gambo,Guinea,AFR,,Madeira,SEU,,TOTAL,
,,1734,,,,Sterling,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,30.56,,0.05,170,0.898823529,,,,,,,0,0,,,,,,1,,,,1,1,,,0,0,,0,0,1,1
Beeswax,barrels,,,,170,0,,,,,,,0,0,,,,,,2,,,,2,0,,,0,0,,0,0,2,0
Beeswax,tons,,,,170,0,,,,,,,0,0,,,,,,,,,,0,0,3,,3,0,,0,0,3,0
Bread,barrels,13.75,,0.089285714,170,0.722163866,,,,,,,0,0,,,,,,,12,,,12,9,,,0,0,,0,0,12,9
Cotton,bags,1.01,,0.6,170,0.356470588,6,15,12,4,11,2,50,18,,,2,,6,,,,,8,3,,,0,0,,0,0,58,21
Deer Skin,,,,,170,0,,,,,,,0,0,,,,,,18,,,,18,0,,,0,0,,0,0,18,0
Flour,barrels,10.51,,0.089285714,170,0.551995798,,,,,,,0,0,,,,,,,9,,,9,5,,,0,0,,0,0,9,5
Ginger,bags,,,,170,0,,5,,30,,,35,0,,,,,,,,,,0,0,,,0,0,,0,0,35,0
Iron,tons,,,1,170,0,,,,,,,0,0,,,,0.5,,,,,8,8.5,0,,,0,0,,0,0,8.5,0
Molasses,barrels,1.5,,1.45,170,1.279411765,,,,,,1,1,1,,,,2,,,,,,2,3,,,0,0,,0,0,3,4
Molasses,hhds,1.5,,5.05,170,4.455882353,,,,,,46,46,205,,,,1,1,,,,,2,9,,,0,0,,0,0,48,214
Molasses,gallons,1.5,,0.05,170,0.044117647,,1600,2090,12430,8900,,25020,1104,,,1510,2260,,,,2000,100,5870,259,,,0,0,,0,0,30890,1363
Negroes,,18.5,,1,100,18.5,,4,155,103,54,,316,5846,,,,,,,,,,0,0,85,199,284,5254,,0,0,600,11100
Pimento,barrels,,,,170,0,,,,3,,,3,0,,,,,,,,,,0,0,,,0,0,,0,0,3,0
Pitch,barrels,12.92,,0.05,170,0.38,,,,,,,0,0,,,,,,9,,,,9,3,,,0,0,,0,0,9,3
Plank,feet,3.6,,0.0005,170,0.001058824,,,,,,,0,0,,,,2000,,,,,,2000,2,,,0,0,,0,0,2000,2
Planks,,3.6,,0.005,170,0.010588235,,,,44,,,44,0,,,,,,,,,,0,0,,,0,0,,0,0,44,0
Pork,barrels,43.58,,0.05,170,1.281764706,,,,,,,0,0,,,,,,100,,,,100,128,,,0,0,,0,0,100,128
Pork,pounds,43.58,,0.00025,170,0.006408824,,,,,,,0,0,,,,,,500,,,,500,3,,,0,0,,0,0,500,3
Rice,pounds,,,,170,0,,,,,,,0,0,,,,,,1900,,,,1900,0,,,0,0,,0,0,1900,0
Rum,gallons,2.63,,0.05,170,0.077352941,180,14500,41533,6101,4050,1650,68014,5261,,,2725,10734,1032,,180,172,,14843,1148,,,0,0,,0,0,82857,6409
Rum,barrels,2.63,,1.45,170,2.243235294,,,,,,,0,0,,,,,,,,,93,93,209,,,0,0,,0,0,93,209
Salt,bushels,2.04,,0.05,170,0.06,,1340,2220,,3593,,7153,429,200,2000,2500,3524,380,,800,3200,,12604,756,,,0,0,,0,0,19757,1185
Sugar,barrels,29.2,,0.175,170,3.005882353,68,157,313,45,60,1,644,1936,,,19,36,2,,,19,4,80,240,,,0,0,,0,0,724,2176
Sugar,tierces,29.2,,0.480803571,170,8.258508403,1,2,1,,,,4,33,,,2,,,,,,,2,17,,,0,0,,0,0,6,50
Sugar,pounds,29.2,,0.000446429,170,0.007668067,,,7450,,,,7450,57,,,,,,,,,,0,0,,,0,0,,0,0,7450,57
Sugar,hhds,29.2,,0.583035714,170,10.0144958,,3,,37,4,11,55,551,,,,,,,,,,0,0,,,0,0,,0,0,55,551
Tar,barrels,10.14,,0.05,170,0.298235294,,,,,,,0,0,,,,,,45,,,,45,13,,,0,0,,0,0,45,13
Wine,barrels,20.5,,0.25,170,3.014705882,,,,,,,0,0,,,,1,,,,,,1,3,,,0,0,,0,0,1,3
Wine,hhds,20.5,,0.5,170,6.029411765,,,,,,,0,0,,,,1,,,,,,1,6,,,0,0,,0,0,1,6
Wine,pipes,20.5,,1,170,12.05882353,,,,20,,,20,241,,,,,,,,,,0,0,,,0,0,162,162,1954,182,2195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,15682,,,,,,,,,,,2817,,,,5254,,,1954,,25707
