Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Dominica,Grenade,Havanna,Jamaica,Martinique,Montserrat,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,Delaware,New York,North Carolina,Philadelphia,Piscataway,Rhode Island,Salem,South Carolina,NA,,Madeira,Teneriff,SEU,,Africa,AFR,,TOTAL,
,,1763,,,,Sterling,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,27,,1,173,15.60693642,,,,,,,,,,,,,0,0,,,,,,,4,10,,,,,14,218,,,0,0,,0,0,14,218
Beef,barrels,60.29,,0.05,173,1.742485549,,,30,,,,,,,,,,30,52,,,,,,,111,,,,,,111,193,,,0,0,,0,0,141,245
Bread,barrels,30.18,,0.089285714,173,1.557597027,,,,,,,,,,,,,0,0,,,,,,,6,,,,,,6,9,,,0,0,,0,0,6,9
Bread,pounds,30.18,,0.000446429,173,0.007787985,,,,,,,,,,,,,0,0,,,,,,,,,,100,,,100,1,,,0,0,,0,0,100,1
Bread,kegs,30.18,,,173,0,,,,,,,,,,,,,0,0,,,,,,40,,,,,,,40,0,,,0,0,,0,0,40,0
Cheese,pounds,,,,173,0,,,,,,,,,,,,,0,0,,,,,,,,,,3000,,,3000,0,,,0,0,,0,0,3000,0
Chocolate,boxes,,,,173,0,,,,,,,,,,,,,0,0,,,,,,20,,70,,2,,,92,0,,,0,0,,0,0,92,0
Coffee,barrels,,,,173,0,,,,,,,3,,,,,,3,0,39,,,,,7,,37,3,1,,,87,0,,,0,0,,0,0,90,0
Coffee,pounds,,,,173,0,,,,,,,,,,,,,0,0,5200,,,,,,,,,,,,5200,0,,,0,0,,0,0,5200,0
Corn,bushels,3.75,,0.05,173,0.108381503,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,2,0,,,0,0,,0,0,2,0
Cotton,bags,2.04,,6,173,7.075144509,,,,,,,,,,,1,,1,7,,,,,,,,,,,,,0,0,,,0,0,,0,0,1,7
Dollars,,0.23,,1,100,0.23,,,,,,,,,,,,,0,0,,,,,,,,,,200,,,200,46,,,0,0,,0,0,200,46
Flour,barrels,16.94,,0.089285714,173,0.874277457,,,,,,,,,,,,,0,0,,,,,,,11,34,,,,,45,39,,,0,0,,0,0,45,39
Loaf sugar,pounds,1.04,,0.05,173,0.030057803,,,,,,,,,,,,,0,0,,,,500,,,,,500,290,,,1290,39,,,0,0,,0,0,1290,39
Molasses,hhds,1.99,,5.05,173,5.808959538,11,75,,122,120.5,,98,21,,41,128,3,619.5,3599,6,,2,8,26,38,1,78,28,24,21,,232,1348,,,0,0,,0,0,851.5,4947
Negroes,,34.74,,1,100,34.74,,18,,,8,,,,,,,,26,903,,,,,,,,,,,,,0,0,,,0,0,60,60,2084,86,2987
Pimento,pounds,,,,173,0,,,,,,4000,,,,,,,4000,0,,,,,,,,,,,,,0,0,,,0,0,,0,0,4000,0
Pimento,barrels,,,,173,0,,,,,,,22,,,,,,22,0,,,,,,,,,,,,,0,0,,,0,0,,0,0,22,0
Pitch,barrels,14.93,,0.05,173,0.43150289,,,,,,,,,,,,,0,0,,,,,,,31,,,,,,31,13,,,0,0,,0,0,31,13
Pitch/turpentine,barrels,14.245,,0.05,173,0.411705202,,,,,,,,,,,,,0,0,,,,,,,223,,,,,,223,92,,,0,0,,0,0,223,92
