Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Bay of Honduras,Cape Nicholas,Curacao,Dominica,Grenadoes,Hispaniola,Jamaica,Montserrat,Mosquito Shore,Nevis,St. Kitts,St. Croix,St. Domingue,St. Eustatia,St. Lucia,St. Martins,St. Vincents,Surinam,Tobago,Tortola,WI,,New Providence,Turks Island,Bermuda,Boston,Falmouth,New London,New York,Newbury,North Carolina,Philadelphia,Piscataqua,Plymouth NE,Providence,Rhode Island,Salem,South Carolina,NA,,London,Hull,Liverpool,GB,,Cadiz,Isle of May,Madeira,Teneriff,SEU,,TOTAL,
,,1771,,,,Sterling,,,,,,,,,,,,,,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,,,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollars,,0.23,,1,100,0.23,,,430,,7440,,,,,,,,,,,,,,,,,,7870,1810,200,,1600,180,,,,,,,,,,,,200,2180,501,,,,0,0,,,,,0,0,10050,2311
Ginger,bags,,,,165.69,0,,,,,,,,,165,,,,,,,,,,,,,,165,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,165,0
Half joes,,0.8,,1,100,0.8,,,,,300,,,,,,,,,,,,,,,,,,300,240,,,,,,,,,,400,,,,,,130,530,424,,,,0,0,,,,,0,0,830,664
Linen,pieces,,,,165.69,0,,,,,,,38,,,,,,,,,,,,,,,,38,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,38,0
Linen,boxes,,,,165.69,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,8,,,,,,,8,0,,,,0,0,,,,,0,0,8,0
Loaf sugar,hhds,0.97,,25,165.69,14.63576559,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,20,,,10,,,,10,,,40,585,,,,0,0,,,,,0,0,40,585
Loaf sugar,casks,0.97,,6.25,165.69,3.658941397,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,9,,,,,,,,,,9,33,,,,0,0,,,,,0,0,9,33
Loaf sugar,barrels,0.97,,6.25,165.69,3.658941397,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,11,,,23,,,,,,,34,124,,,,0,0,,,,,0,0,34,124
Loaf sugar,tierces,0.97,,17,165.69,9.952320599,,,,,,,,,3,,,,,,,,,,,,,,3,30,,,,,,,35,,,9,,,,7,,,51,508,,,,0,0,,,,,0,0,54,538
Loaf sugar,pounds,0.97,,0.05,165.69,0.029271531,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,500,,,,,,,,,,500,15,,,,0,0,,,,,0,0,500,15
Molasses,puncheons,1.77,,5.05,165.69,5.394713018,,,,,,,,,,,,,20,,,,,,,,,,20,108,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,20,108
Molasses,hhds,1.77,,5.05,165.69,5.394713018,103,,,571,,,,50,145,,,2,3,,,96,55,,,111,,,1136,6128,,,5,175,,10,14,,,128,4,,,34,10,,380,2050,,,,0,0,,,,,0,0,1516,8178
Molasses,tierces,1.77,,3.05,165.69,3.258193011,12,,,649,,,,25,10,,,,90,,80,80,85,,,24,,,1055,3437,,,,1,,,,,,11,,,,,,,12,39,,,,0,0,,,,,0,0,1067,3476
Molasses,barrels,1.77,,1.45,165.69,1.548977005,,,,22,,,,,6,,,,,,,2,23,,,,,,53,82,,,,,,,,,,12,,3,,,,,15,23,,,,0,0,,,,,0,0,68,105
Molasses,gallons,1.77,,0.05,165.69,0.053413,,,,160,,,,,,,,,,,,,,,,,,,160,9,,,,600,,,,,,,,,,,,,600,32,,,,0,0,,,,,0,0,760,41
Negroes,,38.39,,1,100,38.39,189,94,,,,2,51,,12,,,189,41,,,,,2,42,,8,,630,24186,,,,,,,,,,,,,,,,,0,0,,,,0,0,,13,,,13,499,643,24685
Pimento,casks,,,,165.69,0,,,,5,,,,,42,,,,,,,,,,,,,,47,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,47,0
Pimento,tierces,,,,165.69,0,,,,,,,,,3,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,3,0
Pimento,bags,,,,165.69,0,,,,,,,,,78,,,,,,,,,,,,,,78,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,78,0
Pimento,barrels,,,,165.69,0,,,,,,,,,6,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,6,0
Plank,M feet,10.832,,0.5,165.69,3.268754904,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,16,,,,,,,,,,16,52,,,,0,0,,,,,0,0,16,52
Plank,feet,10.832,,0.0005,165.69,0.003268755,,,,,,,,,,,73000,,,,,,,,,,,,73000,239,,,600,,,,,,,,,,600,400,,,1600,5,,,,0,0,,,,,0,0,74600,244
Pork,barrels,80.31,,0.05,165.69,2.42350172,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,1839,2,,,,,,,1841,4462,,,,0,0,,,,,0,0,1841,4462
Rice,tierces,16.86,,,165.69,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,3,,,,,,,3,0,,,,0,0,,13,,,13,0,16,0
Rum,quarter casks,3.35,,0.7625,165.69,1.541659122,,,,,,,,,4,,,,,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,4,6
Rum,barrels,3.35,,1.45,165.69,2.931679643,5,105,,,,,,,13,,,,2,,,,,,,,,,125,366,5,,,66,5,2,,3,,30,,8,,,8,,127,372,,,,0,0,,,,,0,0,252,738
Rum,puncheons,3.35,,5.25,165.69,10.61470215,,,,,,,,,1,,,,,,,,,,,,,,1,11,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,,0,0,1,11
Rum,casks,3.35,,3.05,165.69,6.16663649,,15,,,,,,,,,,,,,,,,,,,,,15,92,6,,,,,,,,,,,,,,,,6,37,,,,0,0,,,,,0,0,21,129
Rum,kegs,3.35,,1.45,165.69,2.931679643,,4,,,,,,,,,,,,,,,,,,,,,4,12,,,,,,4,,,,,,,,,,,4,12,,,,0,0,,,,,0,0,8,24
Rum,tierces,3.35,,3,165.69,6.065544088,,3,,,,,,,20,,,,,,,,,,,,,,23,140,,,,6,,,,,,103,,,,60,,,169,1025,,,,0,0,,,,,0,0,192,1165
Rum,hhds,3.35,,5.25,165.69,10.61470215,214,939,,18,,,86,,61,57,,469,135,,,19,,,14,,79,9,2100,22291,,,12,36,,24,,2,,226,,,,86,2,,388,4119,,,,0,0,,6,,,6,64,2494,26474
Rum,gallons,3.35,,0.05,165.69,0.101092401,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,89,,,,,,,,,,89,9,,,,0,0,,,,,0,0,89,9
Salt,tons,1.6,,,165.69,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,230,,,,,,,230,0,,,,0,0,,60,,,60,0,290,0
Salt,hhds,1.6,,0.35,165.69,0.337980566,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,6,,,,,2,,,,,,,8,3,,,,0,0,,,,,0,0,8,3
Salt,bushels,1.6,,0.05,165.69,0.048282938,,5643,,,,,,,,,,,3000,,,,,,2900,,,,11543,557,,4500,1800,,,,,,,7834,,,,,35,,14169,684,,,,0,0,700,,,,700,34,26412,1275
Spirits,casks,3.35,,3.05,165.69,6.16663649,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,15,,,,,,,15,92,,,,0,0,,,,,0,0,15,92
Spirits,cases,3.35,,,165.69,0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,7,,,,,,,,,,,7,0,,,,0,0,,,,,0,0,7,0
Spirits,hhds,3.35,,5.05,165.69,10.21033255,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,,2,20,,,,0,0,,,,,0,0,2,20
Spirits,tierces,3.35,,3.05,165.69,6.16663649,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,2,,,,,,,2,12,,,,0,0,,,,,0,0,2,12
