Good,Unit,Price,Price,Conv,Exch,Price,Anguilla,Antigua,Barbadoes,Havanna,Jamaica,Montserrat,Nevis,St. Kitts,St. Martins,WI,,New Providence,Turks Island,Bermuda,Boston,New Engalnd,New Jersey,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,South Carolina,NA,,Madeira,Teneriff,SEU,,TOTAL,
,,1762,,,,Sterling,,,,,,,,,,Quantity,Value,,,,,,,,,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bread,kegs,28.88,,0.044642857,176.26,0.731468123,,,,,,,,,,0,0,,,,,,,14,,,,,,,14,10,,,0,0,14,10
Chocolate,boxes,,,,176.26,0,,,,,,,,,,0,0,,,,1,4,7,8,,77,,,,,97,0,,,0,0,97,0
Coffee,pounds,,,,176.26,0,,,,,,,,,,0,0,3500,,,,,,,,,,,1000,,4500,0,,,0,0,4500,0
Coffee,barrels,,,,176.26,0,,,,,78,,,1,,79,0,3,,4,,,6,31,,10,,,,,54,0,,,0,0,133,0
Corn,bushels,3.48,,0.05,176.26,0.098717803,,,,,,,,,,0,0,,,,,,,,1300,,,,,,1300,128,,,0,0,1300,128
Cotton,bags,2.04,,6,176.26,6.944286849,,12,1,,,,,1,,14,97,20,,,,,,,,,,,,,20,139,,,0,0,34,236
Cotton,pounds,2.04,,0.05,176.26,0.057869057,,,,,,,,,,0,0,1500,,,,,,,,,,,,,1500,87,,,0,0,1500,87
Ginger,bags,,,,176.26,0,,,,,,,,,,0,0,,,,,,,6,,,,,,,6,0,,,0,0,6,0
Ginger,barrels,,,,176.26,0,,5,2,,,,,,,7,0,,,,,,,,,,,,,,0,0,,,0,0,7,0
Loaf sugar,pounds,1.07,,0.05,176.26,0.030352888,,,,,,,,,,0,0,,,,,4000,,,,1000,,,,,5000,152,,,0,0,5000,152
Molasses,barrels,2.29,,1.45,176.26,1.883864745,,,,,,,,5,,5,9,,,,,,,,,,,,6,,6,11,,,0,0,11,20
Molasses,hhds,2.29,,5.05,176.26,6.561046182,8,182,,,64,,41,71,,366,2401,38,,1,42,16,14,137,,107,1,44,11,,411,2697,,,0,0,777,5098
Pimento,bags,,,,176.26,0,,,,,9,,,,,9,0,,,,,,,12,,,,,,,12,0,,,0,0,21,0
Pitch/turpentine,barrels,13.37,,0.05,176.26,0.379269261,,,,,,,,,,0,0,,,,,,,,861,,,,,32,893,339,,,0,0,893,339
Plank,feet,14.224,,0.0005,176.26,0.004034948,,,,,20000,,,,,20000,81,1000,,,,,,,,,40000,,,,41000,165,,,0,0,61000,246
Pork,barrels,85.63,,0.05,176.26,2.429082038,,,,,,,,,,0,0,,,,,,,,7,,,,,,7,17,,,0,0,7,17
Potatoes,barrels,,,,176.26,0,,,,,,,,,,0,0,,,,1,,,,,,,,,,1,0,,,0,0,1,0
Potatoes,bushels,,,,176.26,0,,,,,,,,,,0,0,,,,,,,,,,,12,,,12,0,,,0,0,12,0
Rice,barrels,13.9,,,176.26,0,,,,,,,,,,0,0,,,,,,,,,,,,,153.5,153.5,0,,,0,0,153.5,0
Rum,barrels,3.94,,1.45,176.26,3.24123454,,,,,,,,,,0,0,,,,12,,,,,,,,15,,27,88,,,0,0,27,88
Rum,hhds,3.94,,5.25,176.26,11.73550437,3,567,2154,,19,55,213,420,,3431,40265,,1,24,22,2,18,54,,56,3,7,17,,204,2394,,,0,0,3635,42659
Salt,bushels,2.86,,0.05,176.26,0.081130149,3600,1750,1700,,,,,3800,5900,16750,1359,,6900,3600,,,,,,85,,,60,,10645,864,,,0,0,27395,2223
Salt,hhds,2.86,,0.35,176.26,0.567911041,,,,,,,,,,0,0,,,,,,,,,,,,12,,12,7,,,0,0,12,7
Staves,,8.89,,0.001,176.26,0.005043685,,,,,,,,,,0,0,,,5000,,,,,2450,,,,,,7450,38,,,0,0,7450,38
Sugar,barrels,52.15,,0.15,176.26,4.438046068,46,196,1075,17,69,,70,39,,1512,6710,77,,1,38,8,18,425,,108,,47,23,27,772,3426,,,0,0,2284,10136
Sugar,pounds,52.15,,0.000446429,176.26,0.01320847,,,,,,,,,,0,0,,,2000,,,,,,,,,,,2000,26,,,0,0,2000,26
Tar,barrels,10.04,,0.05,176.26,0.284806536,,,,,,,,,,0,0,,,,,,,,565,,,,,,565,161,,,0,0,565,161
Turpentine,barrels,13.27,,0.05,176.26,0.376432543,,,,,,,,,,0,0,,,,,,,,350,,,,,,350,132,,,0,0,350,132
Wine,pipes,50.79,,1,176.26,28.81538636,,,30,,,,,,,30,864,,,,,,,29.5,,11.75,,27.25,,,68.5,1974,289,78,367,10575,465.5,13413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,,,,,51786,,,,,,,,,,,,,,,12855,,,,10575,,75216
