Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,Spanish Town,St. Christophers,WI,,Tortuga,Turks Island,Bermuda,Boston,Nantucket,New Hampshire,New York,Newfoundland,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,Liverpool,GB,,Isle of May,Madeira,SEU,,TOTAL,
Negroes,,31.04,,1,100,31.04,2,35,,6,6,49,1521,,,16,,,,,,,2,,1,,19,590,,0,0,,,0,0,68,2111
Peas,bushels,2.14,,0.05,159.79,0.066962889,,,,,,0,0,,,,,,,,,90,,,,,90,6,,0,0,,,0,0,90,6
Pimento,kegs,,,,159.79,0,,,,,,0,0,,,1,,,,,,,,,,,1,0,,0,0,,,0,0,1,0
Pimento,pounds,,,,159.79,0,,,,,,0,0,,,266,,,,,,,,,,,266,0,,0,0,,,0,0,266,0
Pimento,bags,,,,159.79,0,,,,,,0,0,,,3,,,,,,,,,,,3,0,,0,0,,,0,0,3,0
Pimento,barrels,,,,159.79,0,,,,,,0,0,,,,,,,,,,3,,,,3,0,,0,0,,,0,0,3,0
Plank,feet,5.296,,0.0005,159.79,0.001657175,,,,,,0,0,,,,2000,,,,,,,300,,,2300,4,,0,0,,,0,0,2300,4
Potatoes,hhds,,,,159.79,0,,,,,,0,0,,,,1,,,,,,,,,,1,0,,0,0,,,0,0,1,0
Refined sugar,pounds,1.26,,0.05,159.79,0.039426748,,,,,,0,0,,,,,,,,,,,,,8400,8400,331,,0,0,,,0,0,8400,331
Rice,barrels,11.96,,,159.79,0,,,,,,0,0,,,,,,,,,,3,,,,3,0,,0,0,,,0,0,3,0
Rum,barrels,3.16,,1.45,159.79,2.867513612,,,,,,0,0,,,,,1225,,,,,,,,,1225,3513,,0,0,,,0,0,1225,3513
Rum,gallons,3.16,,0.05,159.79,0.09887978,37570,79387,8709,120,28500,154286,15256,,,20916,6665,,200,1300,,,25541,,5809,,60431,5975,,0,0,,,0,0,214717,21231
Salt,bushels,2.07,,0.05,159.79,0.064772514,,1300,,100,,1400,91,1800,1000,7100,220,320,80,400,1600,,,3159,217,,15896,1030,2000,2000,130,18800,,18800,1218,38096,2469
Sugar,pounds,38.94,,0.000446429,159.79,0.010879234,42700,246148,1450,7000,17700,314998,3427,,,16000,1100,1300,400,,,,4900,,1290,,24990,272,,0,0,,,0,0,339988,3699
Wine,gallons,27.38,,0.007936508,159.79,0.135991982,,,,,,0,0,,,60,,,,,,,,,,,60,8,,0,0,,,0,0,60,8
Wine,barrels,27.38,,0.25,159.79,4.283747418,,,,,,0,0,,,,,,,,,,4,,,,4,17,,0,0,,,0,0,4,17
Wine,pipes,27.38,,1,159.79,17.13498967,,,,,,0,0,,,,,,,,,,38,,,,38,651,,0,0,,71,71,1217,109,1868
Wine,hhds,27.38,,0.5,159.79,8.567494837,,,,,,0,0,,,,,,,,,,,,,,0,0,,0,0,,5,5,43,5,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,,21314,,,,,,,,,,,,,,,15479,,,130,,,,2478,,39401
