Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Boston,New York,Pensacola,Perth Amboy,Philadelphia,Salem,Salem NJ,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,Greenock,GB,,Dublin,IRE,,Cadiz,Lisbon,Madeira,SEU,,TOTAL,
,,1768,,,,Sterling,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.57,,0.05,166.62,0.077121594,,133,,133,10,222,237,,,,165,,624,48,,138.5,,,,,,,138.5,11,64,64,5,66,10,72.25,148.25,11,1107.75,85
Bread,casks,26.38,,0.089285714,166.62,1.413610097,24,64,,88,124,,,,,,,,0,0,,,,,,,,,0,0,,0,0,50,36,,86,122,174,246
Bread,barrels,26.38,,0.089285714,166.62,1.413610097,,80,,80,113,19,25,,,,,,44,62,,,,,,,,,0,0,,0,0,16,,,16,23,140,198
Bread,bags,26.38,,0.044642857,166.62,0.706805048,,4,,4,3,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,4,3
Corn,bushels,2.57,,0.05,166.62,0.077121594,7631,29233.5,2250,39114.5,3017,6221,7360,,553,,9950,,24084,1857,1200,6514.5,1769,,1773.5,,,,11257,868,,0,0,6576,1600,11579,19755,1524,94210.5,7266
Cotton,bales,1.71,,,166.62,0,,,,0,0,,,,2,,,,2,0,,,,,,,,,0,0,,0,0,,,,0,0,2,0
Cotton,hhds,1.71,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,4,,,,2,6,0,,0,0,,,,0,0,6,0
Cotton,pounds,1.71,,0.05,166.62,0.051314368,,,,0,0,15,800,,,,,,815,42,,,,,,,700,,700,36,,0,0,,,,0,0,1515,78
Cotton,bags,1.71,,6,166.62,6.157724163,,,,0,0,,2,,1,,,,3,18,35,,,5,,,19,1,60,369,,0,0,,,,0,0,63,387
Flax,pounds,,,,166.62,0,,,,0,0,,100,,,,,,100,0,,,,,,,,,0,0,,0,0,,,,0,0,100,0
Flaxseed,tierces,5.5,,,166.62,0,,,,0,0,,,,,12,,,12,0,,,,,,,,,0,0,,0,0,,,,0,0,12,0
Flaxseed,hhds,5.5,,,166.62,0,,,,0,0,,,,,1,,,1,0,,,,,,,,,0,0,,0,0,,,,0,0,1,0
Flour,barrels,16.89,,0.008928571,166.62,0.090507485,8,96,,104,9,86,,163,,,31,,280,25,,417,,,28,,,181,626,57,,0,0,,,10,10,1,1020,92
Flour,casks,16.89,,,166.62,0,25,364,,389,0,,,,,,,,0,0,,,,,,,,,0,0,,0,0,50,499,,549,0,938,0
Ginger,bags,,,,166.62,0,,,,0,0,,,,,,,,0,0,2,,,,,,,,2,0,,0,0,,,,0,0,2,0
Ginger,hhds,,,,166.62,0,,,,0,0,,,,,,,,0,0,3,,,,,,,,3,0,,0,0,,,,0,0,3,0
Hams,,,,,166.62,0,,,,0,0,,,,,,,20,20,0,,,,,,,,,0,0,,0,0,,,,0,0,20,0
Heading,pieces,5.39,,0.001,166.62,0.003234906,3260,560,,3820,12,228,,,,,,,228,1,,475,,,,,,,475,2,,0,0,,,,0,0,4523,15
Hemp,bales,4.55,,,166.62,0,,,,0,0,,,,,,,,0,0,,55,,21,6,,19,22,123,0,,0,0,,,,0,0,123,0
Hemp,pounds,4.55,,0.004166667,166.62,0.011378186,,,,0,0,,,,,,,,0,0,,8,,23,18,,,,49,1,,0,0,,,,0,0,49,1
Hemp,cwt,4.55,,0.466666667,166.62,1.27435682,,,,0,0,,,,,,,,0,0,,15,,13,48,,,,76,97,,0,0,,,,0,0,76,97
Hemp,quarters,4.55,,0.116666667,166.62,0.318589205,,,,0,0,,,,,,,,0,0,,1,,,2,,,,3,1,,0,0,,,,0,0,3,1
Hemp,hhds,4.55,,,166.62,0,,,,0,0,,,,,,,,0,0,2,,,2,,,,,4,0,,0,0,,,,0,0,4,0
Hemp,tons,4.55,,9.333333333,166.62,25.4871364,,,,0,0,,6,,,,,,6,153,,15,,2,8,,,,25,637,,0,0,,,,0,0,31,790
Hoops,,,,,166.62,0,,5900,,5900,0,,,,,,,,0,0,,,,150,,,4209,800,5159,0,,0,0,,,,0,0,11059,0
Indigo,barrels,,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,,,,,1,1,0,,0,0,,,,0,0,1,0
Indigo,boxes,,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,,,,1,1,2,0,,0,0,,,,0,0,2,0
Indigo,casks,,,,166.62,0,,,,0,0,,,,,,,,0,0,1,,,,,,8,,9,0,,0,0,,,,0,0,9,0
Iron,pounds,23.71,,0.000446429,166.62,0.006352672,,,,0,0,10924,,,,,,,10924,69,,,,,,,,,0,0,,0,0,,,,0,0,10924,69
Iron,bars,23.71,,,166.62,0,,,,0,0,,,,,,,,0,0,572,1001,,,,,,,1573,0,,0,0,,,,0,0,1573,0
Iron,cwt,8.2,,0.05,166.62,0.246068899,,,,0,0,,,,,,,,0,0,,,,,16,,,,16,4,,0,0,,,,0,0,16,4
Iron,pigs,8.2,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,,,,1547,,1547,0,,0,0,,,,0,0,1547,0
Iron,tons,8.2,,1,166.62,4.921377986,,,,0,0,,,,,,7,,7,34,122.75,62,,40,12,,76,14.5,327.25,1611,,0,0,,,,0,0,334.25,1645
Loaf sugar,hhds,0.93,,25,166.62,13.95390709,,,,0,0,,,,,,2,,2,28,,,,,,,,,0,0,,0,0,,,,0,0,2,28
Oats,bushels,2.57,,0.05,166.62,0.077121594,51,660,,711,55,,,,,,1300,,1300,100,,,,,,,,,0,0,,0,0,,,,0,0,2011,155
Peas,hhds,2.57,,0.35,166.62,0.539851158,,1,,1,1,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,1,1
Peas,bushels,2.57,,0.05,166.62,0.077121594,711,2661.25,650,4022.25,310,19,690,,,,24,,733,57,,956.75,,,,,,,956.75,74,,0,0,100,1400,422,1922,148,7634,589
Pitch,barrels,14.34,,0.05,166.62,0.43032049,,,,0,0,,20,,,,,,20,9,,346,,,,,28,,374,161,,0,0,,,,0,0,394,170
Plank,pieces,8.624,,0.005,166.62,0.025879246,255,314,,569,15,,,,,,,,0,0,,,,,15,,,,15,0,,0,0,,,,0,0,584,15
Plank,feet,8.624,,0.0005,166.62,0.002587925,850,,,850,2,,1009,,230,,750,,1989,5,,,,2315,14800,,2100,,19215,50,,0,0,2000,4000,3157,9157,24,31211,81
Planks,,8.624,,0.005,166.62,0.025879246,,,,0,0,,,,,14,,,14,0,,,,,,,,,0,0,,0,0,,,,0,0,14,0
Pork,barrels,73.43,,0.05,166.62,2.203516985,,132,,132,291,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,132,291
Pork,pounds,73.43,,0.00025,166.62,0.011017585,,1600,,1600,18,,500,,,,100,,600,7,,,,,,,,,0,0,,0,0,,,,0,0,2200,25
Pork,casks,73.43,,0.05,166.62,2.203516985,,,,0,0,,,,,,,,0,0,2,,,,,,,,2,4,,0,0,,,,0,0,2,4
Rice,barrels,17.74,,,166.62,0,8,,,8,0,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,,,0,0,8,0
Rice,tierces,17.74,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,6,,,,,6,0,,0,0,,,,0,0,6,0
Rum,barrels,3.34,,1.45,166.62,2.906613852,,,,0,0,,,,,,,,0,0,,,,,,,,1,1,3,,0,0,9,,,9,26,10,29
Rum,hhds,3.34,,5.25,166.62,10.52394671,,,,0,0,,,,,,,,0,0,2,,,,,,6,,8,84,,0,0,,,4,4,42,12,126
Rum,tierces,3.34,,3,166.62,6.013683831,,,,0,0,,,,,,,,0,0,,,,,,,1,,1,6,,0,0,,,,0,0,1,6
Rye,bushels,2.57,,0.05,166.62,0.077121594,,,,0,0,,,,,,18,,18,1,,,,,,,,,0,0,,0,0,,,,0,0,18,1
Shingles,,,,,166.62,0,29500,418225,1500,449225,0,,6500,,,,,,6500,0,,,,,5000,,,,5000,0,,0,0,,,5000,5000,0,465725,0
Skins,hhds,,,,166.62,0,,,,0,0,,,,,,,,0,0,59,20,2,52,15,,53,19,220,0,,0,0,,,,0,0,220,0
Skins,tierces,,,,166.62,0,,,,0,0,,,,,,,,0,0,,1,,,,,,,1,0,,0,0,,,,0,0,1,0
Skins,,,,,166.62,0,,,,0,0,,,,,,,,0,0,1,,,,15,,,,16,0,,0,0,,,,0,0,16,0
Skins,bundles,,,,166.62,0,,,,0,0,,,,,,,,0,0,4,,,,,,,,4,0,,0,0,,,,0,0,4,0
Staves,,5.39,,0.001,166.62,0.003234906,8980,38695,,47675,154,3000,,,,,,,3000,10,77665,52531,6000,29550,17500,7300,197900,31250,419696,1358,,0,0,14796,3150,11229,29175,94,499546,1616
Tar,barrels,11.01,,0.05,166.62,0.33039251,,,,0,0,,15,,,,,,15,5,,96,,,,,43,,139,46,,0,0,,,,0,0,154,51
Tobacco,hhds,21.83,,0.5485,166.62,7.186265154,,18,,18,129,1,7,,,,,,8,57,3422,752,120,1410,1103,278,7626,1839,16550,118933,,0,0,,,,0,0,16576,119119
Turpentine,barrels,15.86,,0.05,166.62,0.475933261,,,,0,0,,15,,,,,,15,7,,,,,,,441,,441,210,,0,0,,,,0,0,456,217
Wax,tons,,,,166.62,0,,,,0,0,,,,,,,,0,0,3,,,,,,,,3,0,,0,0,,,,0,0,3,0
Wax,casks,,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,,,,,,0,0,,0,0,,2,,2,0,2,0
Wax,barrels,,,,166.62,0,,,,0,0,,,,,,,,0,0,,,,10,,,,,10,0,4,4,0,6,,,6,0,20,0
Wax,pounds,,,,166.62,0,,,,0,0,,,,,511,,,511,0,,,,,,,,,0,0,,0,0,,400,,400,0,911,0
Wax,hhds,,,,166.62,0,,,,0,0,,,,,,,,0,0,2,,,,,,,,2,0,,0,0,,,,0,0,2,0
Wheat,bushels,6.31,,0.05,166.62,0.189353019,,,,0,0,5959,5115,,,8053.75,2321,1810,23258.75,4404,,15018,,,,,,,15018,2844,11413,11413,2161,19593,11135,1712.75,32440.75,6143,82130.5,15552
Wine,quarter casks,47.73,,0.25,166.62,7.161505221,,,,0,0,,,,,,,,0,0,2,,,,,10,,,12,86,,0,0,,,,0,0,12,86
Wine,hhds,47.73,,0.5,166.62,14.32301044,,,,0,0,,,,,,9,,9,129,1,,,,,4,,1,6,86,,0,0,,,,0,0,15,215
Wine,pipes,47.73,,1,166.62,28.64602089,,,,0,0,,,,,,,,0,0,1,2,,,,10,1,,14,401,,0,0,,,,0,0,14,401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,4263,,,,,,,,,7128,,,,,,,,,,128040,,,2166,,,,,8158,,149755
