Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,Salem,NA,,London,Bristol,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1749,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.63,,0.05,171.39,0.076725597,,0,0,,11,100,111,9,,,,,0,0,182,182,14,293,23
Beef,barrels,37.31,,0.05,171.39,1.088453235,,0,0,,,,0,0,,,,,0,0,100,100,109,100,109
Biscuits,pounds,17.6,,0.000446429,171.39,0.004584365,,0,0,,,,0,0,,,,,0,0,4500,4500,21,4500,21
Corn,bushels,2.63,,0.05,171.39,0.076725597,1700,1700,130,2000,2934,1900,6834,524,,,,,0,0,2704,2704,207,11238,861
Handspikes,,,,,171.39,0,,0,0,,,,0,0,,,,24,24,0,,0,0,24,0
Hoops,,,,,171.39,0,,0,0,,,,0,0,,,,784,784,0,,0,0,784,0
Logs (walnut),feet,,,,171.39,0,,0,0,,,,0,0,,,20,,20,0,,0,0,20,0
Peas,bushels,2.63,,0.05,171.39,0.076725597,100,100,8,70,40,,110,8,,,,,0,0,1775,1775,136,1985,152
Pig iron,tons,8.56,,1,171.39,4.994457086,,0,0,,,,0,0,,24,,,24,120,,0,0,24,120
Pitch,barrels,15.41,,0.05,171.39,0.449559484,,0,0,,,,0,0,342,,,,342,154,,0,0,342,154
"Pitch, tar, turpentine",barrels,21.51,,0.05,171.39,0.627516191,,0,0,,,,0,0,801,,,,801,503,,0,0,801,503
Plank,feet,8.4,,0.0005,171.39,0.002450551,,0,0,,,,0,0,140,2000,680,3940,6760,17,,0,0,6760,17
Planks,,8.4,,0.005,171.39,0.024505514,,0,0,,,,0,0,90,40,,9,139,3,,0,0,139,3
Pork,barrels,60.16,,0.05,171.39,1.755061556,100,100,176,50,32,,82,144,,,,,0,0,,0,0,182,320
Rum,hhds,3.77,,5.25,171.39,11.54822335,,0,0,,,,0,0,653,,,1,654,7553,,0,0,654,7553
Rum,gallons,3.77,,0.05,171.39,0.10998308,,0,0,,,,0,0,,,,120,120,13,,0,0,120,13
Skins,tierces,,,,171.39,0,,0,0,,,,0,0,1,,,,1,0,,0,0,1,0
Skins,hhds,,,,171.39,0,,0,0,,,,0,0,36,144,,,180,0,,0,0,180,0
Skins,bundles,,,,171.39,0,,0,0,,,,0,0,,1,,,1,0,,0,0,1,0
Staves,,5.25,,0.001,171.39,0.003063189,1000,1000,3,,,,0,0,48750,69400,27700,136060,281910,864,3450,3450,11,286360,878
Tobacco,hhds,17.1,,0.4985,171.39,4.973656573,,0,0,,,,0,0,2090,938,1556,5515,10099,50229,,0,0,10099,50229
Wheat,bushels,5.66,,0.05,171.39,0.165120485,,0,0,,,,0,0,,,,,0,0,3051.5,3051.5,504,3051.5,504
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,317,,,,,685,,,,,,59456,,,1002,,61460
