Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,Jamaica,WI,,Boston,New York,Piscataqua,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,TOTAL,
,,1756,,,,Sterling,,,,Quantity,Value,,,,Quantity,Value,,,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,22.74,,1,172.57,13.1772614,,,,0,0,,,,0,0,,10,,,,,,,10,132,10,132
Beef,barrels,48.96,,0.05,172.57,1.418554789,,79,,79,112,,,,0,0,,,,,,,,,0,0,79,112
Bread,barrels,21.21,,0.089285714,172.57,1.097380773,43,45,,88,97,,,,0,0,,,,,,,,,0,0,88,97
Corn,bushels,2.5,,0.05,172.57,0.072434374,5180,14855.5,1400,21435.5,1553,800,,2600,3400,246,,,,,,,,,0,0,24835.5,1799
Deer Skin,chests,,,,172.57,0,,,,0,0,,,,0,0,,,,,,2,,,2,0,2,0
Deer Skins,bundles,,,,172.57,0,,,,0,0,,,,0,0,,,,2,,,,,2,0,2,0
Flour,barrels,12.76,,0.089285714,172.57,0.660187584,31,124,,155,102,,,,0,0,,,,,,,,,0,0,155,102
Flour,tierces,12.76,,0.011875,172.57,0.087804949,,1,,1,0,,,,0,0,,,,,,,,,0,0,1,0
Heading,pieces,3.54,,0.001,172.57,0.002051341,,100,,100,0,,,,0,0,,,,,,,,,0,0,100,0
Heading (hhd),,3.54,,0.001,172.57,0.002051341,,1600,,1600,3,,,1000,1000,2,,,,,1000,,,,1000,2,3600,7
Hoops,,,,,172.57,0,,,,0,0,,,,0,0,,,,,,600,,830,1430,0,1430,0
Indigo,boxes,12.07,,,172.57,0,,,,0,0,,,,0,0,1,,,,2,,,,3,0,3,0
Indigo,barrels,12.07,,,172.57,0,,,,0,0,,,,0,0,22,4,,,,,,,26,0,26,0
Indigo,kegs,12.07,,,172.57,0,,,,0,0,,,,0,0,,,,,1.5,,,,1.5,0,1.5,0
Indigo,pounds,12.07,,0.05,172.57,0.34971316,,,,0,0,30,200,,230,80,,,,,,,,,0,0,230,80
Negroes,,33.1,,1,100,33.1,,2,,2,66,,,,0,0,,,,,,,,,0,0,2,66
Peas,bushels,2.5,,0.05,172.57,0.072434374,431.5,704.5,,1136,82,6,,80,86,6,,,,,,,,,0,0,1222,88
Pig iron,tons,7.58,,1,172.57,4.392420467,,,,0,0,,,,0,0,80,79.5,,,,,,,159.5,701,159.5,701
Plank,feet,5.664,,0.0005,172.57,0.001641073,,,,0,0,,,,0,0,4,,,,,200,,200,404,1,404,1
Planks,,5.664,,0.005,172.57,0.016410732,,,,0,0,,,,0,0,54,80,,47,,140,,,321,5,321,5
Pork,barrels,61.42,,0.05,172.57,1.779567712,74,964,10,1048,1865,,,21,21,37,,,,,,,,,0,0,1069,1902
Potatoes,M bushels,,,,172.57,0,,,,0,0,,1,,1,0,,,,,,,,,0,0,1,0
Rum,hhds,2.73,,5.25,172.57,8.305325375,,,,0,0,,,,0,0,1,,,,,,,1,2,17,2,17
Shingles,,,,,172.57,0,6000,6600,20000,32600,0,,4600,,4600,0,,,,,,,,,0,0,37200,0
Skins,cases,,,,172.57,0,,,,0,0,,,,0,0,3,,,,,,,,3,0,3,0
Skins,hhds,,,,172.57,0,,,,0,0,,,,0,0,131,4,,,5,,,,140,0,140,0
Skins,boxes,,,,172.57,0,,,,0,0,,,,0,0,1,,,,,,,,1,0,1,0
Staves,,3.54,,0.001,172.57,0.002051341,,10200,,10200,21,,360,,360,1,61700,48000,4600,7000,10940,24000,14000,77800,248040,509,258600,531
Tar,barrels,11.42,,0.05,172.57,0.330880223,,,,0,0,,20,,20,7,,,,455,,813,,,1268,420,1288,427
Tobacco,hhds,15.88,,0.5525,172.57,5.084139769,,4,,4,20,,,,0,0,1963,2270,160,206,513,1038,363,2576,9089,46210,9093,46230
Turpentine,barrels,13.53,,0.05,172.57,0.392014835,,,,0,0,,,,0,0,5,,,,,97,,,102,40,102,40
Wax,barrels,,,,172.57,0,,,,0,0,,,,0,0,3,,,,,,,,3,0,3,0
Wheat,bushels,4.34,,0.05,172.57,0.125746074,,,,0,0,3100,4600,124,7824,984,,,,,,,,,0,0,7824,984
Wine,pipes,32.78,,1,172.57,18.99519036,,,,0,0,,,,0,0,2,,,,,4,,1,7,133,7,133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,3921,,,,,1363,,,,,,,,,,48170,,53454
