Good,Unit,Price,Price,Conv,Exch,Price,Antigua,Barbadoes,WI,,Boston,Philadelphia,Rhode Island,Salem,NA,,London,Bristol,Liverpool,Southampton,Whitehaven,Glasgow,Leith,GB,,Lisbon,SEU,,TOTAL,
,,1766,,,,Sterling,,,Quantity,Value,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,25.75,,1,162.96,15.80142366,,,0,0,,,,,0,0,70.5,,,,,,3,73.5,1161,,0,0,73.5,1161
Bar iron,cwt,25.75,,0.05,162.96,0.790071183,,,0,0,,,,,0,0,,,,,,,3,3,2,,0,0,3,2
Bar iron,pounds,25.75,,0.000446429,162.96,0.007054207,,,0,0,,,,,0,0,,,,,,,8,8,0,,0,0,8,0
Bar iron,quarters,25.75,,0.0125,162.96,0.197517796,,,0,0,,,,,0,0,,,,,,,2,2,0,,0,0,2,0
Cheese,pounds,,,,162.96,0,,,0,0,,,300,,300,0,,,,,,,,0,0,,0,0,300,0
Coffee,pounds,,,,162.96,0,,,0,0,,,400,,400,0,,,,,,,,0,0,,0,0,400,0
Corn,bushels,3.29,,0.05,162.96,0.100945017,11280,7292,18572,1875,2500,375,8607,5435,16917,1708,,,,,,,,0,0,2281,2281,230,37770,3813
Cotton,pounds,1.87,,0.05,162.96,0.057376043,,,0,0,,,,168,168,10,,,,,,,,0,0,,0,0,168,10
Flaxseed,casks,5.17,,,162.96,0,,,0,0,,,,,0,0,,,1,,23,,,24,0,,0,0,24,0
Flour,barrels,14.81,,0.089285714,162.96,0.811439266,,,0,0,,,60,,60,49,26,,,,,,,26,21,100,100,81,186,151
Flour,casks,14.81,,0.089285714,162.96,0.811439266,4,,4,3,,,,,0,0,,,,,,,,0,0,,0,0,4,3
Flour,pounds,14.81,,0.000446429,162.96,0.004057196,,,0,0,900,,,400,1300,5,,,,,,,,0,0,,0,0,1300,5
Furs and skins,casks,,,,162.96,0,,,0,0,,,,,0,0,1,,,,,,,1,0,,0,0,1,0
Hemp,pounds,5.71,,0.000446429,162.96,0.001564253,,,0,0,,16,,,16,0,,,8,,16,8,,32,0,,0,0,48,0
Hemp,cwt,5.71,,0.05,162.96,0.175196367,,,0,0,,17,15,,32,6,,13,15,,9,6,,43,8,,0,0,75,14
Hemp,tons,5.71,,1,162.96,3.503927344,,,0,0,,9,4,,13,46,,,8,,4,3,,15,53,,0,0,28,99
Hemp,quarters,5.71,,0.0125,162.96,0.043799092,,,0,0,,2,1,,3,0,,,3,,2,,,5,0,,0,0,8,0
Hoops,,,,,162.96,0,500,,500,0,,,,,0,0,,,,,,960,,960,0,,0,0,1460,0
Peas,bushels,3.29,,0.05,162.96,0.100945017,142,200,342,35,50,,35,159,244,25,,,,,,,,0,0,20,20,2,606,62
Pig iron,pounds,8.59,,0.000446429,162.96,0.002353229,,,0,0,,,15,,15,0,,,,,,,,0,0,,0,0,15,0
Pig iron,cwt,8.59,,0.05,162.96,0.26356161,,,0,0,,,9,,9,2,,,,,,,,0,0,,0,0,9,2
Pig iron,tons,8.59,,1,162.96,5.271232204,,,0,0,,,3,,3,16,83.5,21,30,5,26,222,,387.5,2043,,0,0,390.5,2059
Pig iron,quarters,8.59,,0.0125,162.96,0.065890403,,,0,0,,,1,,1,0,,,,,,,,0,0,,0,0,1,0
Plank,feet,10.496,,0.005,162.96,0.032204222,,,0,0,,,,600,600,19,,,973,200,,4263,,5436,175,257,257,8,6293,202
Pork,barrels,76.88,,0.05,162.96,2.35886107,20,40,60,142,,,,,0,0,,,,,,,,0,0,40,40,94,100,236
Rum,hhds,3.02,,5.25,162.96,9.729381443,,,0,0,,,,,0,0,,1,,,,1,,2,19,,0,0,2,19
Shingles,,,,,162.96,0,7500,29400,36900,0,,300,,,300,0,,,,,,,,0,0,,0,0,37200,0
Skins,bundles,,,,162.96,0,,,0,0,,,,,0,0,,,,,,1,,1,0,,0,0,1,0
Skins,boxes,,,,162.96,0,,,0,0,,1,,,1,0,,,,,,,,0,0,,0,0,1,0
Skins,cases,,,,162.96,0,,,0,0,,,,,0,0,12,,,,,,,12,0,,0,0,12,0
Skins,hhds,,,,162.96,0,,,0,0,,,,,0,0,,,,,,1,,1,0,,0,0,1,0
Spirits,barrels,3.02,,1.45,162.96,2.687162494,,,0,0,,,1,,1,3,,,,,,,,0,0,,0,0,1,3
Staves,,6.56,,0.001,162.96,0.004025528,5650,7900,13550,55,1000,,2350,1500,4850,20,114900,9000,27200,22000,11200,127100,17800,329200,1325,2200,2200,9,349800,1409
Tobacco,hhds,20.42,,0.552,162.96,6.916936672,18,,18,125,5,,,,5,35,3253,342,918,217,782,4032,660,10204,70580,,0,0,10227,70740
Wheat,bushels,5.73,,0.05,162.96,0.175810015,,,0,0,,752.5,99,45,896.5,158,,,,,,,,0,0,16273,16273,2861,17169.5,3019
Wine,quarter casks,48.92,,0.25,162.96,7.50490918,,,0,0,,5,,,5,38,,,,,,,,0,0,,0,0,5,38
Wine,pipes,48.92,,1,162.96,30.01963672,,,0,0,,3,,,3,90,,,,,,,,0,0,,0,0,3,90
Wine,hhds,48.92,,0.5,162.96,15.00981836,,,0,0,,4,,,4,60,,,,,,,,0,0,,0,0,4,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,2235,,,,,,2290,,,,,,,,,75387,,,3285,,83197
