Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Boston,New England,Salem,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,TOTAL,
,,1746,,,,Sterling,,Quantity,Value,,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.82,,0.05,179.86,0.050594907,,0,0,187,6,,193,10,,,,,,,0,0,193,10
Corn,bushels,1.82,,0.05,179.86,0.050594907,1913,1913,97,5076,922,1900,7898,400,,,,,,,0,0,9811,497
Deer Skin,chests,,,,179.86,0,,0,0,,,,0,0,6,,,,,,6,0,6,0
Deer Skins,,,,,179.86,0,,0,0,22,,,22,0,,,,,,,0,0,22,0
Deer Skins,bundles,,,,179.86,0,,0,0,,,,0,0,1,,,,,,1,0,1,0
Deer Skins,cases,,,,179.86,0,,0,0,,,,0,0,10,,,,,,10,0,10,0
Hoops,,,,,179.86,0,,0,0,,,,0,0,,,,,,1644,1644,0,1644,0
Peas,bushels,1.82,,0.05,179.86,0.050594907,,0,0,4,,4,8,0,,,,,,,0,0,8,0
Pig iron,tons,6.5,,1,179.86,3.613921939,,0,0,,,,0,0,151,3,61,82,20,,317,1146,317,1146
Plank,feet,6.528,,0.0005,179.86,0.001814745,,0,0,,,,0,0,1700,,131,1300,6,,3137,6,3137,6
Planks,M,6.528,,0.5,179.86,1.814744802,,0,0,,,,0,0,,,30,,,,30,54,30,54
Pork,barrels,53.79,,0.05,179.86,1.495329701,,0,0,4,,,4,6,,,,,,,0,0,4,6
Rum,gallons,3.03,,0.05,179.86,0.084232181,,0,0,264,,116,380,32,110,,327,,,96,533,45,913,77
Shingles,,,,,179.86,0,20000,20000,0,,,,0,0,,,26589,,,,26589,0,46589,0
Staves,,4.08,,0.001,179.86,0.002268431,,0,0,,,,0,0,52530,,,18800,6150,39200,116680,265,116680,265
Tobacco,barrels,13.93,,0.24575,179.86,1.903312298,,0,0,,,,0,0,,,,3,,,3,6,3,6
Tobacco,hhds,13.93,,0.4915,179.86,3.806624597,,0,0,,,,0,0,3294,22-,1650,1983,220,1887,9034,34389,9034,34389
Wheat,bushels,2.87,,0.05,179.86,0.079784277,,0,0,304,360,50,714,57,,,,,,,0,0,714,57
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,97,,,,,505,,,,,,,,35911,,36513
