Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bristol,Liverpool,Whitehaven,Glasgow,Irvine,GB,,TOTAL,
,,1736,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Corn,bushels,1.89,,0.05,167,0.056586826,1800,1800,102,12846,1300,14146,800,,,,,,,0,0,15946,902
Deer Skins,,,,,167,0,,0,0,,32,32,0,10,,10,,,,20,0,52,0
Furs,pounds,,,,167,0,,0,0,,,0,0,65,,,,,,65,0,65,0
Hoops,,,,,167,0,,0,0,,,0,0,,,,,144,,144,0,144,0
Peas,bushels,1.89,,0.05,167,0.056586826,,0,0,222,40,262,15,,,,,,,0,0,262,15
Pig iron,tons,,,1,167,0,,0,0,,,0,0,134,90,41,30,,,295,0,295,0
Plank,pieces,3.728,,0.005,167,0.011161677,,0,0,,,0,0,,,,7,,,7,0,7,0
Plank,feet,3.728,,0.0005,167,0.001116168,,0,0,,,0,0,1150,,1150,500,1000,,3800,4,3800,4
Pork,pounds,41.72,,0.00025,167,0.006245509,,0,0,,2000,2000,12,,,,,,,0,0,2000,12
Rum,tierces,2.24,,3,167,4.023952096,,0,0,,,0,0,,4,,,,,4,16,4,16
Rum,hhds,2.24,,5.25,167,7.041916168,,0,0,,,0,0,,4,,,,,4,28,4,28
Salt,bushels,1.64,,0.05,167,0.049101796,,0,0,4000,,4000,196,,,,,,,0,0,4000,196
Staves,,2.33,,0.001,167,0.00139521,,0,0,,,0,0,38140,17465,24079,30100,31000,20000,160784,224,160784,224
Tobacco,barrels,15.08,,0.214,167,1.932407186,,0,0,,,0,0,1,,,27,,,28,54,28,54
Tobacco,hhds,15.08,,0.428,167,3.864814371,,0,0,,,0,0,1463,656,1131,1221,788,135,5394,20847,5394,20847
Wheat,bushels,3.24,,0.05,167,0.097005988,,0,0,,90,90,9,,,,,,,0,0,90,9
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,102,,,,1032,,,,,,,,21173,,22307
