Good,Unit,Price,Price,Conv,Exch,Price,Barbadoes,WI,,Bermuda,Boston,NA,,London,Bristol,Liverpool,Whitehaven,Aberdeen,Glasgow,GB,,TOTAL,
,,1744,,,,Sterling,,Quantity,Value,,,Quantity,Value,,,,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.53,,0.05,166.67,0.045899082,17,17,1,,,0,0,,,,,,,0,0,17,1
Corn,bushels,1.53,,0.05,166.67,0.045899082,1521,1521,70,4225,504,4729,217,,,,,,,0,0,6250,287
Deer Skin,pounds,,,,166.67,0,,0,0,,159,159,0,,,,,,,0,0,159,0
Deer Skins,casks,,,,166.67,0,,0,0,,,0,0,2,,,,,,2,0,2,0
Deer Skins,,,,,166.67,0,,0,0,,,0,0,1198,,,,,,1198,0,1198,0
Hoops,,,,,166.67,0,,0,0,,,0,0,,,,,,168,168,0,168,0
Iron,tons,8.17,,1,166.67,4.901901962,,0,0,,,0,0,325,30,85,46,,,486,2382,486,2382
Logs (walnut),,,,,166.67,0,,0,0,,,0,0,,,,4,,,4,0,4,0
Peas,bushels,1.53,,0.05,166.67,0.045899082,62,62,3,,,0,0,,,,,,,0,0,62,3
Plank,feet,4.736,,0.0005,166.67,0.001420772,,0,0,,,0,0,,,1206,2983,68,780,5037,7,5037,7
Rum,gallons,3.2,,0.05,166.67,0.09599808,,0,0,,,0,0,,,,,,691,691,66,691,66
Spirits,gallons,3.2,,0.05,166.67,0.09599808,,0,0,,,0,0,300,,,,,,300,29,300,29
Staves,,2.96,,0.001,166.67,0.001775964,,0,0,,,0,0,56800,5600,29412,39100,7300,82550,220762,392,220762,392
Tobacco,hhds,12.65,,0.483,166.67,3.665896682,,0,0,,,0,0,2939,321,1554,2813,226,3752,11605,42543,11605,42543
Tobacco,barrels,12.65,,0.2415,166.67,1.832948341,,0,0,,,0,0,,,,4,,,4,7,4,7
Wax,pounds,,,,166.67,0,,0,0,,,0,0,,,1000,,,,1000,0,1000,0
Wheat,bushels,2.49,,0.05,166.67,0.074698506,,0,0,,508,508,38,,,,,,,0,0,508,38
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,74,,,,255,,,,,,,,45426,,45755
