Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Nantucket,New Hampshire,New York,Philadelphia,Piscataqua,Providence,South Carolina,NA,,London,Bideford,Bristol,Liverpool,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1742,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.69,,0.05,159.38,,,,,0,0,,,,2,,,,,,2,0,,,,,,,0,0,,0,0,2,0
Beef,barrels,36.63,,0.05,159.38,80,593,,35,708,814,97,,,,,6,,,,103,118,,,,,,,0,0,,0,0,811,932
Beeswax,pounds,,,,159.38,,,,,0,0,,,,,,,,,,0,0,,,,,,,0,0,6100,6100,0,6100,0
Bread,tierces,15.96,,0.11875,159.38,,,,,0,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,0,0
Bread,hhds,15.96,,0.178571429,159.38,,33,,3,36,64,,,,,,,,,,0,0,,,,,,,0,0,,0,0,36,64
Bread,pounds,15.96,,0.000446429,159.38,800,,,,800,4,,,,,,,,,,0,0,,,,,,,0,0,,0,0,800,4
Corn,bushels,2.69,,0.05,159.38,7573,9956,,800,18329,1547,19374,860,388,6230,,1285,2200,1800,1350,33487,2826,,,,,,,0,0,1420,1420,120,53236,4493
Deer Skins,,,,,159.38,,,,,0,0,,,,,,26,,,,26,0,,,,,,,0,0,,0,0,26,0
Deer Skins,cases,,,,159.38,,,,,0,0,,,,,,,,,,0,0,2,,,,,,2,0,,0,0,2,0
Heading,,3.68,,0.001,159.38,8168,26030,4000,,38198,88,1000,,,,,,,,,1000,2,,,,,,,0,0,,0,0,39198,90
Hoops,,,,,159.38,2000,,,,2000,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,2000,0
Iron,tons,9.17,,1,159.38,,,,,0,0,,,,,,5,,,,5,29,,,,,,,0,0,,0,0,5,29
Oats,bushels,,,,159.38,440,500,150,,1090,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,1090,0
Peas,bushels,2.69,,0.05,159.38,1107,764,15,50,1936,163,538,,6,8,,10,50,,,612,52,,,,,,,0,0,,0,0,2548,215
Pitch,barrels,16.21,,0.05,159.38,,32,92,39,163,83,37,56,,,,,,,,93,47,2,79,50,,,116,247,126,,0,0,503,256
Plank,pieces,4.416,,0.005,159.38,1232,,,,1232,17,,,,,,,,,,0,0,,,,,,,0,0,,0,0,1232,17
Plank,feet,4.416,,0.0005,159.38,10041,,,,10041,14,14000,,,150,,490,,,,14640,20,,,,,,500,500,1,,0,0,25181,35
Planks,,4.416,,0.005,159.38,30,,,,30,0,,,,,,,,,,0,0,,,,,,,0,0,,0,0,30,0
Pork,barrels,54.17,,0.05,159.38,316,3088,58,235,3697,6283,486,49,30,70,468,32,75,20,,1230,2090,,,,,,,0,0,,0,0,4927,8373
Pork,pounds,54.17,,0.00025,159.38,553,,,,553,5,,,,,,,,,,0,0,,,,,,,0,0,,0,0,553,5
Pork,casks,54.17,,0.05,159.38,,,,,0,0,3,,,,,,,,,3,5,,,,,,,0,0,,0,0,3,5
Rum,gallons,3.64,,0.05,159.38,,,,,0,0,,,,800,,,,,,800,91,,,,,,,0,0,,0,0,800,91
Salt,bushels,2.785,,0.05,159.38,,,,,0,0,,,,,,,,,1000,1000,87,,,,,,,0,0,,0,0,1000,87
Shingles,,,,,159.38,511460,1511300,56000,100000,2178760,0,98000,,,,,,,,,98000,0,,,,,,,0,0,,0,0,2276760,0
Skins,hhds,,,,159.38,,,,,0,0,,,,,,,,,,0,0,,,4,,,,4,0,,0,0,4,0
Skins,barrels,,,,159.38,,,,,0,0,,,,,,,,,,0,0,,,1,,,,1,0,,0,0,1,0
Staves,,3.68,,0.001,159.38,29689,60195,3350,12000,105234,243,4777,2018,,,,,,,,6795,16,14000,,5250,21960,14550,14500,70260,162,16800,16800,39,199089,460
Tar,barrels,12.75,,0.05,159.38,55,116,264,219,654,262,74,2101,,,,84,,,,2259,904,911,619,572,1130,917,1341,5490,2196,,0,0,8403,3362
Tobacco,hhds,17.65,,0.4745,159.38,4,,,,4,21,,,,,,,,,,0,0,596,36,72,216,332,321,1573,8266,,0,0,1577,8287
Turpentine,barrels,19.95,,0.05,159.38,14,73,24,,111,69,22,53,,,,,,,,75,47,1,1,,,3,28,33,21,,0,0,219,137
Wheat,bushels,3.58,,0.05,159.38,,,,,0,0,,,,,,,,,,0,0,,,,,,,0,0,6640,6640,746,6640,746
Wine,pipes,24.35,,1,159.38,,,,,0,0,21,,,,45,,,,,66,1008,,,,,,,0,0,,0,0,66,1008
Wine,hhds,24.35,,0.5,159.38,,,,,0,0,3,,,,,,,,,3,23,,,,,,,0,0,,0,0,3,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,9677,,,,,,,,,,,7365,,,,,,,,10772,,,905,,28719
