Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,Nevis,St. Kitts,WI,,New Providence,Bermuda,Boston,Nantucket,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,Salem,South Carolina,NA,,London,Hull,Lancaster,Liverpool,Whitehaven,Glasgow,Leith,GB,,Cork,IRE,,Gambia,AFR,,Gibraltar,SEU,,TOTAL,
,,1762,,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,tons,34.38,,1,176.26,,1.75,,,,,1.75,34,,,,,,4,,,6,,,10,195,,,,,4,,,4,78,,0,0,,0,0,,0,0,15.75,307
Bar iron,pounds,34.38,,0.000446429,176.26,,,,,,,0,0,,,,,,,,,22000,,,22000,192,,,,,,,,0,0,,0,0,,0,0,,0,0,22000,192
Beans,bushels,3.48,,0.05,176.26,,,,,,,0,0,,,,,,,,,255,,,255,25,,,,,,,,0,0,,0,0,,0,0,,0,0,255,25
Beef,barrels,58.04,,0.05,176.26,105,131,30,,,120,386,636,47,,,,80,,16,,28,,,171,282,,,,,,,,0,0,,0,0,,0,0,,0,0,557,918
Beeswax,pounds,,,,176.26,,,,,,,0,0,,,,,,,,,,,,0,0,,,,400,,,,400,0,,0,0,,0,0,,0,0,400,0
Beeswax,barrels,,,,176.26,,,,,,,0,0,,,,,1,,,,6,,,7,0,1,2,,2,,7,,12,0,,0,0,,0,0,3,3,0,22,0
Beeswax,hhds,,,,176.26,,,,,,,0,0,,,,,,,,,1,,,1,0,3,,,2,,,,5,0,,0,0,,0,0,5,5,0,11,0
Bread,barrels,28.88,,0.089285714,176.26,365,864,322,,,478,2029,2968,,20,,,,6,,,,,28,54,79,,,,,,,,0,0,,0,0,,0,0,90,90,132,2173,3179
