Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Curacao,Jamaica,St. Christophers,WI,,Bermuda,Boston,New England,North Carolina,Philadelphia,Rhode Island,NA,,London,Bideford,Liverpool,Topsham,GB,,Ireland,IRE,,Gamba,AFR,,Madeira,SEU,,TOTAL,
,,1736,,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,33.5,,0.05,167,130,922,,5,50,1107,1110,,,,,,,0,0,,,,,0,0,,0,0,,0,0,140,140,140,1247,1250
Beeswax,pounds,,,,167,,,,,,0,0,,,,,,,0,0,,,,,0,0,,0,0,,0,0,10499,10499,0,10499,0
Corn,bushels,1.89,,0.05,167,1687,15533,2200,7963,3200,30583,1731,12800,1024,115,,,810,14749,835,,,,,0,0,,0,0,,0,0,2585,2585,146,47917,2712
Deer Skin,casks,,,,167,,,,,,0,0,,,,,,,0,0,7,,,,7,0,,0,0,,0,0,,0,0,7,0
Heading,,2.33,,0.001,167,,34076,,,16488,50564,71,,,,,,,0,0,3000,,,,3000,4,,0,0,,0,0,,0,0,53564,75
Molasses,gallons,1.68,,1,167,,,,,,0,0,,,,255,,,255,257,,,,,0,0,,0,0,,0,0,,0,0,255,257
Oats,bushels,1.89,,0.05,167,,60,,,,60,3,,,,,,,0,0,,,,,0,0,,0,0,,0,0,,0,0,60,3
Peas,bushels,1.89,,0.05,167,104.5,153.5,,340,60,658,37,45,10,,,,16,71,4,,,,,0,0,,0,0,,0,0,200,200,11,929,52
Pitch,barrels,12.25,,0.05,167,,,,,3,3,1,,,,,,,0,0,,42,,78,120,44,,0,0,,0,0,,0,0,123,45
Plank,feet,3.728,,0.0005,167,,300,,,,300,0,,,700,,,,700,1,,,,,0,0,2500,2500,3,500,500,1,,0,0,4000,5
Plank,pieces,3.728,,0.005,167,,,,,,0,0,90,,,,,,90,1,,,,,0,0,,0,0,,0,0,,0,0,90,1
Pork,barrels,41.72,,0.05,167,315,3502,,533,40,4390,5484,220,36,,,,4,260,325,,,,,0,0,,0,0,,0,0,33,33,41,4683,5850
Rum,gallons,2.24,,0.05,167,,,,,,0,0,,,,626,,,626,42,,,,,0,0,,0,0,,0,0,,0,0,626,42
Rum,barrels,2.24,,,167,,,,,,0,0,,,,,,,0,0,1,,,,1,0,,0,0,,0,0,,0,0,1,0
Salt,bushels,1.64,,0.05,167,,,,,,0,0,,,,1160,,,1160,57,,,,,0,0,,0,0,,0,0,,0,0,1160,57
Shingles,,,,,167,8100,880690,,35000,105050,1028840,0,,,,,,,0,0,,,2000,,2000,0,,0,0,,0,0,105300,105300,0,1136140,0
Skins,casks,,,,167,,,,,,0,0,,,,,,,0,0,17,,,,17,0,,0,0,,0,0,,0,0,17,0
Skins,bundles,,,,167,,,,,,0,0,,,,,,,0,0,1,,,,1,0,,0,0,,0,0,,0,0,1,0
Staves,,2.33,,0.001,167,7000,227486,,1000,13410,248896,347,,500,3500,,,,4000,6,94123,,,6000,100123,140,,0,0,,0,0,50500,50500,70,403519,563
Staves (barrels),,35.21,,0.00005,167,,,,,,0,0,,,,,,,0,0,,,,,0,0,2400,2400,3,,0,0,,0,0,2400,3
Tar,barrels,8.98,,0.05,167,,28,,34,1,63,17,,1691,,,50,183,1924,517,,342,1954,16,2312,622,,0,0,,0,0,,0,0,4299,1156
Tobacco,hhds,15.08,,0.428,167,,,,,,0,0,,,,,,,0,0,536,14,,104,654,2528,,0,0,,0,0,,0,0,654,2528
Turpentine,barrels,16.8,,0.05,167,,8,,12,3,23,12,,174,,,,24,198,100,50,6,70,99,225,113,,0,0,,0,0,,0,0,446,225
Wheat,bushels,3.24,,0.05,167,,,,,,0,0,,7,,,,,7,1,,,,,0,0,,0,0,,0,0,18643,18643,1808,18650,1809
Wine,quarter casks,21.58,,0.25,167,,1,,,,1,3,,,,,,,0,0,,,,,0,0,,0,0,,0,0,,0,0,1,3
Wine,pipes,21.58,,1,167,,10,,,,10,129,,,,,,,0,0,,,,,0,0,,0,0,,0,0,,0,0,10,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PRE REGION,,,,,,,,,,,,8945,,,,,,,,2146,,,,,,3451,,,6,,,1,,,2216,,16765
