Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,WI,,New Providence,Bermuda,New Castle,New York,North Carolina,Philadelphia,Providence,South Carolina,NA,,London,Bristol,Falmouth,Hull,Liverpool,Whitehaven,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1750,,,,,,,,,,Quantity,Value,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.56,,0.05,170.6,,,,,,,0,0,,200,,,,,,,200,15,,,,,,,,0,0,23,23,2,223,17
Beef,barrels,38.17,,0.05,170.6,,58,26,251,30,64,429,480,,68,,,,,28,,96,107,,,,,,,,0,0,90,90,101,615,688
Beeswax,pounds,,,,170.6,,,,,,,0,0,,,,,,100,,,100,0,,,,,,,,0,0,2543,2543,0,2643,0
Bread,hhds,23.82,,0.178571429,170.6,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,0,0,15,15,37,15,37
Bread,barrels,23.82,,0.089285714,170.6,,60,,,,,60,75,,,,,,,,,0,0,,,,,,,,0,0,,0,0,60,75
Bread,pounds,23.82,,0.000446429,170.6,,,,,,,0,0,,,,,,,6000,,6000,37,,,,,,,,0,0,,0,0,6000,37
Corn,bushels,2.56,,0.05,170.6,2271,31636.5,49137,11967,2700,20028,117739.5,8834,1050,32678,,,,,3000,1910,38638,2899,,,,,,,,0,0,12672,12672,951,169049.5,12684
Flaxseed,tierces,,,,170.6,,,,,,,0,0,,,,,,11,,,11,0,,,,,,,,0,0,,0,0,11,0
Flour,barrels,13.1,,0.089285714,170.6,,51,,14,,,65,45,,,,,,,36,,36,25,,,,,,,,0,0,170,170,117,271,187
Hoops,,,,,170.6,,8000,9025,2000,1500,8700,29225,0,,,,,,,,,0,0,,,,,,,400,400,0,,0,0,29625,0
Hoops,bundles,,,,170.6,,,,,,52,52,0,,,,,,,,,0,0,,,,,,,,0,0,,0,0,52,0
Iron,tons,8.8,,1,170.6,,,,,,,0,0,,,,,,,1.5,,1.5,8,,,,,,,,0,0,,0,0,1.5,8
