Good,Unit,Price,Price,Conv,Exch,Anguilla,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,Halifax,Lewes,New England,New York,North Carolina,Philadelphia,Providence,Rhode Island,South Carolina,NA,,London,Hull,Liverpool,Whitehaven,Greenock,GB,,Cork,Dublin,IRE,,Cechoon,Lisbon,Madeira,SEU,,TOTAL,
,,1754,,,,,,,,,Quantity,Value,,,,,,,,,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,168.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.34,,0.05,168.35,,,200,,,200,14,38,,,,,,,,,,,38,3,,,,,,0,0,,,0,0,,,,0,0,238,17
Beef,barrels,45.13,,0.05,168.35,,11,32,,,43,58,143,,,,,6,,,,,,149,200,,,,,,0,0,,,0,0,,,,0,0,192,258
Beeswax,barrels,,,,168.35,,,,,,0,0,2,,,,,,,,,,,2,0,,,,,,0,0,,,0,0,,,,0,0,2,0
Beeswax,pounds,,,,168.35,,,,,,0,0,,,,,,150,,,200,,,350,0,,,,,,0,0,,,0,0,,2000,,2000,0,2350,0
Bread,casks,21.64,,0.089285714,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,0,0,,,0,0,,1500,,1500,1722,1500,1722
Bread,pounds,21.64,,0.000446429,168.35,,,,,,0,0,3000,,,,,,,,,,,3000,17,,,,,,0,0,,,0,0,,,,0,0,3000,17
Bread,tierces,21.64,,0.11875,168.35,,,,,,0,0,19,,,,,,,,,,,19,29,,,,,,0,0,,,0,0,,,,0,0,19,29
Bread,barrels,21.64,,0.089285714,168.35,,,18,,,18,21,171,,,,,,,,,17,,188,216,,,,,,0,0,,,0,0,40,60,,100,115,306,352
Corn,bushels,2.34,,0.05,168.35,150,7242,13714,2922,3000,27028,1878,166582.5,4621,2842,700,908,2312,,3760,2400,2267,4203,190595.5,13246,,,,,,0,0,,,0,0,5555,15500,9279,30334,2108,247957.5,17232
Deer Skin,casks,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,2,,,,2,0,,,0,0,,,,0,0,2,0
Deer Skins,hhds,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,1,,,,,1,0,,,0,0,,,,0,0,1,0
Deer Skins,bundles,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,10,1,,,11,0,,,0,0,,,,0,0,11,0
Deer Skins,,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,,,299,,299,0,,,0,0,,,,0,0,299,0
Flour,barrels,14.11,,0.089285714,168.35,,,,20,,20,15,542,,,,,,,,,84,,626,468,,,,,,0,0,,,0,0,,,,0,0,646,483
Hoops,,,,,168.35,,,,,,0,0,6625,,,,,,,,3000,,,9625,0,,,,,,0,0,,,0,0,,,,0,0,9625,0
Oats,bushels,2.34,,0.05,168.35,,,400,,,400,28,,,,,,,,,,,40,40,3,,,,,,0,0,,,0,0,,,,0,0,440,31
Peas,bushels,2.34,,0.05,168.35,,,170,212,,382,27,3951,50,362,,16,,,700,500,,218,5797,403,,,,,,0,0,,,0,0,,,130,130,9,6309,439
Pitch,barrels,15.71,,0.05,168.35,,10,,38,,48,22,154,,,,,50,,,,,,204,95,182,,105,,60,347,162,,,0,0,,,,0,0,599,279
Plank,feet,5.904,,0.0005,168.35,20000,15000,,,,35000,61,96022,,,,500,,,,8000,,,104522,183,1100,1070,8389,,750,11309,20,4100,,4100,7,,,500,500,1,155431,272
Plank,pieces,5.904,,0.005,168.35,,,,,,0,0,29,,,,,5,,,,,113,147,3,,,,,,0,0,,,0,0,,,,0,0,147,3
Planks,,5.904,,0.005,168.35,,,,,,0,0,5217,,,,,,,,,,1084,6301,110,,,14,,,14,0,,,0,0,,,,0,0,6315,110
Pork,tierces,61.19,,0.0665,168.35,,,,1,,1,2,,,,,,,,,,,,0,0,,,,,,0,0,,,0,0,,,,0,0,1,2
Pork,barrels,61.19,,0.05,168.35,,160,452,327,,939,1706,3662,30,181,,55,299,,,35,144,256,4662,8472,,,,,,0,0,,,0,0,,,241,241,438,5842,10616
Pork,casks,61.19,,0.05,168.35,,,,,,0,0,,1,,,,,,,,,,1,2,,,,,,0,0,,,0,0,,,,0,0,1,2
Pork,hhds,61.19,,0.1,168.35,,,,7,,7,25,4,,,,,,,,,,,4,15,,,,,,0,0,,,0,0,,,,0,0,11,40
Potatoes,bushels,,,,168.35,,,,,,0,0,,,,,,1403,,,,425,,1828,0,,,,,,0,0,,,0,0,,,,0,0,1828,0
Rum,hhds,3.22,,5,168.35,,,,,,0,0,,,,,,,7,,,,,7,67,,1,,,,1,10,72,,72,689,,,1,1,10,81,776
Rum,barrels,3.22,,1.45,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,0,0,1,,1,3,,,,0,0,1,3
Salt,bushels,1.55,,0.05,168.35,,,,,,0,0,,,,,,,1841,,,,,1841,85,,,,,,0,0,,,0,0,,,,0,0,1841,85
Shingles,,,,,168.35,,18000,142000,100000,,260000,0,1832800,20000,40000,,,,,,83400,39225,295500,2310925,0,,,,,,0,0,,,0,0,,,,0,0,2570925,0
Skins,hhds,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,6,,,,,6,0,,,0,0,,,,0,0,6,0
Staves and heading,,4.92,,0.001,168.35,,15000,2000,,,17000,50,228756,,,,,,,700,21000,8900,73125,332481,972,7500,33638,61277,9300,7000,118715,347,322800,50000,372800,1090,3000,5500,,8500,25,849496,2484
Tar,barrels,10.67,,0.05,168.35,,10,12,50,,72,23,243,,,,,20,,,,,,263,83,1227,6656,2197,1240,700,12020,3809,,,0,0,,,,0,0,12355,3915
Tar,hhds,10.67,,0.1,168.35,,,,,,0,0,4,,,,,,,,,,,4,3,,,,,,0,0,,,0,0,,,,0,0,4,3
Tobacco,barrels,17.77,,0.2665,168.35,,,,,,0,0,7,,,,,,,,,,,7,20,,,,,,0,0,,,0,0,,,,0,0,7,20
Tobacco,hhds,17.77,,0.533,168.35,,,,,,0,0,7,,,1,,2,,,,,,10,56,88,587,132,133,,940,5288,,,0,0,,,,0,0,950,5344
Turpentine,barrels,17.9,,0.05,168.35,,20,42,20,,82,44,120,,,,,,,,,,,120,64,400,1525,589,100,60,2674,1422,,,0,0,,,,0,0,2876,1530
Walnut logs,feet,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,,,,,,0,0,,500,500,0,,,,0,0,500,0
Walnut logs,,,,,168.35,,,,,,0,0,,,,,,,,,,,,0,0,15,,29,,,44,0,,,0,0,,,,0,0,44,0
Wheat,bushels,4.46,,0.05,168.35,,,,,,0,0,350,,,,,1050,,207,,,,1607,213,,,,,,0,0,,,0,0,,,,0,0,1607,213
Wine,quarter casks,28.96,,0.25,168.35,,,,,,0,0,,,,,,,,,12,6,,18,77,,,,,,0,0,,,0,0,,,,0,0,18,77
Wine,pipes,28.96,,1,168.35,,,,,,0,0,3,,,,,,,,10,,,13,224,8,8,,,,16,275,,,0,0,,,,0,0,29,499
Wine,hhds,28.96,,0.5,168.35,,,,,,0,0,,,,,,,,,3,,,3,26,,,,,,0,0,,,0,0,,,,0,0,3,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,3974,,,,,,,,,,,,,25355,,,,,,,11333,,,,1789,,,,,4428,,46879
