Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Rhode Island,NA,,London,Bristol,Fowey,Isle of Wight,Liverpool,Plymouth,Poole,Glasgow,Greenock,GB,,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1726,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.13,,0.05,144.46,12,,,12,1,,,,,,105,105,8,,,,,,,,,,0,0,,0,0,,0,0,117,9
Beef,barrels,30,,0.05,144.46,,,,0,0,,,,,,,0,0,,,,,,,,,,0,0,6,6,6,,0,0,6,6
Beeswax,pounds,,,,144.46,,,,0,0,,,,,,,0,0,,,,,,,,,,0,0,6837,6837,0,,0,0,6837,0
Corn,bushels,2.13,,0.05,144.46,7381,15257,11593,34231,2524,14810,3400,,,,3084,21294,1570,,,,,,,,,,0,0,,0,0,2170,2170,160,57695,4254
Deer Skins,,,,,144.46,,,,0,0,,90,,,,,90,0,,,,14,,,,,,14,0,,0,0,,0,0,104,0
Flour,barrels,12.51,,0.089285714,144.46,1,1,,2,2,,,,,,,0,0,,,,,,,,,,0,0,6,6,5,,0,0,8,7
Molasses,tierces,1.45,,3,144.46,,,,0,0,,,,4,4,,8,24,,,,,,,,,,0,0,,0,0,,0,0,8,24
Molasses,hhds,1.45,,5,144.46,,,,0,0,,,,,2,,2,10,,,,,,,,,,0,0,,0,0,,0,0,2,10
Peas,bushels,2.13,,0.05,144.46,377,318,1835,2530,187,177,20,,,,41,238,18,,,,,,,,,,0,0,,0,0,,0,0,2768,205
Pitch,barrels,19.19,,0.05,144.46,8,21,30,59,39,56,,,,,5,61,41,189,3,,,,,287,,,479,318,,0,0,,0,0,599,398
Pork,barrels,48.58,,0.05,144.46,136,677,566,1379,2319,200,141,,,,4,345,580,,,,,,,,,,0,0,,0,0,,0,0,1724,2899
Pork,pounds,48.58,,0.00025,144.46,,500,,500,4,,,,,,,0,0,,,,,,,,,,0,0,,0,0,,0,0,500,4
Rum,tierces,3.19,,3.05,144.46,,,,0,0,,,,,4,,4,27,,,,,,,,,,0,0,,0,0,,0,0,4,27
Rum,hhds,3.19,,5.05,144.46,,,,0,0,,,,,4,,4,45,,,,,,,,,,0,0,,0,0,,0,0,4,45
Rum,barrels,3.19,,1.45,144.46,,,,0,0,,,,,4,,4,13,,,,,,,,,,0,0,,0,0,,0,0,4,13
Salt,bushels,1.85,,0.05,144.46,,,,0,0,,,,50,,,50,3,,,,,,,,,,0,0,,0,0,,0,0,50,3
Skins,,,,,144.46,,,,0,0,,,,,,,0,0,24,,,,,,,,,24,0,,0,0,,0,0,24,0
Skins,barrels,,,,144.46,,,,0,0,,,,,,,0,0,1,,,,,,,,,1,0,,0,0,,0,0,1,0
Skins,hhds,,,,144.46,,,,0,0,,,,,,,0,0,16,,,,,,,,,16,0,,0,0,,0,0,16,0
Sugar,barrels,36.35,,0.175,144.46,,,,0,0,,,,,37,,37,163,,,,,,,,,,0,0,,0,0,,0,0,37,163
Sugar,cwt,36.35,,0.05,144.46,,,,0,0,,,,159,,,159,200,,,,,,,,,,0,0,,0,0,,0,0,159,200
Tar,barrels,14.74,,0.05,144.46,,35,168,203,104,30,14,,,,123,167,85,3753,960,,4,1150,,310,,,6177,3151,,0,0,,0,0,6547,3340
Tobacco,hhds,17.22,,0.392,144.46,11,35,,46,215,9,3,2,,,,14,65,2190,17,74,160,163,390,194,990,236,4414,20625,,0,0,,0,0,4474,20905
Wheat,bushels,3.82,,0.05,144.46,,,,0,0,,4780,232,,,122,5134,679,,,,,,,,,,0,0,6585,6585,871,750,750,99,12469,1649
Wine,quarter casks,26.72,,0.25,144.46,,,,0,0,,2,,,,,2,9,,,,,,,,,,0,0,,0,0,,0,0,2,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5395,,,,,,,,3540,,,,,,,,,,,24094,,,882,,,259,,34170
