Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Bristol,Liverpool,Whitehaven,Arbroath,Ayr,Glasgow,GB,,Madeira,SEU,,TOTAL,
,,1743,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,44.75,,0.05,159.79,138,292,,18,448,627,2,,,,,,,2,3,,,,,,,,0,0,,0,0,450,630
Beeswax,pounds,,,,159.79,,,,,0,0,,,,,3330,,,3330,0,,,,,,,,0,0,6056,6056,0,9386,0
Bread,barrels,14.31,,,159.79,,8,,18,26,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,26,0
Corn,bushels,2.14,,0.05,159.79,4950,46848,,1440,53238,3565,10200,2521,,,,5000,,17721,1187,,,,,,,,0,0,,0,0,70959,4752
Cotton,bags,0.99,,6,159.79,,,,,0,0,1,,,2,,,,3,11,,,,,,,,0,0,,0,0,3,11
Deer Skin,casks,,,,159.79,,,,,0,0,,,,,,,,0,0,7,,,,,,,7,0,,0,0,7,0
Deer Skins,hhds,,,,159.79,,,,,0,0,,,,,,,,0,0,3,1,,,,,,4,0,,0,0,4,0
Deer Skins,cases,,,,159.79,,,,,0,0,,,,,,,,0,0,2,,,,,,,2,0,,0,0,2,0
Flour,barrels,8.69,,0.089285714,159.79,8,159,,40,207,101,8,36,,,,,,44,21,,,,,,,,0,0,,0,0,251,122
Heading,,3.31,,0.001,159.79,77430,8230,34700,7346,127706,265,1700,,,,,,,1700,4,,,,,,,,0,0,,0,0,129406,269
Hoops,,,,,159.79,,500,,,500,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,500,0
Molasses,hhds,1.87,,5,159.79,,,,,0,0,,,,3,,,,3,18,,,,,,,,0,0,,0,0,3,18
Molasses,barrels,1.87,,,159.79,,,,,0,0,,,,1,,,,1,0,,,,,,,,0,0,,0,0,1,0
Negroes,,31.04,,1,100,,1,,,1,31,,,,,,,,0,0,,,,,,,,0,0,,0,0,1,31
Oats,bushels,2.14,,0.05,159.79,,,40,,40,3,,,,,,,,0,0,,,,,,,,0,0,,0,0,40,3
Peas,bushels,2.14,,0.05,159.79,733,635,795,626,2789,187,1693,195,15,,10,30,,1943,130,,,,,,,,0,0,294,294,20,5026,337
Pig iron,tons,8.34,,1,159.79,,,,,0,0,,8,,,,,,8,42,,,,,,,,0,0,,0,0,8,42
Pimento,bags,,,,159.79,,,,,0,0,,,,1,,,,1,0,,,,,,,,0,0,,0,0,1,0
Pitch,barrels,14.25,,0.05,159.79,6,8,20,,34,15,12,,12,,,,13,37,16,111,258,,,,,,369,165,,0,0,440,196
Plank,pieces,3.972,,0.005,159.79,,,,,0,0,248,,,,,,,248,3,,,,,,,,0,0,,0,0,248,3
Plank,feet,3.972,,0.0005,159.79,,,2000,,2000,2,71000,376,,,,250,,71626,89,,,,,630,,244,874,1,,0,0,74500,92
Planks,,3.972,,0.005,159.79,1605,,,,1605,20,23000,,,,,,,23000,286,,,,,,9,,9,0,,0,0,24614,306
Pork,pounds,68.52,,0.00025,159.79,,,,,0,0,,922,,,,,,922,10,,,,,,,,0,0,,0,0,922,10
Pork,hhds,68.52,,0.1,159.79,,1,,,1,4,,,,,,,,0,0,,,,,,,,0,0,,0,0,1,4
Pork,barrels,68.52,,0.05,159.79,452.5,2154,354,382,3342.5,7167,519,198,89,,13,13,,832,1784,,,,,,,,0,0,,0,0,4174.5,8951
Potatoes,bushels,,,,159.79,,,,,0,0,,,10,,,,,10,0,,,,,,,,0,0,,0,0,10,0
Rum,barrels,3.16,,1.45,159.79,,,,1,1,3,,,,2,,,,2,6,,,,,,,,0,0,,0,0,3,9
Rum,hhds,3.19,,5,159.79,,,,,0,0,,,,1,,,,1,10,,,,,,,,0,0,,0,0,1,10
Salt,bushels,2.07,,0.05,159.79,,,,,0,0,,,,1900,,,,1900,123,,,,,,,,0,0,,0,0,1900,123
Shingles,,,,,159.79,622560,1634495,267100,328100,2852255,0,358300,,,,,,,358300,0,,,,,,,,0,0,,0,0,3210555,0
Skins,hhds,,,,159.79,,,,,0,0,,,,,,,,0,0,,7,,,,,,7,0,,0,0,7,0
Staves,,3.31,,0.001,159.79,15900,15070,15400,17150,63520,132,3000,7000,,,,,,10000,21,31052,12650,7000,21900,5000,2000,500,80102,166,13890,13890,29,167512,348
Sugar,barrels,38.94,,0.15,159.79,,,,,0,0,,,,5,,,,5,18,,,,,,,,0,0,,0,0,5,18
Tar,barrels,10.4,,0.05,159.79,100,322,294,30,746,243,287,3684,100,,1398,,350,5819,1894,2266,1001,1384,1793,700,,720,7864,2559,,0,0,14429,4696
Tobacco,hhds,16.25,,0.479,159.79,12,4,,,16,78,2,,,,,,,2,10,536,99,6,448,,232,10,1331,6484,,0,0,1349,6572
Turpentine,barrels,11.82,,0.05,159.79,7,10,,,17,6,11,,,,56,,,67,25,203,,,40,2,,,245,91,,0,0,329,122
Wheat,bushels,2.84,,0.05,159.79,,,,,0,0,,1850,,,,30,,1880,167,,,,,,,,0,0,,0,0,1880,167
Wine,pipes,27.38,,1,159.79,,,,19,19,326,,,,,,,,0,0,,,,,,,,0,0,,0,0,19,326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,12775,,,,,,,,,5878,,,,,,,,,9466,,,49,,28168
