Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Nevis,St. Kitts,WI,,Bermuda,New York,North Carolina,Pennsylvania,Portsmouth,Providence,Salem,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Dumfries,Glasgow,GB,,Dublin,IRE,,Madeira,SEU,,TOTAL,
,,1756,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar iron,pounds,22.74,,0.000446429,172.57,,5000,,,,5000,29,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,5000,29
Beans,bushels,2.5,,0.05,172.57,,7,,,,7,1,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,7,1
Beef,barrels,48.96,,0.05,172.57,115,4,,,21,140,199,,,,,,8,,8,11,,,,,,,,0,0,,0,0,20,20,28,168,238
Beeswax,hhds,,,,172.57,,,,,,0,0,,,,,,,,0,0,1,,,,,,,1,0,,0,0,,0,0,1,0
Beeswax,barrels,,,,172.57,,,,,,0,0,,,,,,,,0,0,3,,,,,,,3,0,,0,0,23,23,0,26,0
Beeswax,bags,,,,172.57,,,,,,0,0,,,,,,,,0,0,3,,,,,,,3,0,,0,0,,0,0,3,0
Bread,kegs,21.21,,0.044642857,172.57,,10,,,,10,5,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,10,5
Bread,tierces,21.21,,0.11875,172.57,,,16,,,16,23,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,16,23
Bread,casks,21.21,,0.089285714,172.57,,12.5,,,,12.5,14,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,12.5,14
Bread,pounds,21.21,,0.000446429,172.57,,2000,1000,,,3000,16,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,3000,16
Bread,barrels,21.21,,0.089285714,172.57,,147,,,,147,161,32,,,,,20,,52,57,,,,,,,,0,0,80,80,88,50,50,55,249,361
Corn,bushels,2.5,,0.05,172.57,18700,79597,6600,6330,647,111874,8104,36258.5,600,,500,,1000,800,39158.5,2836,,,,,,,2400,2400,174,,0,0,9423,9423,683,162855.5,11797
Cotton,bags,1.49,,6,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,7,7,36,,0,0,,0,0,7,36
Deer Skin,barrels,,,,172.57,,,,,,0,0,,,,,,,,0,0,,,,,13,,,13,0,,0,0,,0,0,13,0
Deer Skins,hhds,,,,172.57,,,,,,0,0,,,,,,,,0,0,11,1,,,2,,,14,0,,0,0,,0,0,14,0
Flaxseed,barrels,4.15,,,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,13,13,0,,0,0,,0,0,13,0
Flaxseed,hhds,4.15,,,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,81,81,0,,0,0,,0,0,81,0
Flour,barrels,12.76,,0.089285714,172.57,13,414,45,,,472,312,10,,,,,20,,30,20,,,,,,,,0,0,170,170,112,130,130,86,632,530
Ginger,hhds,,,,172.57,,,,,,0,0,,,,,,,,0,0,1,,,,,,,1,0,,0,0,,0,0,1,0
Hoops,,,,,172.57,4000,500,,,,4500,0,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,4500,0
Indigo,barrels,12.07,,,172.57,,,,,,0,0,,,,,,,,0,0,6,,,,,,,6,0,,0,0,,0,0,6,0
Indigo,casks,12.07,,,172.57,,,,,,0,0,,,,,,,,0,0,22,,,,,,,22,0,,0,0,,0,0,22,0
Indigo,tierces,12.07,,,172.57,,,,,,0,0,,,,,,,,0,0,5,,,,,,,5,0,,0,0,,0,0,5,0
Indigo,hhds,12.07,,,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,4,4,0,,0,0,,0,0,4,0
Oats,bushels,2.5,,0.05,172.57,,,200,,,200,14,,,,60,,,,60,4,,,,,,,,0,0,,0,0,,0,0,260,18
Peas,bushels,2.5,,0.05,172.57,2048,959,1890,,330,5227,379,835,2122,,50,,200,,3207,232,,,,,,,,0,0,,0,0,1077,1077,78,9511,689
Pig iron,tons,7.58,,1,172.57,,,,,,0,0,,,,,45,,,45,198,30,,,,,,,30,132,,0,0,,0,0,75,330
Pitch,barrels,13.93,,0.05,172.57,16,,40,,,56,23,25,,,,,6,20,51,21,,,,,,3,159,162,65,,0,0,,0,0,269,109
Plank,feet,4.248,,0.0005,172.57,10000,38719,15000,,,63719,78,10385,,,,,,,10385,13,,,,146,,,1000,1146,1,,0,0,,0,0,75250,92
Plank,pieces,4.248,,0.005,172.57,,,,,,0,0,,,,,,,,0,0,,,76,,,,,76,1,,0,0,,0,0,76,1
Pork,pounds,61.42,,0.00025,172.57,,,,,1000,1000,9,,,,,,,,0,0,,,,,,,,0,0,,0,0,,0,0,1000,9
Pork,casks,61.42,,0.05,172.57,,1,,,,1,2,1,,,,,,,1,2,,,,,,,,0,0,,0,0,,0,0,2,4
Pork,barrels,61.42,,0.05,172.57,211,1121,220,91,118,1761,3134,458,545,,,,60,,1063,1892,,,,,,,,0,0,,0,0,86,86,153,2910,5179
Pork,hhds,61.42,,0.1,172.57,,,,,,0,0,,,,,,200,,200,712,,,,,,,,0,0,,0,0,,0,0,200,712
Potatoes,bushels,,,,172.57,,,,,,0,0,,1001,,,,,,1001,0,,,,,,,,0,0,,0,0,,0,0,1001,0
Rum,tierces,2.73,,3.05,172.57,,,,,,0,0,,,,,,,,0,0,,,,7,,,,7,34,,0,0,,0,0,7,34
Rum,puncheons,2.73,,5,172.57,,,,,,0,0,,,,,,,,0,0,,,,19,,,,19,150,,0,0,,0,0,19,150
Rum,hhds,2.73,,5,172.57,,,,,,0,0,,,,,,,,0,0,,,1,,,,,1,8,,0,0,,0,0,1,8
Salt,bushels,2.27,,0.05,172.57,,,,,,0,0,,,154,,,,,154,10,,,,,,,,0,0,,0,0,,0,0,154,10
Shingles,,,,,172.57,314000,666900,150000,47000,8400,1186300,0,52600,,,2300,,30000,,84900,0,,,,,,,,0,0,,0,0,,0,0,1271200,0
Staves and heading,,3.54,,0.001,172.57,16270,22750,4100,,,43120,88,,,,,8700,,,8700,18,16454,4000,11486,14000,5400,3000,35000,89340,183,27000,27000,55,4000,4000,8,145160,352
Sugar,barrels,48.83,,0.15,172.57,,,,,,0,0,,,,,,,,0,0,40,,,,,,1,41,174,,0,0,,0,0,41,174
Sugar,hhds,48.83,,0.632142857,172.57,,,,,,0,0,,,,,,,,0,0,21,,,,,,,21,376,,0,0,,0,0,21,376
Tar,barrels,11.42,,0.05,172.57,35,,60,,,95,31,25,288,,,,19,40,372,123,,,4795,2937,850,644,1486,10712,3544,,0,0,,0,0,11179,3698
Tobacco,hhds,15.88,,0.5525,172.57,,10,,,,10,51,,,,,,,,0,0,,139,40,,52,,923,1154,5867,,0,0,,0,0,1164,5918
Tobacco,casks,15.88,,0.27625,172.57,,,,,,0,0,,,,,,,,0,0,537,,,,,,,537,1365,,0,0,,0,0,537,1365
Turpentine,barrels,13.53,,0.05,172.57,6,40,20,,,66,26,,321,,,,,20,341,134,,,9,480,,,136,625,245,,0,0,,0,0,1032,405
Walnut logs,,,,,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,25,,25,0,,0,0,,0,0,25,0
Wheat,bushels,4.34,,0.05,172.57,,,,,,0,0,,2110,,,,,,2110,265,,,,,,,,0,0,9200,9200,1157,7540,7540,948,9650,2370
Wine,quarter casks,32.78,,0.25,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,2,2,9,,0,0,,0,0,2,9
Wine,pipes,32.78,,1,172.57,,,,,,0,0,,34,,,,,,34,646,,,,1,,,,1,19,,0,0,,0,0,35,665
Wine,hhds,32.78,,0.5,172.57,,,,,,0,0,,,,,,,,0,0,,,,,,,1,1,9,,0,0,,0,0,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,12699,,,,,,,,,7194,,,,,,,,,12392,,,1412,,,2039,,35736
