Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,Nevis,St. Kitts,WI,,New Providence,Bermuda,Boston,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,South Carolina,NA,,London,Hull,Whitehaven,Glasgow,GB,,Cork,IRE,,Madeira,SEU,,TOTAL,
,,1755,,,,,,,,,Quantity,Value,,,,,,,,,,Quantity,Value,,,,,Quantity,Value,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.16,,0.05,168.79,,,,,,0,0,,,363,,,,,,,363,23,,,,,0,0,,0,0,214,214,14,577,37
Beef,barrels,47.85,,0.05,168.79,117,194,,20,,331,469,,65,,21,,7,,,88,181,257,,,,,0,0,,0,0,,0,0,512,726
Beeswax,pounds,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,,,,0,0,,0,0,7000,7000,0,7000,0
Beeswax,barrels,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,3,,,3,0,,0,0,,0,0,3,0
Beeswax,tierces,,,,168.79,,,,,,0,0,,,,,,2,,,,2,0,,,,,0,0,,0,0,,0,0,2,0
Bread,barrels,21.42,,0.089285714,168.79,48,60,,,,108,122,,112,,,10,,,,162,284,322,,,,,0,0,,0,0,,0,0,392,444
Bread,pounds,21.42,,0.000446429,168.79,5300,,,,,5300,30,,,,,,,,,,0,0,,,,,0,0,,0,0,,0,0,5300,30
Corn,bushels,2.16,,0.05,168.79,5400,30280,,,,35680,2283,500,40338,652,600,,600,,,6220,48910,3129,,,,,0,0,,0,0,2100,2100,134,86690,5546
Cotton,pounds,1.4,,0.05,168.79,,,,,,0,0,,,,,,1500,,,,1500,62,,,,,0,0,,0,0,,0,0,1500,62
Deer Skins,,,,,168.79,,,,,,0,0,,,,,,30,,,,30,0,,,,,0,0,,0,0,,0,0,30,0
Deer skins (raw),,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,300,,1090,1390,0,,0,0,,0,0,1390,0
Flaxseed,barrels,4.34,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,,,52,52,0,,0,0,,0,0,52,0
Flaxseed,casks,4.34,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,,,12,12,0,,0,0,,0,0,12,0
Flour,barrels,13.76,,0.089285714,168.79,30,39,,,,69,50,,182,,,50,,,,180,412,300,,,,,0,0,,0,0,,0,0,481,350
Ginger,tierces,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,9,,,,9,0,,0,0,,0,0,9,0
Ginger,barrels,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,5,,,,5,0,,0,0,,0,0,5,0
Hoops,,,,,168.79,24000,2000,,,,26000,0,,20084,,,,,,,11000,31084,0,,,,,0,0,,0,0,,0,0,57084,0
Indigo,barrels,12.97,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,,,0.5,0.5,0,,0,0,,0,0,0.5,0
Oats,bushels,2.16,,0.05,168.79,,,,,,0,0,,,,,,200,,,,200,13,,,,,0,0,,0,0,,0,0,200,13
Peas,bushels,2.16,,0.05,168.79,,345,,,,345,22,,812,160,,,,,,450,1422,91,,,,,0,0,,0,0,,0,0,1767,113
Pitch,barrels,14.92,,0.05,168.79,21,50,,,,71,31,,63,,,,,,,8,71,31,,,,,0,0,,0,0,,0,0,142,62
Plank,pieces,5.484,,0.005,168.79,,250,,,,250,4,,714,,,,,,,481,1195,19,,32,,,32,1,,0,0,,0,0,1477,24
Plank,feet,5.484,,0.0005,168.79,,43065,2000,12000,8000,65065,106,4000,78280,,,,,,,4414,86694,141,,179,100,200,479,1,,0,0,,0,0,152238,248
Planks,,5.484,,0.005,168.79,,,,,,0,0,,,,,,,,,2878,2878,47,,229,,,229,4,300,300,5,,0,0,3407,56
Pork,barrels,65.94,,0.05,168.79,804,1188,76,35,60,2163,4225,,1617,,121,,100,18,,828,2684,5243,,,,,0,0,,0,0,,0,0,4847,9468
Potatoes,bushels,,,,168.79,,,,,,0,0,,,,1102,,,,557,,1659,0,,,,,0,0,,0,0,,0,0,1659,0
Rum,barrels,2.84,,1.45,168.79,,,,,,0,0,,,,,,2,,,,2,5,,,,,0,0,,0,0,,0,0,2,5
Rum,hhds,2.84,,5,168.79,,,,,,0,0,,,,,3,7,,,,10,84,,2,,,2,17,2,2,17,,0,0,14,118
Salt,bushels,1.515,,0.05,168.79,,,,,,0,0,,,,,1350,,,,,1350,61,,,,,0,0,,0,0,,0,0,1350,61
Shingles,,,,,168.79,262000,625890,140000,70000,30000,1127890,0,11000,826300,,,,,,,256500,1093800,0,,,,,0,0,,0,0,,0,0,2221690,0
Staves and heading,,4.57,,0.001,168.79,47600,129600,6500,9000,21000,213700,579,,80683,,,,,,,84219,164902,446,15038,89145,5000,50800,159983,433,271000,271000,734,20600,20600,56,830185,2248
Sugar,hhds,48.39,,0.632142857,168.79,,,,,,0,0,,,,,,,,,,0,0,,,,4,4,72,,0,0,,0,0,4,72
Sugar,barrels,48.39,,0.15,168.79,,,,,,0,0,,,,,3,,,,,3,13,,,,,0,0,,0,0,,0,0,3,13
Tar,barrels,11.54,,0.05,168.79,23,82,,,,105,36,,60,,119,,13,,,12,204,70,309,10866,1516,3540,16231,5548,,0,0,,0,0,16540,5654
Tobacco,hhds,15.08,,0.5425,168.79,,3,,,,3,15,,,,,,,,,,0,0,230,437,98,329,1094,5302,,0,0,,0,0,1097,5317
Turpentine,barrels,15.01,,0.05,168.79,18,40,,,,58,26,,56,,249,,337,,,,642,285,175,1785,,150,2110,938,,0,0,,0,0,2810,1249
Walnut logs,,,,,168.79,,,,,,0,0,,,,,,,,,,0,0,,17,,,17,0,,0,0,,0,0,17,0
Wheat,bushels,4.49,,0.05,168.79,,,,,,0,0,,,1683,,,,,,,1683,224,,,,,0,0,,0,0,4786,4786,637,6469,861
Wine,pipes,29.56,,1,168.79,,,,,,0,0,,,,,,1,,,,1,18,,28,,,28,490,,0,0,,0,0,29,508
Wine,quarter casks,29.56,,0.25,168.79,,,,,,0,0,,,,,,,,,,0,0,,3,,,3,13,,0,0,,0,0,3,13
Wine,barrels,29.56,,0.25,168.79,,,,,,0,0,,,,,,11,,,,11,48,,,,,0,0,,0,0,,0,0,11,48
Wine,hhds,29.56,,0.5,168.79,,,,,,0,0,,,,,,,,,,0,0,,1,,,1,9,,0,0,,0,0,1,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7998,,,,,,,,,,,10932,,,,,,12828,,,756,,,841,,33355
