Good,Unit,Price,1751,Conv,Exch,Antigua,Barbadoes,Jamaica,Montserrat,St. Christophers,WI,,Bermuda,Boston,New York,North Carolina,Philadelphia,Piscataqua,Rhode Island,NA,,London,Bristol,Hull,Liverpool,Whitehaven,Glasgow,GB,,Ireland,IRE,,Lisbon,Madeira,SEU,,TOTAL,
,,1751,,,,,,,,,Quantity,Value,,,,,,,,Quantity,Value,,,,,,,Quantity,Value,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beef,barrels,48.44,,0.05,169.86,518,42,12,26,140,738,1052,38,,,,,,6,44,63,,,,,,,0,0,,0,0,,,0,0,782,1115
Beeswax,pounds,,,,169.86,,,,100,,100,0,,,,,,,,0,0,,,,,,,0,0,,0,0,450,5000,5450,0,5550,0
Beeswax,barrels,,,,169.86,,,,,,0,0,,,,,,,,0,0,,,,,,,0,0,,0,0,,4,4,0,4,0
Beeswax,casks,,,,169.86,1,,,,,1,0,,,,,,,,0,0,,,,,,,0,0,,0,0,,7,7,0,8,0
Boards,M feet,5.592,,0.5,169.86,,,,,,0,0,25,,,,,,,25,41,,,,,,,0,0,,0,0,,,0,0,25,41
Bread,barrels,22.37,,0.089285714,169.86,72,,60,,20,152,179,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,152,179
Bread,pounds,22.37,,0.000446429,169.86,,,1000,,,1000,6,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,1000,6
Corn,bushels,2.79,,0.05,169.86,13137,36430,7620,550,3586,61323,5036,27150,1200,,,,1400,300,30050,2468,,,,,,,0,0,,0,0,2000,9442,11442,940,102815,8444
Deer Skin,pounds,,,,169.86,,,,,,0,0,,,,,,,,0,0,,,,,3372,,3372,0,,0,0,,,0,0,3372,0
Deer Skins,hhds,,,,169.86,,,,,,0,0,,,,,,,,0,0,2,,,,,5,7,0,,0,0,,,0,0,7,0
Deer Skins,bundles,,,,169.86,,,,,,0,0,,,,,1,,,1,0,,,,,,,0,0,,0,0,,,0,0,1,0
Flour,barrels,12.34,,0.089285714,169.86,131,274,30,,48,483,313,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,483,313
Hoops,M,,,,169.86,,,,,11,11,0,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,11,0
Hoops,,,,,169.86,9265,4000,1800,,,15065,0,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,15065,0
Iron,tons,8.34,,1,169.86,,,,,,0,0,,,,,,,,0,0,30,,,,,,30,147,,0,0,,,0,0,30,147
Oats,casks,2.79,,,169.86,,,,10,,10,0,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,10,0
Oats,bushels,2.79,,0.05,169.86,42,550,6,,980,1578,130,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,1578,130
Peas,bushels,2.79,,0.05,169.86,536,11.5,266,,12,825.5,68,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,825.5,68
Pig iron,tons,8.34,,1,169.86,,,,,,0,0,,,,,,,,0,0,64,,,,,,64,314,,0,0,,,0,0,64,314
Pitch,barrels,21.56,,0.05,169.86,25,,10,,10,45,29,,,176,,,,,176,112,,170,,,,,170,108,,0,0,,,0,0,391,249
Plank,pieces,5.592,,0.005,169.86,,,,,184,184,3,35,,,,,,,35,1,285,,,,,,285,5,,0,0,,,0,0,504,9
Plank,feet,5.592,,0.0005,169.86,22330,26000,,,11720,60050,99,600,,,,,,,600,1,,,,,6452,,6452,11,2100,2100,3,3000,8000,11000,18,80202,132
Planks,,5.592,,0.005,169.86,,,,,,0,0,,,,,,,,0,0,,,25,,,,25,0,,0,0,,,0,0,25,0
Pork,hhds,69.97,,0.1,169.86,,,,,1,1,4,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,1,4
Pork,pounds,69.97,,0.00025,169.86,,,500,,,500,5,,700,,,,1200,,1900,20,,,,,,,0,0,,0,0,,,0,0,2400,25
Pork,barrels,69.97,,0.05,169.86,722.5,1198,398,80,543,2941.5,6058,451,37,20,,,27,5,540,1112,,,,,,,0,0,,0,0,,,0,0,3481.5,7170
Potatoes,bushels,,,,169.86,,,,,,0,0,,,400,,,,,400,0,,,,,,,0,0,,0,0,,,0,0,400,0
Rum,gallons,3.49,,0.05,169.86,,,,,,0,0,,,,102,,,,102,10,,,,,,,0,0,,0,0,,,0,0,102,10
Rum,barrels,3.49,,1.45,169.86,,,,,,0,0,,,,2,,,,2,6,2,,,,,,2,6,,0,0,,,0,0,4,12
Rum,hhds,3.49,,5,169.86,,,,,,0,0,,1,,6,2,,,9,92,1,,,,,,1,10,,0,0,,,0,0,10,102
Salt,bushels,1.23,,0.05,169.86,,,,,,0,0,,,,300,202,,,502,18,,,,,,,0,0,,0,0,,,0,0,502,18
Salt,hhds,1.23,,0.35,169.86,,,,,,0,0,,,,,,,3,3,1,,,,,,,0,0,,0,0,,,0,0,3,1
Shingles,,,,,169.86,417750,400500,127600,125400,293500,1364750,0,16000,,,,,,,16000,0,,,,,,,0,0,,0,0,1000,,1000,0,1381750,0
Staves and heading,,4.66,,0.001,169.86,49500,42758,91600,19600,154150,357608,981,,,,,,,,0,0,36000,11200,8500,4500,22250,91000,173450,476,28000,28000,77,12000,9000,21000,58,580058,1592
Sugar,barrels,47.04,,0.15,169.86,,,,,,0,0,,,,4,,,,4,17,,,,,,,0,0,,0,0,,,0,0,4,17
Tar,barrels,11.07,,0.05,169.86,65,59,100,,64,288,94,,,122,,,,,122,40,538,1096,2044,756,4624,1422,10480,3415,,0,0,,,0,0,10890,3549
Tobacco,hhds,20.19,,0.503,169.86,,5,,,6,11,66,,,,,,,,0,0,1311,76,,38,74,261,1760,10523,,0,0,,,0,0,1771,10589
Turpentine,barrels,24.81,,0.05,169.86,4,20,,,10,34,25,,,93,,,,,93,68,292,,307,,70,66,735,537,,0,0,,,0,0,862,630
Walnut logs,,,,,169.86,,,,,,0,0,,,,,,,,0,0,,,,,20,4,24,0,167,167,0,,,0,0,191,0
Wheat,bushels,4.28,,0.05,169.86,,,,,,0,0,,,,,,100,,100,13,,,,,,,0,0,,0,0,10600,12109,22709,2861,22809,2874
Wine,quarter casks,30.07,,0.25,169.86,1,,,,,1,4,,,,,,,,0,0,,,,,,,0,0,,0,0,,,0,0,1,4
Wine,pipes,30.07,,1,169.86,6,,,,,6,106,4,,,2,2,,,8,142,17,,,,,,17,301,,0,0,,,0,0,31,549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL PER REGION,,,,,,,,,,,,14258,,,,,,,,,4225,,,,,,,,15853,,,80,,,,3877,,38293
