Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,NA,,London,Bristol,Exon,Liverpool,Glasgow,GB,,Lisbon,Madeira,SEU,,Unknown,UNK,,TOTAL,
,,1730,,,,,,,,Quantity,Value,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,1.93,,0.05,152.03,,87,,,87,6,,,0,0,,,,,,0,0,,,0,0,,0,0,87,6
Beef,pounds,30,,0.00025,152.03,,,,,0,0,2000,,2000,10,,,,,,0,0,,,0,0,,0,0,2000,10
Beef,barrels,30,,0.05,152.03,,130,22,,152,150,19,,19,19,,,,,,0,0,,,0,0,,0,0,171,169
Beeswax,pounds,,,,152.03,,100,,,100,0,,35,35,0,,,,,,0,0,700,5100,5800,0,,0,0,5935,0
Corn,bushels,1.93,,0.05,152.03,3600,13900,5288,2500,25288,1605,22554,1909,24463,1553,,,,,,0,0,27,200,227,14,,0,0,49978,3172
Deer Skins,,,,,152.03,,,,,0,0,,42,42,0,,,,,,0,0,,,0,0,,0,0,42,0
Hemp,hhds,,,,152.03,,,,,0,0,,,0,0,2,,,,,2,0,,,0,0,,0,0,2,0
Hemp,casks,,,,152.03,,,,,0,0,,,0,0,1,,,,,1,0,,,0,0,,0,0,1,0
Iron,tons,,,,152.03,,,,,0,0,,,0,0,,7,,,,7,0,,,0,0,,0,0,7,0
Peas,bushels,1.93,,0.05,152.03,400,418,896,40,1754,111,930,466,1396,89,,,,,,0,0,90,,90,6,,0,0,3240,206
Pitch,barrels,15,,0.05,152.03,,6,30,,36,18,,,0,0,48,519,50,,,617,304,,,0,0,,0,0,653,322
Plank,pieces,3.6,,0.005,152.03,,,,,0,0,,,0,0,10,,,,,10,0,,,0,0,,0,0,10,0
Pork,barrels,59.24,,0.05,152.03,170,2038,387,5,2600,5066,131,1,132,257,,,,,,0,0,,,0,0,5,5,10,2737,5333
Pork,tierces,59.24,,,152.03,,,6,,6,0,,,0,0,,,,,,0,0,,,0,0,,0,0,6,0
Rice,barrels,,,,152.03,,,,,0,0,,,0,0,,,,5,,5,0,,,0,0,,0,0,5,0
Rum,gallons,2.51,,0.05,152.03,,,,,0,0,,60,60,5,,,,,,0,0,,,0,0,,0,0,60,5
Skins,hhds,,,,152.03,,,,,0,0,,1,1,0,29,1,,,,30,0,,,0,0,1,1,0,32,0
Staves (barrels),,22.5,,0.00005,152.03,,,,,0,0,,,0,0,3500,,,,,3500,3,,,0,0,,0,0,3500,3
Tar,barrels,11.04,,0.05,152.03,,105,70,,175,64,,,0,0,880,478,70,4470,,5898,2141,,,0,0,,0,0,6073,2205
Tobacco,hhds,14,,0.3995,152.03,3,18,,,21,77,,,0,0,4093,229,166,308,425,5221,19207,,,0,0,,0,0,5242,19284
Turpentine,barrels,23.82,,0.05,152.03,,4,,,4,3,,,0,0,,,,,,0,0,,,0,0,,0,0,4,3
Wheat,bushels,3.68,,0.05,152.03,,1560,,,1560,189,,7076,7076,856,,,,,,0,0,4110,4748,8858,1072,2400,2400,290,19894,2407
Wine,pipes,21.03,,1,152.03,,,,,0,0,,,0,0,13,,,,,13,180,,,0,0,,0,0,13,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PER REGION,,,,,,,,,,,7289,,,,2789,,,,,,,21835,,,,1092,,,300,,33305
