Good,Unit,Price,Price,Conv,Exch,Antigua,Barbadoes,Jamaica,St. Christophers,WI,,Bermuda,Boston,New York,Philadelphia,NA,,Plymouth,London,Fowey,Liverpool,Glasgow,GB,,Lisbon,Madeira,SEU,,TOTAL,
,,1733,,,,,,,,Quantity,Value,,,,,Quantity,Value,,,,,,Quantity,Value,,,Quantity,Value,Quantity,Value
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beans,bushels,2.1,,0.05,166.94,,,,,0,0,,,,,0,0,,,,,,0,0,1486,,1486,93,1486,93
Beef,barrels,36.86,,0.05,166.94,,,255,98,353,390,16,,,,16,18,,,,,,0,0,,,0,0,369,408
Beeswax,pounds,,,,166.94,,,,,0,0,,,,,0,0,,,,,,0,0,420,2700,3120,0,3120,0
Corn,bushels,2.1,,0.05,166.94,5126,14232,4967.5,3400,27725.5,1744,8100,,,223,8323,523,,,,,,0,0,945,2340,3285,207,39333.5,2474
Molasses,hhds,2.36,,5.05,166.94,,,,,0,0,,1,,,1,7,,,,,,0,0,,,0,0,1,7
Oats,bushels,2.1,,0.05,166.94,,,,150,150,9,,,,,0,0,,,,,,0,0,,,0,0,150,9
Peas,bushels,2.1,,0.05,166.94,256.6,1221,1272,482,3231.6,203,400,,,,400,25,,,,,,0,0,924,,924,58,4555.6,286
Pig iron,tons,,,,166.94,,,,,0,0,,,,,0,0,,40,,,,40,0,,,0,0,40,0
Pitch,barrels,17.17,,0.05,166.94,4,,,53,57,29,,,50,10,60,31,,,5,,,5,3,,,0,0,122,63
Pork,casks,47.54,,,166.94,,1,1,,2,0,,,,,0,0,,,,,,0,0,,,0,0,2,0
Pork,barrels,47.54,,0.05,166.94,273,3030,1102,605,5010,7134,226,24,,267,517,736,,,,,,0,0,15,,15,21,5542,7891
Pork,hhds,47.54,,,166.94,,,7,2,9,0,,,,,0,0,,,,,,0,0,,,0,0,9,0
Skins,casks,,,,166.94,,,,,0,0,,,,,0,0,,21,,,,21,0,,,0,0,21,0
Sugar,barrels,28.94,,,166.94,,,,,0,0,,,,5,5,0,,,,,,0,0,,,0,0,5,0
Sugar,hhds,28.94,,,166.94,,,,,0,0,,4,,2,6,0,,,,,,0,0,,,0,0,6,0
Sugar,tierces,28.94,,,166.94,,,,,0,0,,,,2,2,0,,,,,,0,0,,,0,0,2,0
Tar,barrels,12.25,,0.05,166.94,8,,150,57,215,79,,,344,1685,2029,744,361,251,535,5881,,7028,2579,,,0,0,9272,3402
Tobacco,hhds,15.13,,0.4055,166.94,,,,3,3,11,,,,,0,0,31,1486,32,14,51,1614,5932,,,0,0,1617,5943
Wheat,bushels,3.06,,0.05,166.94,,,,,0,0,,,,,0,0,,,,,,0,0,5442,5607,11049,1013,11049,1013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL VALUES PER REGION,,,,,,,,,,,9599,,,,,,2084,,,,,,,8514,,,,1392,,21589
